Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-26,1,13.00,5044.00,388.00,388.00,388.00
2010-08-11,2,441.00,139797.00,317.00,317.00,317.00
2010-08-17,1,100.00,31700.00,317.00,317.00,317.00
2010-09-06,1,30.00,9330.00,311.00,311.00,311.00
2010-10-03,3,49.00,14616.00,305.00,294.00,294.00
2010-10-06,2,55.00,15895.00,289.00,289.00,289.00
2010-10-21,2,20.00,5630.00,284.00,279.00,279.00
2010-10-24,4,301.00,81069.00,274.00,264.00,264.00
2010-11-04,4,81.00,20549.00,259.00,245.00,245.00
2010-12-19,4,191.00,45467.00,241.00,237.00,237.00
2010-12-29,2,67.00,13346.00,202.00,198.00,198.00
2011-01-23,2,32.00,6272.00,196.00,196.00,196.00
2011-02-13,2,33.00,6300.00,193.00,190.00,190.00
2011-02-15,1,32.00,5984.00,187.00,187.00,187.00
2011-03-09,1,32.00,6048.00,189.00,189.00,189.00
2011-03-22,3,118.00,21597.00,186.00,180.00,180.00
2011-03-23,4,500.00,85800.00,177.00,168.00,168.00
2011-03-30,1,47.00,8037.00,171.00,171.00,171.00
2011-04-28,2,520.00,86400.00,168.00,165.00,165.00
2011-05-11,2,550.00,87900.00,162.00,159.00,159.00
2011-06-09,1,10.00,1660.00,166.00,166.00,166.00
2011-08-07,1,109.00,17767.00,163.00,163.00,163.00
2011-09-04,2,407.00,65120.00,160.00,160.00,160.00
2011-09-22,2,100.00,15460.00,157.00,154.00,154.00
2011-10-12,1,20.00,3080.00,154.00,154.00,154.00
