Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-29,13,2688.00,456960.00,170.00,170.00,170.00
2010-08-16,2,2484.00,414828.00,167.00,167.00,167.00
2010-08-22,1,150.00,25500.00,170.00,170.00,170.00
2010-09-12,1,100.00,17000.00,170.00,170.00,170.00
2010-10-31,2,4900.00,833000.00,170.00,170.00,170.00
2010-12-28,8,6202.00,1035734.00,167.00,167.00,167.00
2011-01-03,3,1500.00,217500.00,145.00,145.00,145.00
2011-01-04,4,2000.00,271000.00,138.00,134.00,134.00
2011-01-05,6,3782.00,495660.00,132.00,130.00,130.00
2011-01-10,1,39775.00,5170750.00,130.00,130.00,130.00
2011-02-01,2,15206.00,1976780.00,130.00,130.00,130.00
2011-02-10,1,24037.00,3124810.00,130.00,130.00,130.00
2011-03-07,1,19548.00,2541240.00,130.00,130.00,130.00
2011-03-17,2,19072.00,2479360.00,130.00,130.00,130.00
2011-03-30,2,900.00,117000.00,130.00,130.00,130.00
2011-04-10,1,18000.00,2340000.00,130.00,130.00,130.00
2011-04-18,1,18000.00,2340000.00,130.00,130.00,130.00
2011-07-05,4,31049.00,4036370.00,130.00,130.00,130.00
2011-08-03,2,10380.00,1349400.00,130.00,130.00,130.00
2011-10-02,4,18172.00,2362360.00,130.00,130.00,130.00
