Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,46,1520.00,375070.00,247.00,240.00,240.00
2010-04-20,4,50.00,11960.00,240.00,236.00,240.00
2010-04-25,2,20.00,4800.00,240.00,240.00,240.00
2010-04-27,6,60.00,14400.00,240.00,240.00,240.00
2010-04-28,9,430.00,102960.00,240.00,236.00,236.00
2010-04-29,2,30.00,7200.00,240.00,240.00,240.00
2010-05-09,8,230.00,53140.00,240.00,224.00,225.00
2010-05-11,26,430.00,97040.00,226.00,224.00,226.00
2010-05-12,2,30.00,6700.00,226.00,222.00,222.00
2010-05-13,2,20.00,4560.00,230.00,226.00,230.00
2010-05-16,2,20.00,4560.00,230.00,226.00,230.00
2010-05-17,4,100.00,22680.00,230.00,226.00,226.00
2010-05-18,4,40.00,8850.00,222.00,221.00,221.00
2010-05-24,6,70.00,16330.00,243.00,225.00,243.00
2010-05-25,2,20.00,4980.00,251.00,247.00,251.00
2010-05-26,4,40.00,10300.00,265.00,250.00,265.00
2010-05-30,5,90.00,24800.00,290.00,270.00,290.00
2010-05-31,3,60.00,17950.00,300.00,295.00,300.00
2010-06-01,11,200.00,58580.00,294.00,289.00,289.00
2010-06-03,12,430.00,122120.00,284.00,284.00,284.00
2010-06-07,5,310.00,86690.00,280.00,279.00,279.00
2010-06-08,2,60.00,17040.00,284.00,284.00,284.00
2010-06-10,2,30.00,8650.00,289.00,288.00,289.00
2010-06-13,3,210.00,61740.00,294.00,294.00,294.00
2010-06-14,3,60.00,17600.00,294.00,290.00,294.00
2010-06-16,1,10.00,2890.00,289.00,289.00,289.00
2010-06-17,1,50.00,14200.00,284.00,284.00,284.00
2010-06-20,1,20.00,5660.00,283.00,283.00,283.00
2010-06-22,14,260.00,72280.00,278.00,278.00,278.00
2010-06-23,1,10.00,2780.00,278.00,278.00,278.00
2010-06-28,5,50.00,13750.00,275.00,275.00,275.00
2010-07-06,4,210.00,56400.00,270.00,265.00,265.00
2010-07-12,11,110.00,29040.00,264.00,264.00,264.00
2010-07-14,14,240.00,60360.00,259.00,250.00,251.00
2010-07-15,15,880.00,207890.00,247.00,234.00,235.00
2010-07-18,6,150.00,35290.00,236.00,235.00,236.00
2010-07-19,25,290.00,68420.00,236.00,235.00,235.00
2010-07-20,5,720.00,167020.00,235.00,231.00,235.00
2010-07-21,1,100.00,23100.00,231.00,231.00,231.00
2010-07-22,3,60.00,14300.00,243.00,235.00,243.00
2010-07-25,5,80.00,18950.00,240.00,233.00,233.00
2010-07-26,8,100.00,23520.00,237.00,233.00,234.00
2010-07-27,6,170.00,40150.00,238.00,235.00,237.00
2010-07-28,3,30.00,6990.00,233.00,233.00,233.00
2010-08-01,11,170.00,39100.00,230.00,230.00,230.00
2010-08-02,13,260.00,60360.00,233.00,232.00,232.00
2010-08-03,5,70.00,16440.00,236.00,232.00,236.00
2010-08-04,1,10.00,2400.00,240.00,240.00,240.00
2010-08-05,8,80.00,19200.00,240.00,240.00,240.00
2010-08-08,1,10.00,2420.00,242.00,242.00,242.00
2010-08-09,4,40.00,9680.00,242.00,242.00,242.00
2010-08-10,4,80.00,19360.00,242.00,242.00,242.00
2010-08-11,11,160.00,38950.00,245.00,242.00,244.00
2010-08-12,6,180.00,44310.00,248.00,246.00,248.00
2010-08-17,2,130.00,32400.00,250.00,249.00,249.00
2010-08-18,12,760.00,190000.00,252.00,246.00,250.00
2010-08-19,1,30.00,7410.00,247.00,247.00,247.00
2010-08-22,1,10.00,2440.00,244.00,244.00,244.00
2010-08-23,3,180.00,42560.00,240.00,232.00,232.00
2010-08-26,3,60.00,14000.00,236.00,232.00,236.00
2010-08-29,12,160.00,37280.00,233.00,233.00,233.00
