Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2014-03-09,1,15130.00,5825050.00,385.00,385.00,385.00
2014-04-23,1,9385.00,3547530.00,378.00,378.00,378.00
2014-04-27,5,178800.00,62580840.00,371.00,350.00,350.00
2014-05-22,3,62508.00,21187704.00,344.00,338.00,338.00
2014-05-27,2,51578.00,16917586.00,332.00,326.00,326.00
2014-06-01,2,26577.00,8457715.00,320.00,315.00,315.00
2014-06-02,1,20630.00,6395300.00,310.00,310.00,310.00
2014-11-12,1,108312.00,59679912.00,0.00,0.00,551.00
2014-11-13,1,7221.00,2289057.00,317.00,317.00,317.00
2015-01-06,1,27508.00,8885084.00,323.00,323.00,323.00
2015-01-22,1,25000.00,8075000.00,323.00,323.00,323.00
2015-01-25,1,11105.00,3653545.00,329.00,329.00,329.00
2015-03-04,3,15000.00,5111652.00,347.00,335.00,347.00
2015-03-09,4,23544.00,8441855.00,374.00,353.00,374.00
2015-03-10,4,400.00,156600.00,402.00,381.00,402.00
2015-03-11,4,400.00,168800.00,434.00,410.00,434.00
2015-03-12,2,200.00,89200.00,450.00,442.00,450.00
2015-03-16,4,400.00,189000.00,486.00,459.00,486.00
2015-03-17,4,400.00,203700.00,524.00,495.00,524.00
2015-03-18,5,75300.00,42238200.00,561.00,534.00,561.00
2015-03-19,2,22900.00,13026900.00,570.00,561.00,570.00
