Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,2,60.00,14400.00,240.00,240.00,240.00
2010-04-19,11,210.00,50080.00,240.00,236.00,236.00
2010-04-20,5,90.00,20970.00,233.00,233.00,233.00
2010-04-21,5,100.00,23660.00,237.00,235.00,235.00
2010-04-22,5,100.00,23820.00,239.00,235.00,235.00
2010-04-25,15,390.00,90870.00,233.00,233.00,233.00
2010-04-27,11,420.00,93220.00,229.00,217.00,217.00
2010-04-28,10,380.00,80220.00,213.00,209.00,211.00
2010-04-29,2,20.00,4300.00,215.00,215.00,215.00
2010-05-09,17,340.00,73820.00,219.00,215.00,215.00
2010-05-11,4,70.00,15050.00,215.00,215.00,215.00
2010-05-12,7,130.00,27490.00,215.00,211.00,212.00
2010-05-16,10,250.00,53250.00,213.00,213.00,213.00
2010-05-18,18,450.00,96960.00,217.00,212.00,217.00
2010-05-20,6,60.00,12960.00,216.00,216.00,216.00
2010-05-23,54,1350.00,313450.00,237.00,220.00,237.00
2010-05-24,22,650.00,167350.00,260.00,241.00,260.00
2010-05-25,48,1310.00,365720.00,286.00,265.00,286.00
2010-05-26,129,4000.00,1252770.00,314.00,291.00,314.00
2010-07-04,2,20.00,3160.00,158.00,158.00,158.00
2010-07-11,1,20.00,3100.00,155.00,155.00,155.00
2010-07-15,1,20.00,3040.00,152.00,152.00,152.00
2010-08-05,1,20.00,2980.00,149.00,149.00,149.00
2010-08-23,4,180.00,26820.00,149.00,149.00,149.00
2010-08-29,7,110.00,15810.00,147.00,143.00,143.00
2010-09-05,26,2720.00,379820.00,141.00,131.00,131.00
2010-09-06,21,960.00,123840.00,129.00,129.00,129.00
2010-09-07,23,2500.00,305340.00,127.00,119.00,120.00
2010-09-08,9,310.00,37710.00,124.00,120.00,123.00
2010-09-09,33,1780.00,220220.00,135.00,123.00,135.00
2010-09-13,24,570.00,82410.00,148.00,137.00,148.00
2010-09-14,19,720.00,107420.00,153.00,147.00,153.00
2010-09-15,9,580.00,89520.00,156.00,153.00,156.00
2010-09-16,1,70.00,10710.00,153.00,153.00,153.00
2010-10-24,1,10.00,1500.00,150.00,150.00,150.00
2010-10-25,18,350.00,48090.00,147.00,135.00,136.00
2010-10-26,6,340.00,45600.00,135.00,133.00,134.00
2010-10-27,12,250.00,33160.00,134.00,132.00,134.00
2010-10-28,8,235.00,31255.00,133.00,133.00,133.00
2010-10-31,10,260.00,34820.00,135.00,133.00,135.00
2010-11-02,21,1060.00,142860.00,135.00,133.00,133.00
2010-11-03,2,230.00,31450.00,137.00,135.00,137.00
2010-11-04,1,30.00,4050.00,135.00,135.00,135.00
2010-11-09,1,70.00,9450.00,135.00,135.00,135.00
2010-11-10,4,70.00,9450.00,135.00,135.00,135.00
2010-11-11,2,60.00,7980.00,133.00,133.00,133.00
2010-11-14,6,300.00,39080.00,132.00,129.00,129.00
2010-11-15,14,925.00,115070.00,128.00,121.00,123.00
2010-11-16,11,345.00,42600.00,125.00,122.00,123.00
2010-11-18,7,2225.00,278125.00,125.00,125.00,125.00
2010-11-21,18,305.00,38560.00,128.00,125.00,128.00
2010-11-22,1,10.00,1300.00,130.00,130.00,130.00
2010-11-23,10,1210.00,156340.00,130.00,128.00,128.00
2010-11-25,9,345.00,43965.00,131.00,126.00,131.00
2010-11-28,10,255.00,34835.00,143.00,133.00,143.00
2010-11-29,23,910.00,128980.00,145.00,139.00,144.00
2010-11-30,4,60.00,8940.00,151.00,146.00,151.00
2010-12-01,1,10.00,1480.00,148.00,148.00,148.00
2010-12-06,3,210.00,29190.00,141.00,137.00,137.00
2010-12-07,1,20.00,2700.00,135.00,135.00,135.00
2010-12-09,4,120.00,15800.00,133.00,129.00,129.00
2010-12-12,2,90.00,11330.00,127.00,125.00,125.00
2010-12-14,27,2170.00,249985.00,125.00,113.00,125.00
2010-12-15,8,135.00,17735.00,135.00,127.00,133.00
2010-12-16,1,70.00,9170.00,131.00,131.00,131.00
2010-12-20,3,60.00,8100.00,137.00,133.00,137.00
2010-12-23,5,100.00,14300.00,147.00,139.00,147.00
2010-12-28,1,10.00,1470.00,147.00,147.00,147.00
2011-01-02,5,50.00,7050.00,145.00,137.00,137.00
2011-01-04,10,410.00,60260.00,150.00,139.00,150.00
2011-01-09,8,110.00,15270.00,147.00,135.00,135.00
2011-01-10,35,1425.00,174795.00,133.00,122.00,122.00
2011-01-11,35,2265.00,271515.00,134.00,115.00,134.00
2011-01-12,3,60.00,8040.00,136.00,132.00,136.00
2011-01-13,19,735.00,106910.00,148.00,134.00,146.00
2011-01-16,9,580.00,83520.00,144.00,144.00,144.00
2011-01-18,14,220.00,30140.00,137.00,137.00,137.00
2011-01-23,13,505.00,65110.00,135.00,124.00,124.00
2011-01-24,29,1690.00,197255.00,122.00,115.00,118.00
2011-01-31,5,180.00,21240.00,118.00,118.00,118.00
2011-02-01,13,50890.00,5954660.00,120.00,116.00,118.00
2011-02-02,4,245.00,28945.00,119.00,117.00,119.00
2011-02-03,4,215.00,25665.00,121.00,119.00,121.00
2011-02-06,11,140510.00,16440250.00,121.00,117.00,117.00
2011-02-07,7,355.00,41715.00,118.00,117.00,118.00
2011-02-08,6,1385.00,158875.00,116.00,113.00,113.00
2011-02-09,6,50310.00,5884640.00,117.00,111.00,117.00
2011-02-10,13,2485.00,290640.00,118.00,116.00,116.00
2011-02-13,22,1070.00,123740.00,120.00,114.00,120.00
2011-02-14,10,270.00,32950.00,132.00,118.00,132.00
2011-02-15,4,385.00,52375.00,137.00,135.00,135.00
2011-02-16,4,80.00,11080.00,141.00,137.00,141.00
2011-02-20,2,56300.00,7882000.00,140.00,140.00,140.00
2011-02-27,1,10.00,1330.00,133.00,133.00,133.00
2011-02-28,4,40.00,5180.00,131.00,129.00,129.00
2011-03-01,6,90.00,12170.00,139.00,131.00,139.00
2011-03-03,11,430.00,54765.00,133.00,126.00,126.00
2011-03-07,3,90.00,10620.00,120.00,116.00,116.00
2011-03-09,7,200.00,22380.00,114.00,110.00,114.00
2011-03-10,6,195.00,21705.00,112.00,110.00,110.00
2011-03-13,6,150.00,16060.00,112.00,106.00,112.00
2011-03-14,21,1320.00,138800.00,111.00,103.00,105.00
2011-03-15,3,95.00,9775.00,105.00,101.00,101.00
2011-03-16,12,1265.00,127010.00,102.00,100.00,100.00
2011-03-17,21,1030.00,107855.00,109.00,102.00,109.00
2011-03-20,23,2735.00,287800.00,119.00,102.00,119.00
2011-03-21,7,115.00,13835.00,125.00,117.00,125.00
2011-03-22,1,210.00,24990.00,119.00,119.00,119.00
2011-03-24,25,1600.00,178900.00,126.00,108.00,124.00
