Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,3,350.00,72600.00,212.00,204.00,212.00
2010-04-20,2,1700.00,368000.00,220.00,216.00,220.00
2010-04-21,1,100.00,22400.00,224.00,224.00,224.00
2010-04-22,5,1088.00,252416.00,236.00,228.00,236.00
2010-04-25,1,394.00,94560.00,240.00,240.00,240.00
2010-04-26,9,800.00,198000.00,248.00,244.00,248.00
2010-05-19,1,328.00,81344.00,248.00,248.00,248.00
2010-05-24,1,30.00,7560.00,252.00,252.00,252.00
2010-05-25,1,14.00,3598.00,257.00,257.00,257.00
2010-05-26,1,26.00,6812.00,262.00,262.00,262.00
2010-05-31,2,208.00,54496.00,262.00,262.00,262.00
2010-06-09,1,66.00,17622.00,267.00,267.00,267.00
2010-06-10,3,208.00,56050.00,272.00,267.00,272.00
2010-06-13,2,58.00,16266.00,282.00,277.00,282.00
2010-06-14,2,164.00,46248.00,282.00,282.00,282.00
2010-06-15,1,14.00,4018.00,287.00,287.00,287.00
2010-06-29,6,2430.00,697410.00,287.00,287.00,287.00
2010-08-04,1,394.00,113078.00,287.00,287.00,287.00
2010-08-12,4,1974.00,566538.00,287.00,287.00,287.00
2010-08-26,1,541.00,155267.00,287.00,287.00,287.00
2010-09-06,4,4344.00,1246728.00,287.00,287.00,287.00
2010-09-07,3,2756.00,789087.00,287.00,282.00,287.00
2010-09-08,3,3255.00,934185.00,287.00,287.00,287.00
2010-09-09,3,894.00,249628.00,282.00,277.00,277.00
2010-09-12,8,7629.00,2113233.00,277.00,277.00,277.00
2010-09-15,4,2125.00,586655.00,277.00,272.00,277.00
2010-09-27,1,458.00,126866.00,277.00,277.00,277.00
2010-10-10,2,432.00,119664.00,277.00,277.00,277.00
2010-10-12,1,491.00,138462.00,282.00,282.00,282.00
2010-11-16,1,328.00,92496.00,282.00,282.00,282.00
2010-12-01,1,328.00,92496.00,282.00,282.00,282.00
2010-12-02,2,656.00,184992.00,282.00,282.00,282.00
2010-12-06,4,534.00,150588.00,282.00,282.00,282.00
2010-12-09,2,1541.00,434562.00,282.00,282.00,282.00
2010-12-22,4,339.00,96386.00,287.00,280.00,280.00
2010-12-23,3,240.00,67180.00,285.00,279.00,285.00
