Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2012-03-26,96,20196.00,2795608.00,152.00,138.00,138.00
2012-03-27,91,20390.00,2555438.00,136.00,125.00,125.00
2012-04-18,34,13706.00,1749800.00,129.00,127.00,129.00
2012-04-19,46,19738.00,2566398.00,131.00,129.00,131.00
2012-04-22,37,17735.00,2360267.00,135.00,133.00,133.00
2012-04-25,17,6446.00,870210.00,135.00,135.00,135.00
2012-04-26,26,11258.00,1542346.00,137.00,137.00,137.00
2012-04-29,22,8856.00,1230984.00,139.00,139.00,139.00
2012-04-30,3,281.00,40183.00,145.00,141.00,145.00
2012-05-09,1,388.00,57036.00,147.00,147.00,147.00
