Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-09-08,5,220.00,36564.00,168.00,165.00,168.00
2010-09-14,8,550.00,91344.00,168.00,165.00,165.00
2010-09-15,4,319.00,52173.00,165.00,162.00,165.00
2010-09-27,7,352.00,58740.00,168.00,162.00,168.00
2010-09-29,1,44.00,7524.00,171.00,171.00,171.00
2010-09-30,11,620.00,110424.00,183.00,174.00,183.00
2010-10-21,7,572.00,104676.00,183.00,183.00,183.00
2010-11-25,4,176.00,32736.00,186.00,186.00,186.00
2011-01-03,1,44.00,8140.00,185.00,185.00,185.00
2011-01-06,1,55.00,10010.00,182.00,182.00,182.00
2011-01-10,1,55.00,10175.00,185.00,185.00,185.00
2011-02-10,2,176.00,33088.00,188.00,188.00,188.00
2011-03-07,1,55.00,10505.00,191.00,191.00,191.00
2011-05-11,5,341.00,62557.00,188.00,182.00,182.00
2011-07-24,2,100.00,13000.00,130.00,130.00,130.00
2011-08-03,6,469.00,57900.00,128.00,118.00,118.00
2011-11-24,1,143.00,16588.00,116.00,116.00,116.00
2011-11-27,2,257.00,29812.00,116.00,116.00,116.00
