Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-03-13,1,100.00,12200.00,122.00,122.00,122.00
2013-03-19,3,200.00,23500.00,120.00,116.00,116.00
2013-03-21,6,3000.00,342000.00,114.00,114.00,114.00
2013-08-12,1,210.00,23520.00,112.00,112.00,112.00
2013-08-13,1,110.00,12100.00,110.00,110.00,110.00
2013-12-18,1,350.00,39200.00,112.00,112.00,112.00
2013-12-22,1,200.00,22800.00,114.00,114.00,114.00
2013-12-26,1,100.00,11400.00,114.00,114.00,114.00
2014-01-14,2,300.00,33400.00,112.00,110.00,110.00
2014-01-19,1,500.00,56000.00,112.00,112.00,112.00
2014-01-21,4,1460.00,166400.00,116.00,113.00,113.00
2014-01-22,6,3000.00,338000.00,114.00,111.00,114.00
2014-01-23,1,100.00,11200.00,112.00,112.00,112.00
2014-01-26,1,400.00,45600.00,114.00,114.00,114.00
2014-01-27,3,2280.00,255620.00,114.00,112.00,114.00
2014-01-28,2,250.00,29000.00,116.00,116.00,116.00
2014-02-05,1,200.00,23600.00,118.00,118.00,118.00
2014-02-17,1,350.00,42000.00,120.00,120.00,120.00
2014-02-18,1,110.00,13420.00,122.00,122.00,122.00
2014-02-23,1,1020.00,126480.00,124.00,124.00,124.00
2014-02-24,1,230.00,28980.00,126.00,126.00,126.00
2014-03-04,3,960.00,122880.00,128.00,128.00,128.00
2014-03-06,1,50.00,6500.00,130.00,130.00,130.00
2014-03-11,1,100.00,13200.00,132.00,132.00,132.00
2014-03-13,1,50.00,6700.00,134.00,134.00,134.00
2014-03-17,1,160.00,21760.00,136.00,136.00,136.00
2014-03-19,3,1450.00,203800.00,141.00,138.00,141.00
2014-03-27,1,40.00,5600.00,140.00,140.00,140.00
2014-04-10,1,60.00,8280.00,138.00,138.00,138.00
2014-06-03,4,200.00,26600.00,136.00,130.00,130.00
2014-06-10,3,210.00,26690.00,128.00,125.00,125.00
2014-06-16,1,1000.00,127000.00,127.00,127.00,127.00
2014-06-23,2,960.00,119000.00,125.00,123.00,123.00
2014-06-24,3,2900.00,362500.00,126.00,124.00,124.00
2014-06-25,7,4410.00,549630.00,127.00,123.00,126.00
2014-06-26,1,100.00,12800.00,128.00,128.00,128.00
2014-07-01,5,4040.00,545200.00,138.00,130.00,138.00
