Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,7,487.00,95794.00,206.00,189.00,189.00
2010-04-19,9,775.00,147050.00,200.00,184.00,184.00
2010-04-20,6,910.00,161360.00,183.00,173.00,173.00
2010-04-21,4,972.00,161868.00,170.00,164.00,167.00
2010-04-22,7,1540.00,246680.00,167.00,157.00,157.00
2010-04-25,17,2155.00,347120.00,163.00,160.00,162.00
2010-04-26,8,728.00,120230.00,168.00,162.00,162.00
2010-04-27,2,300.00,48600.00,162.00,162.00,162.00
2010-04-28,7,890.00,136150.00,156.00,149.00,149.00
2010-04-29,9,700.00,111250.00,163.00,151.00,160.00
2010-05-09,5,364.00,57256.00,160.00,154.00,154.00
2010-05-10,1,100.00,15100.00,151.00,151.00,151.00
2010-05-11,4,209.00,33086.00,163.00,154.00,163.00
2010-05-12,14,1950.00,327950.00,171.00,166.00,169.00
2010-05-13,15,2348.00,409130.00,181.00,170.00,170.00
2010-05-16,5,329.00,56140.00,173.00,167.00,167.00
2010-05-17,5,800.00,130500.00,167.00,161.00,167.00
2010-05-18,6,790.00,134810.00,173.00,169.00,173.00
2010-05-19,4,1421.00,241970.00,174.00,170.00,170.00
2010-05-20,5,700.00,119060.00,173.00,170.00,173.00
2010-05-23,2,70.00,12100.00,175.00,172.00,172.00
2010-05-24,11,3490.00,610910.00,179.00,172.00,179.00
2010-05-25,17,2534.00,474136.00,191.00,182.00,190.00
2010-05-26,16,4162.00,782104.00,192.00,181.00,181.00
2010-05-30,4,2110.00,391840.00,190.00,184.00,190.00
2010-05-31,8,2110.00,396040.00,193.00,184.00,184.00
2010-06-03,4,580.00,108610.00,190.00,184.00,184.00
2010-06-06,1,42.00,7728.00,184.00,184.00,184.00
2010-06-08,5,355.00,65985.00,187.00,184.00,187.00
2010-06-09,6,880.00,163880.00,191.00,185.00,191.00
2010-06-10,6,670.00,125080.00,194.00,182.00,182.00
2010-06-13,2,40.00,7460.00,188.00,185.00,188.00
2010-06-15,1,50.00,9250.00,185.00,185.00,185.00
2010-06-16,2,200.00,36200.00,182.00,180.00,180.00
2010-06-20,2,300.00,54000.00,182.00,179.00,179.00
2010-06-21,4,750.00,133950.00,179.00,176.00,179.00
2010-06-22,7,560.00,99880.00,185.00,176.00,176.00
2010-06-23,4,350.00,59950.00,173.00,170.00,170.00
2010-06-24,4,578.00,96826.00,170.00,167.00,167.00
2010-06-29,1,42.00,6888.00,164.00,164.00,164.00
2010-06-30,2,40.00,6740.00,170.00,167.00,170.00
2010-07-01,10,1008.00,176292.00,179.00,170.00,170.00
2010-07-04,3,320.00,55630.00,179.00,173.00,179.00
2010-07-05,2,200.00,35200.00,176.00,176.00,176.00
2010-07-06,2,200.00,35600.00,179.00,177.00,179.00
2010-07-07,3,150.00,27100.00,183.00,179.00,183.00
2010-07-12,1,100.00,18000.00,180.00,180.00,180.00
2010-07-15,4,210.00,39060.00,192.00,183.00,192.00
2010-07-25,1,50.00,9450.00,189.00,189.00,189.00
2010-08-08,2,100.00,19350.00,195.00,192.00,195.00
2010-08-09,1,19.00,3762.00,198.00,198.00,198.00
2010-08-10,1,20.00,4020.00,201.00,201.00,201.00
2010-08-11,7,410.00,83990.00,208.00,204.00,208.00
2010-08-12,1,88.00,17952.00,204.00,204.00,204.00
2010-08-15,2,70.00,14640.00,212.00,208.00,212.00
2010-08-16,1,100.00,20800.00,208.00,208.00,208.00
2010-09-09,6,4823.00,918488.00,204.00,190.00,190.00
2010-09-12,9,10971.00,2002697.00,188.00,171.00,171.00
2010-09-13,19,17388.00,2847814.00,168.00,154.00,154.00
2010-09-14,24,43447.00,6581097.00,162.00,150.00,159.00
2010-09-15,7,5862.00,936494.00,162.00,158.00,158.00
2010-09-16,5,10878.00,1699508.00,158.00,155.00,158.00
2010-09-19,6,1070.00,164970.00,158.00,153.00,158.00
2010-09-21,2,50.00,7960.00,161.00,158.00,158.00
2010-09-23,1,40.00,6320.00,158.00,158.00,158.00
2010-09-26,3,224.00,34740.00,156.00,155.00,155.00
2010-09-27,6,1220.00,185920.00,159.00,150.00,150.00
2010-09-28,9,594.00,90200.00,159.00,150.00,159.00
2010-09-29,4,500.00,77000.00,156.00,153.00,154.00
2010-09-30,4,250.00,39260.00,160.00,154.00,160.00
2010-10-05,8,2170.00,324990.00,157.00,147.00,157.00
2010-10-06,5,1390.00,209130.00,159.00,150.00,159.00
2010-10-07,4,500.00,78200.00,157.00,156.00,157.00
2010-10-10,4,620.00,94880.00,154.00,151.00,154.00
2010-10-11,14,3160.00,490530.00,166.00,151.00,166.00
2010-10-12,4,1617.00,264342.00,172.00,163.00,172.00
2010-10-13,7,700.00,122020.00,184.00,171.00,184.00
2010-10-20,1,100.00,18100.00,181.00,181.00,181.00
2010-10-21,6,429.00,79089.00,193.00,178.00,193.00
2010-10-24,10,1462.00,282030.00,200.00,190.00,200.00
2010-10-25,5,970.00,193800.00,200.00,196.00,196.00
2010-10-26,2,50.00,9554.00,193.00,190.00,190.00
2010-10-27,3,10050.00,1879350.00,187.00,187.00,187.00
2010-11-02,11,1126.00,212172.00,199.00,184.00,199.00
2010-11-04,12,25315.00,4741510.00,196.00,180.00,181.00
2010-11-10,2,2128.00,383040.00,180.00,180.00,180.00
2010-11-11,2,280.00,48870.00,177.00,174.00,174.00
2010-11-14,10,5653.00,1005783.00,190.00,177.00,190.00
2010-11-21,1,500.00,95000.00,190.00,190.00,190.00
2010-12-12,5,5100.00,923160.00,187.00,178.00,178.00
2010-12-13,5,5703.00,942064.00,175.00,165.00,165.00
2010-12-14,3,2410.00,397650.00,165.00,165.00,165.00
2010-12-15,15,6401.00,1012709.00,162.00,149.00,149.00
2010-12-16,4,4005.00,604204.00,151.00,150.00,150.00
2010-12-19,3,2065.00,311945.00,153.00,151.00,153.00
2010-12-20,6,677.00,101950.00,153.00,150.00,150.00
2010-12-22,3,678.00,101231.00,150.00,147.00,149.00
2010-12-23,3,415.00,62435.00,151.00,149.00,151.00
2010-12-27,6,813.00,123462.00,154.00,150.00,150.00
2010-12-28,5,422.00,63900.00,153.00,150.00,153.00
2010-12-29,5,860.00,129460.00,151.00,150.00,150.00
2011-01-02,1,100.00,15100.00,151.00,151.00,151.00
2011-01-05,2,620.00,91450.00,148.00,147.00,147.00
2011-01-09,1,100.00,14500.00,145.00,145.00,145.00
2011-01-10,4,1293.00,185471.00,147.00,143.00,143.00
2011-01-11,2,1260.00,178710.00,142.00,141.00,142.00
2011-01-12,3,509.00,73436.00,146.00,142.00,146.00
2011-01-13,1,328.00,47232.00,144.00,144.00,144.00
2011-01-18,1,60.00,8760.00,146.00,146.00,146.00
2011-01-23,2,317.00,45848.00,146.00,144.00,146.00
2011-01-24,1,200.00,29600.00,148.00,148.00,148.00
2011-02-01,1,593.00,86578.00,146.00,146.00,146.00
2011-02-03,1,920.00,136160.00,148.00,148.00,148.00
2011-02-06,3,160.00,24720.00,156.00,150.00,156.00
2011-02-10,3,1060.00,164360.00,158.00,155.00,155.00
2011-02-13,4,547.00,81821.00,152.00,149.00,149.00
2011-02-14,3,1891.00,276241.00,147.00,145.00,147.00
2011-02-16,2,932.00,136980.00,147.00,145.00,145.00
2011-02-17,6,180.00,27340.00,159.00,147.00,159.00
2011-03-07,1,50.00,8100.00,162.00,162.00,162.00
2011-04-04,4,346.00,53481.00,159.00,150.00,150.00
2011-04-05,2,460.00,68080.00,148.00,148.00,148.00
2011-04-06,4,459.00,65436.00,146.00,140.00,140.00
2011-04-07,5,450.00,60100.00,138.00,130.00,130.00
2011-04-11,5,140.00,19000.00,140.00,132.00,140.00
2011-04-13,6,105.00,15300.00,153.00,142.00,153.00
2011-04-19,1,10.00,1560.00,156.00,156.00,156.00
2011-04-27,1,690.00,107640.00,156.00,156.00,156.00
2011-05-04,3,10840.00,1589160.00,149.00,145.00,145.00
2011-05-08,1,20.00,3040.00,152.00,152.00,152.00
2011-05-10,2,1653.00,243011.00,149.00,147.00,147.00
2011-05-12,1,13.00,1937.00,149.00,149.00,149.00
2011-05-30,3,284.00,41308.00,147.00,143.00,143.00
2011-06-01,1,100.00,14100.00,141.00,141.00,141.00
2011-06-02,3,268.00,37388.00,141.00,139.00,141.00
2011-06-06,3,65.00,9165.00,143.00,139.00,143.00
2011-06-07,1,20.00,2900.00,145.00,145.00,145.00
2011-06-08,3,220.00,31460.00,143.00,143.00,143.00
2011-06-09,6,127.00,17748.00,142.00,137.00,142.00
2011-06-13,1,30.00,4380.00,146.00,146.00,146.00
2011-06-14,1,30.00,4470.00,149.00,149.00,149.00
2011-06-19,1,515.00,77250.00,150.00,150.00,150.00
2011-06-26,3,194.00,28518.00,147.00,147.00,147.00
2011-06-27,1,100.00,14500.00,145.00,145.00,145.00
2011-07-07,1,50.00,7150.00,143.00,143.00,143.00
2011-07-12,2,200.00,28200.00,141.00,141.00,141.00
2011-08-09,2,100.00,13800.00,139.00,137.00,137.00
2011-08-11,4,360.00,47560.00,135.00,129.00,129.00
2011-08-15,11,1316.00,164202.00,127.00,122.00,122.00
2011-08-16,17,1625.00,188118.00,124.00,110.00,110.00
2011-08-17,7,17652.00,1911611.00,114.00,108.00,114.00
2011-08-18,7,1558.00,184320.00,120.00,116.00,120.00
2011-08-22,6,473.00,58104.00,130.00,120.00,130.00
2011-08-23,2,47.00,6224.00,134.00,132.00,134.00
2011-08-24,3,32.00,4372.00,138.00,136.00,138.00
2011-08-25,2,30.00,4220.00,142.00,140.00,142.00
2011-09-12,2,100.00,14440.00,146.00,144.00,146.00
2011-09-14,8,1741.00,239028.00,144.00,132.00,132.00
2011-09-15,3,252.00,32252.00,130.00,126.00,126.00
2011-09-18,2,667.00,81394.00,124.00,122.00,122.00
2011-09-29,2,145.00,18180.00,126.00,124.00,126.00
2012-07-04,14,504.00,58456.00,128.00,114.00,114.00
2012-07-05,17,1515.00,171348.00,117.00,110.00,117.00
2012-07-08,9,2526.00,293060.00,117.00,115.00,115.00
2012-07-09,9,2215.00,251425.00,115.00,113.00,114.00
2012-07-10,4,894.00,100926.00,115.00,112.00,115.00
2012-07-11,14,3397.00,381486.00,117.00,111.00,111.00
2012-07-12,10,3067.00,340964.00,113.00,111.00,111.00
2012-07-15,1,500.00,56000.00,112.00,112.00,112.00
2012-07-16,8,5924.00,663688.00,113.00,112.00,113.00
2012-07-17,1,451.00,51414.00,114.00,114.00,114.00
2012-07-18,4,1587.00,181021.00,115.00,113.00,115.00
2012-07-19,4,260.00,30900.00,119.00,117.00,119.00
2012-07-22,8,600.00,71753.00,122.00,118.00,122.00
2012-07-23,10,3658.00,440308.00,124.00,119.00,121.00
2012-07-24,6,2105.00,250092.00,121.00,118.00,118.00
2012-07-25,2,909.00,106647.00,118.00,117.00,117.00
2012-07-26,3,688.00,79876.00,117.00,115.00,117.00
2012-07-30,4,129.00,15257.00,119.00,117.00,118.00
2012-07-31,3,695.00,82130.00,120.00,118.00,118.00
2012-08-01,1,910.00,108290.00,119.00,119.00,119.00
2012-08-05,3,226.00,27075.00,120.00,119.00,120.00
2012-08-06,1,460.00,54280.00,118.00,118.00,118.00
2012-08-07,1,205.00,24395.00,119.00,119.00,119.00
