Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-03-05,1,10.00,3000.00,300.00,300.00,300.00
2013-07-18,1,11.00,3234.00,294.00,294.00,294.00
2014-03-23,1,60.00,17400.00,290.00,290.00,290.00
2014-03-24,4,142.00,41604.00,294.00,290.00,294.00
2014-04-09,2,127.00,36263.00,289.00,284.00,284.00
2014-06-01,1,88.00,24552.00,279.00,279.00,279.00
2014-06-03,1,53.00,14522.00,274.00,274.00,274.00
2014-06-29,1,194.00,52380.00,270.00,270.00,270.00
2014-06-30,14,2075.00,512960.00,265.00,243.00,244.00
2014-07-01,10,1151.00,276719.00,245.00,236.00,238.00
2014-07-02,2,141.00,33487.00,239.00,235.00,239.00
2014-07-06,2,70.00,17010.00,243.00,243.00,243.00
2014-07-07,3,126.00,31416.00,251.00,247.00,250.00
2014-07-09,1,10.00,2500.00,250.00,250.00,250.00
2014-07-10,3,159.00,41075.00,260.00,255.00,260.00
2014-07-16,1,71.00,18815.00,265.00,265.00,265.00
2014-07-24,1,39.00,9204.00,236.00,236.00,236.00
2014-07-28,1,324.00,77760.00,240.00,240.00,240.00
2014-07-30,3,54.00,13320.00,248.00,244.00,248.00
2014-07-31,1,21.00,5292.00,252.00,252.00,252.00
2014-08-03,3,180.00,47160.00,267.00,257.00,267.00
2014-08-07,1,11.00,2992.00,272.00,272.00,272.00
2014-08-12,3,222.00,62604.00,287.00,277.00,287.00
2014-08-24,2,53.00,14910.00,282.00,280.00,280.00
2014-09-09,7,242.00,69495.00,295.00,280.00,295.00
2014-09-10,1,71.00,20590.00,290.00,290.00,290.00
2014-09-11,1,177.00,51330.00,290.00,290.00,290.00
2014-09-14,6,219.00,65170.00,300.00,294.00,296.00
2014-09-15,3,380.00,108960.00,291.00,286.00,286.00
2014-09-17,1,152.00,44232.00,291.00,291.00,291.00
2014-09-18,4,369.00,103259.00,286.00,276.00,276.00
2014-09-21,1,377.00,105560.00,280.00,280.00,280.00
2014-09-22,1,178.00,48950.00,275.00,275.00,275.00
2014-10-09,2,412.00,112860.00,275.00,270.00,275.00
2014-11-11,1,11.00,2970.00,270.00,270.00,270.00
2014-11-17,1,53.00,14151.00,267.00,267.00,267.00
2014-11-20,4,4117.00,1057229.00,262.00,252.00,252.00
2014-11-23,1,106.00,26182.00,247.00,247.00,247.00
2014-11-24,3,966.00,236446.00,247.00,243.00,247.00
2014-11-25,2,3319.00,820217.00,251.00,247.00,251.00
2014-11-30,1,3213.00,793611.00,247.00,247.00,247.00
2014-12-18,2,493.00,122845.00,250.00,249.00,250.00
2014-12-22,3,2042.00,529920.00,264.00,255.00,264.00
2014-12-23,5,857.00,235578.00,284.00,269.00,284.00
2014-12-24,2,74.00,21507.00,293.00,288.00,293.00
2014-12-28,5,706.00,204658.00,298.00,288.00,288.00
2015-01-01,2,141.00,40450.00,290.00,285.00,285.00
2015-01-05,5,7440.00,2115400.00,285.00,280.00,280.00
2015-01-06,1,162.00,45684.00,282.00,282.00,282.00
2015-01-08,4,1472.00,412970.00,285.00,280.00,285.00
2015-01-11,2,655.00,191450.00,295.00,290.00,295.00
2015-01-12,4,779.00,235332.00,312.00,300.00,312.00
2015-01-14,1,74.00,23532.00,318.00,318.00,318.00
2015-01-26,2,185.00,60078.00,330.00,324.00,330.00
2015-01-27,5,189.00,66514.00,361.00,336.00,361.00
2015-01-28,8,586.00,231740.00,397.00,368.00,397.00
2015-01-29,10,1043.00,441618.00,434.00,402.00,434.00
2015-02-01,5,522.00,229610.00,445.00,437.00,437.00
2015-02-02,2,422.00,184278.00,437.00,429.00,429.00
2015-02-03,3,60.00,24732.00,421.00,405.00,405.00
2015-02-04,6,641.00,246364.00,397.00,376.00,376.00
2015-02-05,3,117.00,43492.00,374.00,369.00,374.00
2015-02-08,5,418.00,155655.00,375.00,371.00,372.00
2015-02-09,11,3209.00,1154030.00,372.00,354.00,372.00
2015-02-10,2,171.00,63612.00,372.00,372.00,372.00
2015-02-11,10,2072.00,816273.00,409.00,379.00,409.00
2015-02-12,4,198.00,85494.00,433.00,417.00,433.00
2015-02-15,17,5083.00,2300264.00,470.00,426.00,470.00
2015-02-16,4,172.00,80649.00,477.00,461.00,461.00
2015-02-18,8,3140.00,1413700.00,462.00,442.00,442.00
2015-02-22,2,77.00,34114.00,450.00,442.00,442.00
2015-02-24,3,6436.00,2716112.00,434.00,418.00,418.00
2015-02-25,4,998.00,407404.00,410.00,402.00,410.00
2015-02-26,1,74.00,29748.00,402.00,402.00,402.00
2015-03-01,4,640.00,262988.00,415.00,402.00,415.00
2015-03-02,1,10.00,4070.00,407.00,407.00,407.00
2015-03-03,1,88.00,35816.00,407.00,407.00,407.00
2015-03-09,1,500.00,200500.00,401.00,401.00,401.00
2015-03-11,9,721.00,316889.00,441.00,409.00,441.00
2015-03-12,15,2918.00,1358565.00,485.00,449.00,458.00
