Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-28,9,360.00,84960.00,236.00,236.00,236.00
2010-04-29,30,1380.00,325680.00,236.00,236.00,236.00
2010-05-10,25,1280.00,301680.00,236.00,232.00,232.00
2010-05-12,2,60.00,13980.00,235.00,232.00,235.00
2010-05-13,1,40.00,9240.00,231.00,231.00,231.00
2010-05-16,1,100.00,22700.00,227.00,227.00,227.00
2010-05-19,1,100.00,22300.00,223.00,223.00,223.00
2010-05-23,3,110.00,23690.00,219.00,211.00,211.00
2010-05-24,7,480.00,97440.00,207.00,201.00,201.00
2010-05-25,11,1010.00,220450.00,221.00,205.00,221.00
2010-05-26,1,100.00,22100.00,221.00,221.00,221.00
2010-05-30,2,80.00,17820.00,225.00,222.00,222.00
2010-05-31,4,430.00,95790.00,225.00,222.00,222.00
2010-06-01,1,40.00,9040.00,226.00,226.00,226.00
2010-06-03,1,30.00,6660.00,222.00,222.00,222.00
2010-06-13,1,250.00,54500.00,218.00,218.00,218.00
2010-06-16,5,760.00,152640.00,214.00,200.00,200.00
2010-06-17,6,860.00,172300.00,202.00,200.00,200.00
2010-06-20,3,100.00,19920.00,200.00,198.00,198.00
2010-06-21,6,240.00,47040.00,198.00,195.00,195.00
2010-06-22,8,540.00,105300.00,195.00,195.00,195.00
2010-06-23,2,110.00,21330.00,195.00,192.00,195.00
2010-06-24,2,40.00,7860.00,198.00,195.00,195.00
2010-06-28,2,180.00,35180.00,196.00,195.00,195.00
2010-07-05,2,200.00,38400.00,192.00,192.00,192.00
2010-07-06,3,120.00,23000.00,192.00,191.00,191.00
2010-07-07,4,120.00,23280.00,194.00,194.00,194.00
2010-07-11,20,800.00,152800.00,191.00,191.00,191.00
2010-07-21,3,410.00,76840.00,188.00,186.00,186.00
2010-07-22,30,1290.00,249410.00,197.00,189.00,194.00
2010-07-25,45,900.00,169800.00,191.00,188.00,188.00
2010-07-28,88,2230.00,449760.00,206.00,191.00,206.00
2010-07-29,1,40.00,8400.00,210.00,210.00,210.00
2010-08-08,1,800.00,168000.00,210.00,210.00,210.00
2010-08-09,1,2800.00,588000.00,210.00,210.00,210.00
2010-08-11,3,620.00,130200.00,210.00,210.00,210.00
2010-08-12,14,420.00,90120.00,219.00,214.00,219.00
