Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-05-16,271,52684.00,7789868.00,162.00,132.00,149.00
2013-05-19,283,54254.00,7899772.00,149.00,144.00,145.00
2013-05-20,357,31288.00,4504829.00,147.00,142.00,143.00
2013-05-21,236,35474.00,5084143.00,149.00,142.00,144.00
2013-05-22,286,41493.00,5914350.00,144.00,141.00,143.00
2013-05-23,200,28769.00,4083138.00,143.00,141.00,143.00
2013-05-26,234,17586.00,2510863.00,145.00,141.00,143.00
2013-05-27,318,28893.00,4169922.00,147.00,143.00,146.00
2013-05-28,374,27641.00,4021437.00,146.00,145.00,145.00
2013-05-30,160,39233.00,5677742.00,146.00,144.00,145.00
2013-06-02,79,6291.00,902028.00,146.00,142.00,144.00
2013-06-03,169,10149.00,1453623.00,144.00,143.00,143.00
2013-06-04,113,10712.00,1534709.00,144.00,143.00,144.00
2013-06-05,139,35411.00,5101841.00,145.00,143.00,145.00
2013-06-06,183,38109.00,5482934.00,146.00,142.00,144.00
2013-06-09,198,24765.00,3565984.00,145.00,141.00,144.00
2013-06-10,240,31748.00,4527848.00,144.00,142.00,143.00
2013-06-11,172,21433.00,3056239.00,145.00,142.00,143.00
2013-06-12,149,14555.00,2091157.00,145.00,143.00,144.00
2013-06-13,104,6765.00,973626.00,145.00,143.00,144.00
2013-06-16,121,8972.00,1297918.00,145.00,144.00,144.00
2013-06-17,120,8097.00,1159485.00,144.00,142.00,144.00
2013-06-18,122,12301.00,1756391.00,144.00,142.00,143.00
2013-06-19,161,15145.00,2151919.00,143.00,142.00,142.00
2013-06-20,114,12890.00,1839923.00,144.00,140.00,143.00
2013-06-23,104,18194.00,2580721.00,143.00,141.00,141.00
2013-06-24,162,25267.00,3546390.00,143.00,139.00,143.00
2013-06-25,198,16894.00,2415536.00,147.00,140.00,144.00
2013-06-26,172,14820.00,2146389.00,146.00,143.00,144.00
2013-06-27,173,13371.00,1916603.00,146.00,143.00,143.00
2013-06-30,106,14279.00,2019019.00,145.00,140.00,143.00
2013-07-01,164,43299.00,6100617.00,144.00,140.00,141.00
2013-07-02,210,21917.00,3070889.00,142.00,139.00,140.00
2013-07-03,116,40049.00,5604603.00,140.00,139.00,140.00
2013-07-04,194,11418.00,1594593.00,141.00,139.00,140.00
2013-07-07,186,9767.00,1369755.00,141.00,140.00,140.00
2013-07-08,129,10489.00,1482363.00,143.00,140.00,143.00
2013-07-09,91,8405.00,1204526.00,145.00,141.00,145.00
2013-07-10,98,11421.00,1649670.00,146.00,143.00,145.00
2013-07-11,27,3170.00,454425.00,145.00,142.00,142.00
2013-07-14,52,3663.00,524230.00,144.00,141.00,143.00
2013-07-15,42,9750.00,1383583.00,149.00,140.00,140.00
2013-07-16,69,4034.00,577613.00,145.00,142.00,143.00
2013-07-17,69,7223.00,1028495.00,143.00,141.00,142.00
2013-07-18,86,9984.00,1439035.00,147.00,142.00,145.00
2013-07-21,98,17305.00,2573564.00,150.00,145.00,147.00
2013-07-22,61,4575.00,667917.00,147.00,145.00,146.00
2013-07-23,43,6836.00,983317.00,146.00,143.00,145.00
2013-07-24,43,6373.00,915269.00,145.00,143.00,144.00
