Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-19,2,255.00,87875.00,345.00,344.00,345.00
2010-04-20,3,104.00,34308.00,339.00,327.00,327.00
2010-04-25,1,10.00,3210.00,321.00,321.00,321.00
2010-04-27,3,2008.00,644508.00,321.00,315.00,315.00
2010-04-29,3,152.00,47668.00,314.00,308.00,308.00
2010-05-09,1,10.00,3020.00,302.00,302.00,302.00
2010-05-11,4,455.00,132120.00,296.00,284.00,284.00
2010-05-12,2,133.00,36927.00,279.00,274.00,274.00
2010-05-16,3,200.00,54800.00,274.00,274.00,274.00
2010-05-17,1,100.00,27200.00,272.00,272.00,272.00
2010-05-18,3,242.00,65758.00,274.00,270.00,274.00
2010-05-19,3,288.00,80464.00,283.00,277.00,283.00
2010-05-20,1,53.00,15264.00,288.00,288.00,288.00
2010-05-23,2,160.00,46760.00,293.00,291.00,293.00
2010-05-24,1,60.00,17880.00,298.00,298.00,298.00
2010-05-26,2,192.00,58176.00,303.00,303.00,303.00
2010-05-30,2,20.00,6240.00,315.00,309.00,315.00
2010-06-02,1,20.00,6400.00,320.00,320.00,320.00
2010-06-06,2,192.00,61072.00,320.00,316.00,316.00
2010-06-07,1,100.00,31000.00,310.00,310.00,310.00
2010-06-08,1,200.00,60800.00,304.00,304.00,304.00
2010-06-13,1,810.00,246240.00,304.00,304.00,304.00
2010-06-16,1,100.00,29800.00,298.00,298.00,298.00
2010-06-21,1,35.00,10255.00,293.00,293.00,293.00
2010-06-23,2,200.00,57300.00,288.00,285.00,285.00
2010-07-01,1,18.00,5220.00,290.00,290.00,290.00
2010-07-08,4,65.00,19530.00,306.00,295.00,306.00
2010-07-11,3,30.00,9460.00,320.00,310.00,320.00
2010-08-01,1,117.00,37440.00,320.00,320.00,320.00
2010-08-04,4,200.00,65080.00,326.00,325.00,326.00
2010-08-11,2,230.00,73600.00,320.00,320.00,320.00
2010-08-19,1,52.00,16640.00,320.00,320.00,320.00
2010-09-19,1,100.00,31400.00,314.00,314.00,314.00
2010-11-21,4,102.00,31774.00,316.00,304.00,304.00
2010-11-22,2,300.00,88800.00,300.00,294.00,294.00
2010-11-23,7,1331.00,370913.00,289.00,267.00,267.00
2010-11-24,5,1054.00,273602.00,263.00,255.00,255.00
2010-11-25,3,850.00,209250.00,250.00,245.00,245.00
2010-12-14,2,274.00,66856.00,244.00,244.00,244.00
2010-12-16,2,78.00,19110.00,245.00,245.00,245.00
2010-12-20,1,156.00,37596.00,241.00,241.00,241.00
2011-02-14,1,132.00,31680.00,240.00,240.00,240.00
2011-02-24,3,1807.00,433680.00,240.00,240.00,240.00
2011-03-20,2,274.00,66856.00,244.00,244.00,244.00
2011-03-21,1,10.00,2450.00,245.00,245.00,245.00
2011-03-22,6,630.00,156870.00,249.00,249.00,249.00
2011-04-11,1,80.00,19600.00,245.00,245.00,245.00
2011-05-12,4,326.00,78566.00,241.00,241.00,241.00
2011-05-15,1,40.00,9640.00,241.00,241.00,241.00
2011-07-05,24,450.00,111050.00,247.00,243.00,243.00
2011-07-06,11,280.00,69160.00,247.00,247.00,247.00
2011-07-07,21,760.00,188320.00,248.00,247.00,248.00
2011-07-13,8,160.00,39680.00,248.00,248.00,248.00
2011-07-14,4,40.00,10380.00,267.00,252.00,267.00
2011-07-17,3,50.00,13850.00,282.00,272.00,282.00
2011-07-28,2,20.00,5490.00,277.00,272.00,272.00
2011-07-31,2,50.00,13600.00,272.00,272.00,272.00
2011-08-01,6,100.00,26100.00,267.00,255.00,260.00
2011-08-09,2,134.00,34840.00,260.00,260.00,260.00
2011-08-25,2,262.00,65560.00,255.00,250.00,250.00
2011-08-29,2,55.00,13395.00,245.00,241.00,241.00
2011-08-30,4,420.00,99810.00,240.00,237.00,237.00
2011-09-01,3,181.00,41689.00,233.00,225.00,225.00
2011-09-08,1,40.00,8840.00,221.00,221.00,221.00
2011-09-12,4,217.00,46078.00,218.00,206.00,206.00
2011-09-14,1,10.00,2020.00,202.00,202.00,202.00
2011-09-15,1,18.00,3600.00,200.00,200.00,200.00
2011-09-18,1,37.00,7252.00,196.00,196.00,196.00
2011-09-19,2,50.00,9710.00,195.00,193.00,193.00
2011-11-02,6,190.00,38000.00,210.00,196.00,210.00
2011-11-15,1,18.00,3708.00,206.00,206.00,206.00
2011-12-06,1,110.00,22220.00,202.00,202.00,202.00
2011-12-07,3,75.00,14619.00,198.00,192.00,192.00
2011-12-08,14,1899.00,338100.00,189.00,175.00,179.00
2011-12-11,4,270.00,48690.00,185.00,179.00,179.00
2011-12-12,1,150.00,27150.00,181.00,181.00,181.00
2011-12-13,3,75.00,13950.00,187.00,184.00,184.00
2011-12-19,3,210.00,37610.00,181.00,178.00,180.00
2011-12-20,4,650.00,115050.00,177.00,177.00,177.00
2011-12-22,1,100.00,17400.00,174.00,174.00,174.00
2011-12-26,11,1341.00,249328.00,189.00,177.00,185.00
2011-12-27,6,557.00,103641.00,191.00,183.00,190.00
2011-12-28,7,210.00,41620.00,202.00,193.00,202.00
2012-01-23,2,2850.00,507330.00,181.00,178.00,178.00
2012-01-31,1,200.00,35000.00,175.00,175.00,175.00
2012-02-06,3,450.00,77280.00,172.00,169.00,169.00
2012-02-07,3,260.00,44000.00,172.00,169.00,172.00
2012-02-12,1,100.00,16900.00,169.00,169.00,169.00
2012-02-23,1,20.00,3380.00,169.00,169.00,169.00
2012-03-01,1,20.00,3380.00,169.00,169.00,169.00
2012-03-21,5,726.00,120390.00,166.00,163.00,163.00
2012-04-01,1,100.00,16000.00,160.00,160.00,160.00
2012-04-08,7,1011.00,149311.00,157.00,144.00,144.00
2012-04-10,1,140.00,19880.00,142.00,142.00,142.00
2012-04-11,1,42.00,5880.00,140.00,140.00,140.00
2012-04-18,5,444.00,63448.00,150.00,142.00,150.00
2012-04-19,3,60.00,9360.00,159.00,153.00,159.00
2012-04-24,4,80.00,13320.00,171.00,162.00,171.00
2012-04-25,4,80.00,14280.00,183.00,174.00,183.00
2012-04-26,3,242.00,45072.00,189.00,186.00,186.00
2012-05-15,2,40.00,7620.00,192.00,189.00,192.00
2012-05-17,3,60.00,11880.00,201.00,195.00,201.00
2012-05-27,2,40.00,8280.00,209.00,205.00,209.00
2012-06-03,2,40.00,8600.00,217.00,213.00,217.00
2012-07-19,1,1000.00,215000.00,215.00,215.00,215.00
2012-08-08,1,53.00,11183.00,211.00,211.00,211.00
2012-08-15,1,60.00,12420.00,207.00,207.00,207.00
2012-09-11,3,60.00,12900.00,219.00,211.00,219.00
2012-09-26,3,547.00,115965.00,215.00,211.00,211.00
2012-09-27,1,137.00,29318.00,214.00,214.00,214.00
2012-09-30,1,273.00,57330.00,210.00,210.00,210.00
2012-11-29,1,100.00,21000.00,210.00,210.00,210.00
2012-12-12,2,1500.00,311000.00,210.00,206.00,206.00
2012-12-31,3,1566.00,322596.00,206.00,206.00,206.00
