Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,29,91470.00,21038100.00,230.00,230.00,230.00
2010-11-21,8,12150.00,2794500.00,230.00,230.00,230.00
2011-07-10,1,15000.00,3390000.00,226.00,226.00,226.00
2011-08-18,2,4395.00,993270.00,226.00,226.00,226.00
2011-09-07,1,20000.00,4520000.00,226.00,226.00,226.00
2012-08-08,1,29612.00,6366580.00,215.00,215.00,215.00
2013-04-21,1,6595.00,1233265.00,187.00,187.00,187.00
2013-09-29,1,2200.00,411400.00,187.00,187.00,187.00
2014-07-06,13,31250.00,5750000.00,184.00,184.00,184.00
2014-07-31,1,32670.00,2417580.00,0.00,0.00,74.00
