Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2014-11-06,1,50.00,5100.00,102.00,102.00,102.00
2015-01-06,1,35.00,3325.00,95.00,95.00,95.00
2015-02-03,1,10.00,990.00,99.00,99.00,99.00
2015-02-04,1,10.00,1030.00,103.00,103.00,103.00
2015-02-08,1,10.00,1080.00,108.00,108.00,108.00
2015-02-09,1,10.00,1130.00,113.00,113.00,113.00
2015-02-12,1,10.00,1180.00,118.00,118.00,118.00
2015-02-15,1,10.00,1230.00,123.00,123.00,123.00
2015-02-16,2,510.00,66790.00,131.00,129.00,131.00
2015-02-18,1,10.00,1370.00,137.00,137.00,137.00
2015-03-01,1,10.00,1430.00,143.00,143.00,143.00
2015-03-02,1,10.00,1500.00,150.00,150.00,150.00
2015-03-04,2,27.00,4290.00,160.00,157.00,160.00
2015-03-10,1,10.00,1680.00,168.00,168.00,168.00
2015-03-11,1,10.00,1760.00,176.00,176.00,176.00
