Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,1,100.00,26500.00,265.00,265.00,265.00
2010-04-19,7,240.00,63150.00,265.00,260.00,260.00
2010-04-20,3,340.00,88150.00,260.00,255.00,260.00
2010-04-21,7,510.00,126400.00,255.00,245.00,245.00
2010-04-22,12,520.00,127690.00,247.00,241.00,241.00
2010-04-25,10,260.00,63950.00,249.00,245.00,246.00
2010-04-26,6,430.00,106030.00,250.00,245.00,247.00
2010-04-27,3,240.00,59280.00,247.00,247.00,247.00
2010-04-28,14,900.00,213150.00,243.00,232.00,238.00
2010-04-29,4,180.00,42780.00,238.00,236.00,236.00
2010-05-09,5,240.00,56400.00,236.00,234.00,234.00
2010-05-10,7,430.00,101420.00,238.00,234.00,235.00
2010-05-11,2,110.00,25740.00,234.00,234.00,234.00
2010-05-13,8,500.00,127420.00,257.00,238.00,257.00
2010-05-16,25,1160.00,301280.00,266.00,256.00,260.00
2010-05-17,7,220.00,56200.00,260.00,255.00,260.00
2010-05-18,6,460.00,119750.00,265.00,260.00,265.00
2010-05-19,4,360.00,99100.00,280.00,270.00,280.00
2010-05-20,10,260.00,73700.00,290.00,280.00,280.00
2010-05-23,7,250.00,71250.00,290.00,280.00,290.00
2010-05-24,13,1170.00,339460.00,293.00,287.00,290.00
2010-05-25,7,780.00,234560.00,306.00,295.00,306.00
2010-05-26,14,930.00,283570.00,310.00,300.00,300.00
2010-05-31,13,635.00,191110.00,312.00,289.00,294.00
2010-06-01,13,595.00,168430.00,289.00,280.00,282.00
2010-06-02,6,195.00,55495.00,289.00,283.00,289.00
2010-06-03,8,395.00,116940.00,307.00,290.00,304.00
2010-06-07,5,230.00,65940.00,298.00,284.00,284.00
2010-06-08,8,380.00,109880.00,292.00,285.00,290.00
2010-06-09,10,885.00,255190.00,295.00,283.00,283.00
2010-06-10,32,3420.00,941810.00,288.00,273.00,275.00
2010-06-13,27,1145.00,307760.00,271.00,265.00,270.00
2010-06-14,10,675.00,181680.00,271.00,265.00,270.00
2010-06-15,15,655.00,176190.00,270.00,265.00,269.00
2010-06-16,4,130.00,34080.00,264.00,260.00,263.00
2010-06-17,8,370.00,97930.00,265.00,263.00,265.00
2010-06-20,8,395.00,103325.00,265.00,260.00,265.00
2010-06-21,10,330.00,88370.00,270.00,265.00,270.00
2010-06-22,4,140.00,36300.00,265.00,255.00,255.00
2010-06-23,17,640.00,163785.00,265.00,251.00,265.00
2010-06-24,8,460.00,118265.00,260.00,254.00,254.00
2010-06-28,11,790.00,197430.00,255.00,248.00,255.00
2010-06-29,29,1145.00,279325.00,250.00,240.00,247.00
2010-06-30,11,765.00,188760.00,250.00,246.00,246.00
2010-07-01,11,495.00,128895.00,269.00,250.00,261.00
2010-07-04,4,180.00,47420.00,266.00,258.00,258.00
2010-07-05,16,1050.00,264730.00,256.00,247.00,255.00
2010-07-06,13,795.00,199475.00,254.00,249.00,251.00
2010-07-07,19,1050.00,272415.00,269.00,254.00,264.00
2010-07-08,20,1405.00,366790.00,265.00,255.00,255.00
2010-07-11,3,335.00,82820.00,250.00,244.00,244.00
2010-07-12,5,295.00,72870.00,251.00,240.00,251.00
2010-07-13,4,195.00,49680.00,256.00,254.00,256.00
2010-07-14,5,585.00,145000.00,256.00,247.00,256.00
2010-07-15,5,260.00,67110.00,260.00,255.00,260.00
2010-07-18,2,60.00,15300.00,255.00,255.00,255.00
2010-07-19,9,245.00,62035.00,257.00,250.00,250.00
2010-07-20,23,1100.00,281680.00,260.00,252.00,260.00
2010-07-21,22,1020.00,268115.00,269.00,253.00,269.00
2010-07-22,8,1345.00,359360.00,270.00,264.00,265.00
2010-07-25,11,710.00,182115.00,263.00,250.00,250.00
2010-07-26,23,1535.00,385650.00,255.00,250.00,250.00
2010-07-27,23,905.00,231265.00,265.00,249.00,265.00
2010-07-28,18,705.00,181770.00,260.00,250.00,250.00
2010-07-29,7,255.00,64200.00,255.00,250.00,255.00
2010-08-01,2,330.00,83400.00,255.00,250.00,255.00
2010-08-02,7,360.00,92040.00,259.00,254.00,254.00
2010-08-03,16,1005.00,253630.00,255.00,251.00,251.00
2010-08-04,23,1795.00,453425.00,255.00,247.00,250.00
2010-08-05,13,935.00,235270.00,257.00,250.00,257.00
2010-08-08,6,230.00,57390.00,256.00,247.00,251.00
2010-08-09,8,630.00,155310.00,251.00,245.00,245.00
2010-08-10,14,1430.00,356170.00,252.00,248.00,250.00
2010-08-11,16,755.00,188070.00,250.00,245.00,250.00
2010-08-12,13,720.00,176075.00,250.00,242.00,246.00
2010-08-15,7,250.00,62000.00,248.00,248.00,248.00
2010-08-16,4,140.00,34860.00,249.00,249.00,249.00
2010-08-17,1,75.00,18600.00,248.00,248.00,248.00
2010-08-18,15,460.00,111695.00,248.00,241.00,242.00
2010-08-19,3,720.00,171600.00,239.00,235.00,235.00
2010-08-22,28,2230.00,499120.00,235.00,220.00,225.00
2010-08-23,29,2180.00,485435.00,225.00,220.00,221.00
2010-08-26,34,1460.00,325315.00,225.00,216.00,220.00
2010-08-29,12,915.00,201165.00,223.00,216.00,222.00
2010-08-30,19,770.00,169685.00,225.00,215.00,215.00
2010-08-31,16,880.00,185475.00,213.00,208.00,211.00
2010-09-02,25,1070.00,227405.00,215.00,209.00,215.00
2010-09-05,38,2875.00,615675.00,223.00,205.00,211.00
2010-09-06,16,760.00,163475.00,217.00,211.00,217.00
2010-09-07,20,1480.00,321580.00,221.00,215.00,221.00
2010-09-08,14,590.00,131435.00,227.00,217.00,217.00
2010-09-09,13,2065.00,445065.00,221.00,207.00,207.00
2010-09-12,20,1635.00,341420.00,215.00,205.00,215.00
2010-09-13,18,1580.00,347310.00,229.00,215.00,229.00
2010-09-14,22,1895.00,430110.00,230.00,222.00,223.00
2010-09-15,14,820.00,181855.00,226.00,212.00,215.00
2010-09-16,12,445.00,96610.00,218.00,216.00,217.00
2010-09-19,16,860.00,184140.00,216.00,212.00,216.00
2010-09-20,28,1170.00,257570.00,224.00,218.00,223.00
2010-09-21,5,640.00,143220.00,227.00,222.00,222.00
2010-09-23,4,255.00,56385.00,224.00,220.00,222.00
2010-09-26,18,800.00,176855.00,226.00,216.00,222.00
2010-09-27,21,1760.00,394220.00,225.00,222.00,224.00
2010-09-28,19,1480.00,329045.00,225.00,220.00,224.00
2010-09-29,4,170.00,38530.00,227.00,226.00,226.00
2010-09-30,16,1220.00,270090.00,225.00,220.00,224.00
2010-10-03,25,1170.00,249015.00,220.00,207.00,212.00
2010-10-05,8,420.00,93940.00,225.00,222.00,225.00
2010-10-06,11,1030.00,230765.00,226.00,221.00,224.00
2010-10-07,9,1265.00,285365.00,228.00,222.00,228.00
2010-10-10,12,540.00,127760.00,240.00,228.00,240.00
2010-10-11,2,60.00,14340.00,240.00,238.00,238.00
2010-10-12,2,50.00,11750.00,235.00,235.00,235.00
2010-10-21,8,510.00,117780.00,231.00,230.00,230.00
2010-10-24,7,360.00,82870.00,234.00,230.00,230.00
2010-10-25,9,295.00,68690.00,236.00,229.00,236.00
2010-10-26,6,270.00,63960.00,240.00,234.00,234.00
2010-10-27,8,545.00,127020.00,235.00,232.00,232.00
2010-10-28,7,325.00,75380.00,236.00,230.00,236.00
2010-10-31,3,70.00,16280.00,236.00,232.00,232.00
2010-11-02,5,155.00,36300.00,235.00,233.00,234.00
2010-11-03,21,1055.00,241760.00,234.00,220.00,231.00
2010-11-04,42,3160.00,757310.00,250.00,228.00,245.00
2010-11-09,42,2640.00,645505.00,247.00,242.00,247.00
2010-11-10,13,680.00,167740.00,250.00,245.00,250.00
2010-11-11,20,1290.00,311015.00,249.00,236.00,249.00
2010-11-14,3,210.00,51450.00,245.00,245.00,245.00
2010-11-15,14,760.00,182920.00,245.00,238.00,245.00
2010-11-16,25,1010.00,245995.00,246.00,240.00,244.00
2010-11-18,7,660.00,161850.00,248.00,244.00,245.00
2010-11-21,21,1175.00,280255.00,245.00,235.00,235.00
2010-11-22,15,805.00,190850.00,241.00,235.00,241.00
2010-11-23,11,365.00,88910.00,248.00,241.00,241.00
2010-11-24,10,770.00,179230.00,237.00,230.00,235.00
2010-11-25,11,730.00,169830.00,235.00,228.00,228.00
2010-11-28,13,640.00,148480.00,236.00,225.00,234.00
2010-11-29,32,1560.00,359430.00,234.00,227.00,234.00
2010-11-30,13,530.00,124675.00,237.00,230.00,233.00
2010-12-01,12,605.00,141770.00,236.00,232.00,235.00
2010-12-02,8,1300.00,302980.00,238.00,230.00,230.00
2010-12-05,20,2280.00,526350.00,234.00,224.00,225.00
2010-12-06,32,1455.00,326820.00,226.00,222.00,226.00
2010-12-07,13,705.00,157120.00,224.00,222.00,222.00
2010-12-08,13,455.00,99975.00,224.00,213.00,223.00
2010-12-09,8,605.00,134155.00,226.00,220.00,226.00
2010-12-13,4,70.00,15420.00,222.00,218.00,218.00
