Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2012-09-16,1,756.00,96768.00,128.00,128.00,128.00
2013-08-15,5,647870.00,82927360.00,128.00,128.00,128.00
2013-08-19,3,709006.00,90752768.00,128.00,128.00,128.00
2013-09-01,2,233336.00,29867008.00,128.00,128.00,128.00
2013-09-05,6,213097.00,27276416.00,128.00,128.00,128.00
2013-10-28,1,6592.00,843776.00,128.00,128.00,128.00
2013-10-31,5,41201.00,5273728.00,128.00,128.00,128.00
2013-11-10,1,412000.00,53560000.00,130.00,130.00,130.00
2014-09-07,2,302328.00,39302640.00,130.00,130.00,130.00
2014-09-09,4,66300.00,8619000.00,130.00,130.00,130.00
2014-09-11,1,17014.00,2211820.00,130.00,130.00,130.00
2014-09-14,8,108695.00,14130350.00,130.00,130.00,130.00
2014-09-15,3,89035.00,11574550.00,130.00,130.00,130.00
2014-09-16,1,16575.00,2154750.00,130.00,130.00,130.00
2014-09-17,2,30768.00,4042378.00,132.00,130.00,132.00
2014-09-18,8,99487.00,13132284.00,132.00,132.00,132.00
2014-09-21,4,118330.00,15619560.00,132.00,132.00,132.00
2014-09-22,4,55599.00,7339068.00,132.00,132.00,132.00
2014-09-23,12,196785.00,25975620.00,132.00,132.00,132.00
2014-09-24,4,16286.00,2149752.00,132.00,132.00,132.00
2015-03-01,1,25000.00,5775000.00,231.00,231.00,231.00
2015-03-02,1,8022.00,1885170.00,235.00,235.00,235.00
2015-03-03,1,23000.00,5336000.00,232.00,232.00,232.00
2015-03-04,1,8022.00,1829016.00,228.00,228.00,228.00
2015-03-09,3,45726.00,10608432.00,232.00,232.00,232.00
2015-03-10,1,13915.00,2991725.00,0.00,0.00,215.00
2015-03-11,7,37292.00,9259000.00,250.00,236.00,250.00
2015-03-15,1,8022.00,2005500.00,250.00,250.00,250.00
2015-03-18,1,13300.00,3325000.00,250.00,250.00,250.00
2015-03-24,10,222593.00,55648250.00,250.00,250.00,250.00
2015-03-25,1,3208.00,802000.00,250.00,250.00,250.00
2015-03-26,8,38512.00,9628000.00,250.00,250.00,250.00
