Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,1,100.00,19700.00,197.00,197.00,197.00
2010-05-09,1,40.00,7640.00,191.00,191.00,191.00
2010-05-23,1,48.00,9024.00,188.00,188.00,188.00
2010-05-24,1,120.00,22320.00,186.00,186.00,186.00
2010-05-31,1,150.00,28350.00,189.00,189.00,189.00
2010-06-06,8,560.00,102300.00,186.00,180.00,180.00
2010-06-08,5,424.00,74208.00,177.00,171.00,171.00
2010-06-09,9,763.00,127941.00,174.00,165.00,165.00
2010-06-13,4,231.00,40173.00,177.00,168.00,177.00
2010-06-14,32,2200.00,417800.00,194.00,180.00,194.00
2010-06-15,23,1365.00,271818.00,203.00,197.00,199.00
2010-06-16,8,565.00,108399.00,196.00,190.00,190.00
2010-06-17,2,330.00,63000.00,193.00,190.00,190.00
2010-07-25,4,192.00,26860.00,143.00,139.00,139.00
2010-07-26,5,411.00,55015.00,137.00,131.00,133.00
2010-07-27,3,376.00,49382.00,132.00,130.00,130.00
2010-07-29,2,56.00,7168.00,128.00,128.00,128.00
2010-08-01,1,34.00,4420.00,130.00,130.00,130.00
2010-08-03,13,239.00,33527.00,143.00,132.00,137.00
2010-08-05,3,1000.00,137400.00,139.00,137.00,139.00
2010-08-23,1,29.00,3973.00,137.00,137.00,137.00
2010-09-06,1,28.00,3892.00,139.00,139.00,139.00
2010-09-12,3,72.00,9864.00,137.00,137.00,137.00
2010-09-21,4,316.00,42382.00,135.00,133.00,133.00
2010-09-23,6,1299.00,166566.00,131.00,127.00,130.00
2010-09-26,1,28.00,3640.00,130.00,130.00,130.00
2010-09-27,3,84.00,10920.00,130.00,130.00,130.00
2010-09-28,3,87.00,11136.00,128.00,128.00,128.00
2010-09-29,3,393.00,50530.00,130.00,128.00,130.00
2010-10-07,1,74.00,9620.00,130.00,130.00,130.00
2010-10-10,5,367.00,47700.00,134.00,128.00,128.00
2010-10-12,2,300.00,38600.00,130.00,128.00,130.00
2010-11-02,6,1830.00,236400.00,132.00,128.00,132.00
2010-11-03,4,310.00,42440.00,139.00,134.00,139.00
2010-11-04,1,115.00,16215.00,141.00,141.00,141.00
2010-11-11,1,97.00,13677.00,141.00,141.00,141.00
2010-11-21,2,128.00,18248.00,143.00,141.00,141.00
2010-11-22,1,166.00,23406.00,141.00,141.00,141.00
2010-11-24,1,60.00,8580.00,143.00,143.00,143.00
2010-11-25,2,58.00,8323.00,144.00,143.00,144.00
2010-11-28,1,28.00,3976.00,142.00,142.00,142.00
2010-12-02,1,10.00,1420.00,142.00,142.00,142.00
2010-12-12,1,18.00,2556.00,142.00,142.00,142.00
2010-12-26,1,29.00,4060.00,140.00,140.00,140.00
2011-01-20,2,221.00,30740.00,140.00,138.00,138.00
2011-01-24,2,212.00,29680.00,140.00,140.00,140.00
2011-02-07,1,10.00,1400.00,140.00,140.00,140.00
2011-02-16,1,100.00,13800.00,138.00,138.00,138.00
2011-02-17,4,673.00,94914.00,142.00,140.00,142.00
2011-02-21,1,139.00,19460.00,140.00,140.00,140.00
2011-02-22,1,116.00,16008.00,138.00,138.00,138.00
2011-02-24,5,730.00,99280.00,136.00,136.00,136.00
2011-02-28,1,31.00,4154.00,134.00,134.00,134.00
2011-03-03,16,448.00,59136.00,132.00,132.00,132.00
2011-03-09,2,90.00,10350.00,115.00,115.00,115.00
2011-03-14,2,789.00,90129.00,115.00,113.00,113.00
2011-03-15,1,1000.00,111000.00,111.00,111.00,111.00
2011-03-16,1,716.00,78044.00,109.00,109.00,109.00
2011-03-20,1,282.00,31302.00,111.00,111.00,111.00
2011-03-27,2,59.00,6751.00,115.00,113.00,115.00
2011-03-31,2,1215.00,140155.00,117.00,115.00,115.00
2011-04-04,5,240.00,27620.00,117.00,115.00,115.00
2011-04-26,3,348.00,40020.00,115.00,115.00,115.00
2011-04-27,18,723.00,82571.00,117.00,112.00,112.00
2011-05-04,3,348.00,40020.00,116.00,114.00,116.00
2011-05-11,5,487.00,55405.00,114.00,113.00,113.00
2011-05-12,1,56.00,6272.00,112.00,112.00,112.00
2011-05-24,2,232.00,25520.00,110.00,110.00,110.00
2011-05-26,2,58.00,6264.00,108.00,108.00,108.00
2011-06-05,2,232.00,25404.00,110.00,109.00,109.00
2011-06-15,1,29.00,3103.00,107.00,107.00,107.00
2011-08-08,3,180.00,18680.00,105.00,101.00,101.00
2011-08-09,3,120.00,11910.00,100.00,98.00,98.00
2011-08-23,2,232.00,22968.00,99.00,99.00,99.00
2011-08-24,2,150.00,14700.00,98.00,98.00,98.00
2011-08-25,5,320.00,30784.00,97.00,95.00,95.00
2011-08-30,2,232.00,22388.00,97.00,96.00,97.00
2011-09-06,1,388.00,37248.00,96.00,96.00,96.00
2011-09-12,1,116.00,11136.00,96.00,96.00,96.00
2011-09-18,1,16.00,1520.00,95.00,95.00,95.00
2011-09-20,4,256.00,24064.00,94.00,94.00,94.00
2011-09-27,2,2938.00,276172.00,94.00,94.00,94.00
2011-09-29,1,427.00,40565.00,95.00,95.00,95.00
2011-10-10,3,126.00,11906.00,95.00,94.00,95.00
2011-10-17,5,532.00,50008.00,94.00,94.00,94.00
2011-10-18,1,124.00,11532.00,93.00,93.00,93.00
2011-10-20,3,192.00,17824.00,93.00,92.00,93.00
2011-10-25,2,148.00,13764.00,93.00,93.00,93.00
2011-11-03,1,300.00,27600.00,92.00,92.00,92.00
2011-11-06,1,177.00,16107.00,91.00,91.00,91.00
2011-11-08,1,30.00,2730.00,91.00,91.00,91.00
2011-11-15,1,1000.00,92000.00,92.00,92.00,92.00
2011-11-24,4,1560.00,144020.00,93.00,92.00,92.00
2011-11-27,4,754.00,68542.00,92.00,90.00,90.00
2011-12-20,1,63.00,5607.00,89.00,89.00,89.00
2012-01-11,3,194.00,16878.00,88.00,86.00,86.00
