Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-11-30,1,10.00,3330.00,333.00,333.00,333.00
2010-12-09,5,50.00,15750.00,327.00,303.00,303.00
2010-12-14,2,20.00,6000.00,300.00,300.00,300.00
2010-12-29,3,30.00,8550.00,285.00,285.00,285.00
2011-01-04,4,40.00,10840.00,271.00,271.00,271.00
2011-01-05,2,20.00,5160.00,258.00,258.00,258.00
2011-01-09,5,50.00,12210.00,253.00,236.00,236.00
2011-01-10,15,150.00,33510.00,225.00,213.00,213.00
2011-01-11,4,40.00,7910.00,203.00,193.00,193.00
2011-01-12,4,40.00,7180.00,184.00,175.00,175.00
2011-01-13,71,710.00,112360.00,167.00,158.00,158.00
2011-01-16,230,2360.00,337870.00,155.00,143.00,143.00
2011-01-17,341,3620.00,511000.00,145.00,129.00,140.00
2011-01-18,219,2200.00,313090.00,147.00,136.00,142.00
2011-01-19,277,2810.00,402080.00,146.00,137.00,144.00
2011-01-20,300,3140.00,453200.00,146.00,140.00,145.00
2011-01-23,277,3120.00,464370.00,152.00,144.00,150.00
2011-01-24,201,2010.00,301130.00,152.00,147.00,150.00
2011-01-31,104,1070.00,161270.00,152.00,148.00,148.00
2011-02-01,127,1350.00,200530.00,150.00,146.00,148.00
2011-02-02,147,2770.00,416550.00,152.00,147.00,150.00
2011-02-03,194,3040.00,453420.00,150.00,147.00,148.00
2011-02-06,147,1600.00,242340.00,154.00,148.00,151.00
2011-02-07,221,2500.00,370390.00,151.00,143.00,149.00
2011-02-08,120,1200.00,171590.00,147.00,140.00,143.00
2011-02-09,117,1170.00,166610.00,143.00,141.00,142.00
2011-02-10,183,1920.00,272350.00,143.00,140.00,143.00
2011-02-13,118,1290.00,184440.00,147.00,139.00,142.00
2011-02-14,138,1380.00,195750.00,144.00,140.00,142.00
2011-02-15,241,2410.00,344990.00,146.00,142.00,144.00
2011-02-16,159,2080.00,297900.00,145.00,141.00,143.00
2011-02-17,123,1320.00,190860.00,147.00,143.00,145.00
2011-02-20,245,2510.00,365580.00,147.00,144.00,144.00
2011-02-21,426,5010.00,735380.00,149.00,144.00,146.00
2011-02-22,290,2980.00,430680.00,146.00,143.00,144.00
2011-02-23,344,3780.00,549650.00,146.00,142.00,142.00
2011-02-24,253,2550.00,368590.00,146.00,142.00,146.00
2011-02-27,303,3140.00,457060.00,146.00,142.00,144.00
2011-02-28,221,2460.00,352260.00,144.00,142.00,144.00
2011-03-01,139,1490.00,212830.00,146.00,142.00,146.00
2011-03-03,250,2580.00,377210.00,148.00,143.00,146.00
2011-03-07,223,5160.00,761840.00,150.00,145.00,146.00
2011-03-09,270,8090.00,1182000.00,150.00,145.00,148.00
2011-03-10,385,4470.00,666630.00,152.00,145.00,148.00
2011-03-13,349,3790.00,564720.00,150.00,146.00,150.00
2011-03-14,132,1330.00,195620.00,149.00,145.00,147.00
2011-03-15,144,2460.00,343360.00,146.00,136.00,137.00
2011-03-16,144,1690.00,240150.00,143.00,139.00,143.00
2011-03-17,128,1290.00,180960.00,145.00,136.00,140.00
2011-03-20,137,1590.00,215940.00,142.00,132.00,134.00
2011-03-21,124,1260.00,166720.00,135.00,130.00,134.00
2011-03-22,189,1910.00,262990.00,139.00,135.00,138.00
2011-03-23,135,1530.00,214280.00,144.00,138.00,140.00
2011-03-24,151,1950.00,275350.00,145.00,137.00,140.00
2011-03-27,96,960.00,127630.00,140.00,129.00,131.00
2011-03-28,140,1700.00,224960.00,134.00,131.00,132.00
2011-03-29,109,1130.00,149760.00,136.00,130.00,132.00
2011-03-30,63,670.00,88680.00,134.00,132.00,132.00
2011-03-31,108,1260.00,165350.00,135.00,128.00,135.00
2011-04-04,214,3660.00,502170.00,141.00,130.00,141.00
2011-04-05,193,2390.00,333730.00,142.00,137.00,140.00
2011-04-06,182,1910.00,265450.00,140.00,138.00,140.00
2011-04-07,338,3390.00,477360.00,142.00,137.00,138.00
2011-04-10,126,1260.00,165590.00,136.00,129.00,132.00
2011-04-11,96,1620.00,224650.00,142.00,128.00,141.00
2011-04-13,45,660.00,92310.00,143.00,139.00,140.00
2011-04-17,88,950.00,131560.00,140.00,136.00,136.00
2011-04-18,112,1530.00,212180.00,140.00,134.00,138.00
2011-04-19,165,2340.00,328260.00,144.00,137.00,142.00
2011-04-20,309,3570.00,499950.00,144.00,136.00,141.00
2011-04-21,369,4380.00,630970.00,151.00,138.00,146.00
2011-04-25,415,4700.00,697790.00,154.00,144.00,149.00
2011-04-26,103,1030.00,146810.00,146.00,141.00,142.00
2011-04-27,486,5120.00,740960.00,154.00,138.00,150.00
2011-04-28,989,11360.00,1709340.00,153.00,143.00,150.00
2011-05-02,706,7120.00,979900.00,145.00,135.00,135.00
2011-05-03,729,7450.00,964860.00,137.00,122.00,122.00
2011-05-05,59,590.00,69040.00,118.00,116.00,116.00
2011-05-08,7,70.00,8260.00,118.00,118.00,118.00
2011-05-10,12,120.00,14140.00,118.00,116.00,118.00
2011-05-15,3,30.00,3620.00,122.00,120.00,122.00
2011-05-16,1,10.00,1220.00,122.00,122.00,122.00
2011-05-18,76,760.00,95240.00,129.00,123.00,129.00
2011-05-19,3,30.00,3900.00,130.00,130.00,130.00
2011-05-22,34,340.00,44240.00,132.00,128.00,128.00
2011-05-23,23,230.00,29580.00,130.00,128.00,130.00
2011-05-24,1,10.00,1310.00,131.00,131.00,131.00
2011-05-25,18,200.00,25950.00,130.00,129.00,129.00
2011-05-26,5,50.00,6550.00,131.00,131.00,131.00
2011-05-30,13,130.00,16770.00,129.00,129.00,129.00
2011-05-31,35,350.00,45150.00,129.00,129.00,129.00
2011-06-01,3,30.00,3770.00,127.00,125.00,125.00
2011-06-05,32,320.00,39000.00,122.00,120.00,120.00
2011-06-06,15,150.00,18000.00,120.00,120.00,120.00
2011-06-07,26,260.00,30450.00,118.00,115.00,115.00
2011-06-08,1,30.00,3450.00,115.00,115.00,115.00
2011-06-09,15,150.00,16500.00,110.00,110.00,110.00
2011-06-12,30,310.00,32550.00,107.00,103.00,107.00
2011-06-13,15,150.00,16550.00,112.00,109.00,110.00
2011-06-14,1,10.00,1080.00,108.00,108.00,108.00
2011-06-16,8,80.00,8380.00,106.00,104.00,104.00
2011-06-29,4,40.00,4020.00,102.00,100.00,100.00
2011-07-04,2,20.00,2000.00,100.00,100.00,100.00
2011-07-05,7,70.00,6860.00,98.00,98.00,98.00
2011-07-06,7,70.00,6850.00,98.00,97.00,98.00
2011-07-07,7,70.00,6840.00,98.00,97.00,98.00
2011-07-11,3,30.00,2970.00,99.00,99.00,99.00
2011-07-14,1,10.00,990.00,99.00,99.00,99.00
2011-07-19,3,30.00,2940.00,98.00,98.00,98.00
2011-07-21,25,250.00,24750.00,99.00,99.00,99.00
2011-07-25,2,20.00,2000.00,100.00,100.00,100.00
2011-07-26,7,70.00,7000.00,100.00,100.00,100.00
2011-07-27,10,100.00,10200.00,102.00,102.00,102.00
2011-07-31,10,100.00,10270.00,103.00,101.00,103.00
2011-08-01,19,190.00,19710.00,106.00,101.00,104.00
2011-08-03,16,160.00,16620.00,106.00,102.00,106.00
2011-08-04,3,30.00,3220.00,108.00,106.00,108.00
2011-08-07,43,430.00,47260.00,110.00,108.00,110.00
2011-08-08,8,90.00,9780.00,110.00,108.00,110.00
2011-08-09,3,30.00,3360.00,112.00,112.00,112.00
2011-08-11,8,130.00,14640.00,114.00,110.00,110.00
2011-08-15,2,20.00,2190.00,110.00,109.00,110.00
2011-08-16,4,40.00,4400.00,110.00,110.00,110.00
2011-08-17,29,330.00,36020.00,111.00,108.00,108.00
2011-08-18,19,190.00,21180.00,112.00,110.00,112.00
2011-08-22,37,370.00,40280.00,112.00,105.00,106.00
2011-08-23,10,100.00,10400.00,104.00,104.00,104.00
2011-08-24,30,300.00,31000.00,104.00,102.00,104.00
2011-08-25,48,480.00,50590.00,106.00,104.00,106.00
2011-08-28,4,80.00,8320.00,104.00,104.00,104.00
2011-08-29,43,430.00,45130.00,107.00,103.00,107.00
2011-08-30,55,550.00,59400.00,108.00,108.00,108.00
2011-09-01,20,200.00,20650.00,106.00,102.00,103.00
2011-09-04,25,250.00,25500.00,102.00,102.00,102.00
2011-09-05,10,100.00,10150.00,102.00,101.00,102.00
2011-09-06,13,130.00,13330.00,105.00,101.00,105.00
2011-09-07,39,390.00,40860.00,105.00,102.00,102.00
2011-09-08,3,30.00,3000.00,100.00,100.00,100.00
2011-09-12,9,90.00,8760.00,98.00,97.00,98.00
2011-09-13,36,360.00,34780.00,97.00,96.00,97.00
2011-09-14,3,30.00,2900.00,97.00,96.00,96.00
2011-09-19,104,1040.00,98400.00,96.00,92.00,94.00
2011-09-20,16,160.00,14990.00,95.00,91.00,91.00
2011-09-21,8,120.00,10770.00,91.00,89.00,89.00
2011-09-22,31,310.00,27900.00,90.00,90.00,90.00
2011-09-25,8,80.00,7490.00,96.00,91.00,96.00
2011-09-26,20,200.00,19290.00,97.00,96.00,97.00
2011-09-27,20,200.00,19370.00,97.00,96.00,96.00
2011-09-29,8,80.00,7680.00,96.00,96.00,96.00
2011-10-02,12,240.00,23280.00,97.00,97.00,97.00
2011-10-10,4,40.00,3960.00,100.00,98.00,100.00
2011-10-12,6,120.00,11890.00,100.00,99.00,100.00
2011-10-13,13,180.00,17650.00,100.00,97.00,97.00
2011-10-16,4,40.00,3850.00,97.00,95.00,95.00
2011-10-17,7,70.00,6650.00,96.00,94.00,96.00
2011-10-20,1,10.00,950.00,95.00,95.00,95.00
