Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-06-29,1,8000.00,1080000.00,135.00,135.00,135.00
2010-07-19,1,20000.00,2740000.00,137.00,137.00,137.00
2010-07-28,5,32000.00,4384000.00,137.00,137.00,137.00
2010-07-29,5,42150.00,5886000.00,141.00,139.00,141.00
2010-09-19,5,4400.00,510400.00,116.00,116.00,116.00
2010-09-21,3,2000.00,235000.00,118.00,117.00,118.00
2010-09-23,1,1000.00,120000.00,120.00,120.00,120.00
2010-12-05,1,2000.00,240000.00,120.00,120.00,120.00
2010-12-23,2,7000.00,852000.00,122.00,121.00,122.00
2011-01-02,7,1400.00,170800.00,122.00,122.00,122.00
2011-01-05,3,600.00,73800.00,123.00,123.00,123.00
2011-01-10,6,1200.00,147600.00,123.00,123.00,123.00
2013-02-26,1,22670.00,2267000.00,100.00,100.00,100.00
2014-05-12,1,540.00,54000.00,100.00,100.00,100.00
2014-12-03,2,56450.00,5645000.00,100.00,100.00,100.00
