Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-20,5,235.00,136290.00,590.00,571.00,590.00
2010-04-21,3,120.00,68200.00,579.00,558.00,558.00
2010-04-25,4,410.00,227050.00,555.00,545.00,545.00
2010-04-27,1,50.00,27000.00,540.00,540.00,540.00
2010-04-28,4,360.00,190300.00,540.00,520.00,520.00
2010-04-29,3,280.00,143400.00,520.00,510.00,520.00
2010-05-11,2,131.00,68975.00,530.00,525.00,525.00
2010-05-12,3,175.00,95375.00,555.00,535.00,555.00
2010-05-13,5,400.00,225200.00,566.00,560.00,560.00
2010-05-18,3,173.00,95150.00,550.00,550.00,550.00
2010-05-20,2,150.00,81500.00,550.00,540.00,550.00
2010-05-23,2,184.00,98940.00,540.00,535.00,535.00
2010-05-24,3,200.00,106650.00,540.00,531.00,540.00
2010-05-25,1,360.00,194760.00,541.00,541.00,541.00
2010-05-26,12,1020.00,583340.00,586.00,551.00,580.00
2010-05-30,3,400.00,240300.00,609.00,587.00,609.00
2010-05-31,8,3180.00,2017240.00,636.00,621.00,635.00
2010-06-01,6,21230.00,13200910.00,623.00,598.00,598.00
2010-06-02,1,50.00,29350.00,587.00,587.00,587.00
2010-06-03,8,19637.00,11307975.00,576.00,565.00,576.00
2010-06-06,3,400.00,227450.00,570.00,566.00,570.00
2010-06-07,4,18390.00,10481900.00,571.00,565.00,571.00
2010-06-08,2,154.00,90574.00,592.00,581.00,592.00
2010-06-09,3,223.00,132500.00,600.00,592.00,600.00
2010-06-10,5,22840.00,13589300.00,600.00,590.00,600.00
2010-06-13,1,32795.00,19677000.00,600.00,600.00,600.00
2010-06-17,1,100.00,61200.00,612.00,612.00,612.00
2010-06-20,2,150.00,90000.00,600.00,600.00,600.00
2010-06-23,2,42.00,24780.00,590.00,590.00,590.00
2010-06-29,2,120.00,69600.00,580.00,580.00,580.00
2010-06-30,1,50.00,28500.00,570.00,570.00,570.00
2010-07-01,4,245.00,144960.00,600.00,580.00,600.00
2010-07-05,2,40.00,23300.00,588.00,577.00,577.00
2010-07-06,1,100.00,56600.00,566.00,566.00,566.00
2010-07-07,3,370.00,207800.00,566.00,560.00,560.00
2010-07-08,1,36.00,20160.00,560.00,560.00,560.00
2010-07-12,1,72.00,40680.00,565.00,565.00,565.00
2010-07-18,1,100.00,56500.00,565.00,565.00,565.00
2010-07-21,1,200.00,113000.00,565.00,565.00,565.00
2010-07-22,2,250.00,142500.00,570.00,570.00,570.00
2010-07-27,1,55.00,30745.00,559.00,559.00,559.00
2010-07-28,5,633.00,343690.00,550.00,530.00,530.00
2010-08-02,1,158.00,82950.00,525.00,525.00,525.00
2010-08-12,3,90.00,46350.00,515.00,515.00,515.00
2010-08-16,1,100.00,51600.00,516.00,516.00,516.00
2010-08-17,1,150.00,78750.00,525.00,525.00,525.00
2010-08-18,2,153.00,81405.00,535.00,530.00,535.00
2010-08-19,4,807.00,422562.00,530.00,516.00,530.00
2010-08-22,1,4300.00,2279000.00,530.00,530.00,530.00
2010-08-23,2,205.00,108345.00,529.00,525.00,525.00
2010-08-30,5,720.00,366200.00,515.00,505.00,505.00
2010-08-31,2,210.00,106050.00,505.00,505.00,505.00
2010-09-06,1,100.00,50000.00,500.00,500.00,500.00
2010-09-07,3,190.00,92290.00,490.00,481.00,481.00
2010-09-13,2,110.00,53900.00,490.00,490.00,490.00
2010-09-15,2,224.00,107544.00,481.00,480.00,480.00
2010-09-16,1,50.00,24450.00,489.00,489.00,489.00
2010-09-19,3,100.00,49000.00,490.00,490.00,490.00
2010-09-21,2,200.00,98000.00,490.00,490.00,490.00
2010-09-23,4,310.00,149330.00,485.00,473.00,473.00
2010-09-26,1,15.00,6960.00,464.00,464.00,464.00
2010-09-28,2,120.00,54640.00,457.00,455.00,457.00
2010-09-29,1,1000.00,460000.00,460.00,460.00,460.00
2010-10-03,2,153.00,68283.00,451.00,443.00,443.00
2010-10-05,2,380.00,165840.00,441.00,435.00,435.00
2010-10-06,1,207.00,91701.00,443.00,443.00,443.00
2010-10-07,3,145.00,63700.00,452.00,436.00,452.00
2010-10-25,7,410.00,183720.00,460.00,443.00,448.00
2010-10-26,3,300.00,137380.00,460.00,454.00,460.00
2010-10-31,1,100.00,45500.00,455.00,455.00,455.00
2010-11-14,1,200.00,90000.00,450.00,450.00,450.00
2010-11-15,2,200.00,90900.00,459.00,450.00,459.00
2010-11-24,1,100.00,45000.00,450.00,450.00,450.00
2010-11-28,1,200.00,88400.00,442.00,442.00,442.00
2010-11-30,1,153.00,67626.00,442.00,442.00,442.00
2010-12-01,1,100.00,44500.00,445.00,445.00,445.00
2010-12-02,2,165.00,74760.00,454.00,452.00,454.00
2010-12-05,6,490.00,219840.00,453.00,445.00,453.00
2010-12-07,2,200.00,89400.00,450.00,444.00,444.00
2010-12-08,3,273.00,121228.00,450.00,436.00,450.00
2010-12-16,1,20.00,7640.00,382.00,382.00,382.00
2010-12-27,2,200.00,74300.00,375.00,368.00,368.00
2010-12-28,1,100.00,36800.00,368.00,368.00,368.00
2010-12-29,4,1100.00,397800.00,368.00,360.00,360.00
2011-01-02,1,100.00,36700.00,367.00,367.00,367.00
2011-01-03,1,100.00,36000.00,360.00,360.00,360.00
2011-01-04,1,50.00,18300.00,366.00,366.00,366.00
2011-02-16,3,170.00,63040.00,373.00,366.00,366.00
2011-02-17,1,30.00,10770.00,359.00,359.00,359.00
2011-03-01,1,100.00,36000.00,360.00,360.00,360.00
2011-03-07,1,500.00,180000.00,360.00,360.00,360.00
2011-03-09,1,50.00,17650.00,353.00,353.00,353.00
2011-03-13,1,830.00,298800.00,360.00,360.00,360.00
2011-03-16,2,1146.00,406830.00,355.00,355.00,355.00
2011-03-21,2,99.00,34152.00,348.00,342.00,342.00
2011-03-23,1,28.00,9408.00,336.00,336.00,336.00
2011-03-29,2,100.00,33000.00,330.00,330.00,330.00
2011-04-11,3,223.00,71052.00,324.00,312.00,312.00
2011-04-13,3,130.00,39120.00,306.00,294.00,294.00
2011-04-17,4,100.00,29460.00,306.00,290.00,306.00
2011-04-18,3,86.00,26120.00,310.00,300.00,310.00
2011-04-19,1,20.00,6320.00,316.00,316.00,316.00
2011-04-20,2,42.00,13392.00,322.00,316.00,316.00
2011-04-25,1,20.00,6440.00,322.00,322.00,322.00
2011-05-09,1,105.00,33180.00,316.00,316.00,316.00
2011-05-10,4,262.00,79168.00,310.00,298.00,298.00
2011-05-11,13,1216.00,340795.00,300.00,269.00,280.00
