Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-10-08,1,100.00,11700.00,117.00,117.00,117.00
2013-12-11,1,50.00,5750.00,115.00,115.00,115.00
2013-12-12,1,250.00,28250.00,113.00,113.00,113.00
2014-01-16,3,1470.00,163170.00,111.00,111.00,111.00
2014-01-20,4,1930.00,209710.00,109.00,107.00,107.00
2014-01-26,1,3530.00,384770.00,109.00,109.00,109.00
2014-02-02,3,1150.00,126200.00,110.00,108.00,108.00
2014-02-05,1,150.00,15900.00,106.00,106.00,106.00
2014-02-09,1,100.00,10400.00,104.00,104.00,104.00
2014-02-11,2,200.00,21400.00,108.00,106.00,108.00
2014-02-17,1,800.00,86400.00,108.00,108.00,108.00
2014-02-23,1,200.00,22000.00,110.00,110.00,110.00
2014-02-26,1,50.00,5600.00,112.00,112.00,112.00
2014-03-13,1,150.00,16800.00,112.00,112.00,112.00
2014-03-17,1,260.00,30420.00,117.00,117.00,117.00
2014-03-19,6,1260.00,156030.00,128.00,119.00,128.00
2014-03-20,4,970.00,123580.00,130.00,126.00,130.00
2014-03-23,4,1490.00,196520.00,134.00,130.00,130.00
2014-03-24,2,1210.00,157300.00,130.00,130.00,130.00
2014-03-25,4,6500.00,842000.00,130.00,128.00,130.00
2014-03-31,1,500.00,64000.00,128.00,128.00,128.00
2014-04-01,2,1000.00,126000.00,126.00,126.00,126.00
2014-04-02,5,9110.00,1116750.00,125.00,122.00,122.00
2014-04-06,2,410.00,48800.00,120.00,118.00,118.00
2014-04-07,3,3000.00,346000.00,116.00,115.00,115.00
2014-04-09,1,210.00,24570.00,117.00,117.00,117.00
2014-04-10,2,1000.00,119000.00,119.00,119.00,119.00
2014-04-13,2,180.00,21780.00,121.00,121.00,121.00
2014-04-15,3,790.00,97370.00,125.00,123.00,125.00
2014-04-16,4,4180.00,538970.00,129.00,127.00,129.00
2014-04-21,1,300.00,38400.00,128.00,128.00,128.00
2014-04-22,7,4500.00,541200.00,122.00,120.00,122.00
2014-04-23,1,70.00,8680.00,124.00,124.00,124.00
2014-04-27,2,410.00,52260.00,128.00,126.00,128.00
2014-04-28,4,2600.00,335000.00,132.00,128.00,132.00
2014-04-29,12,7200.00,937300.00,132.00,128.00,132.00
2014-04-30,9,9500.00,1297000.00,144.00,130.00,144.00
2014-05-04,5,23600.00,3426700.00,150.00,144.00,150.00
2014-05-05,7,2780.00,427770.00,155.00,153.00,154.00
2014-05-06,8,1700.00,267500.00,160.00,157.00,157.00
2014-05-07,2,1000.00,154000.00,154.00,154.00,154.00
2014-06-01,3,1050.00,155550.00,151.00,148.00,148.00
2014-06-03,6,7180.00,967520.00,141.00,134.00,135.00
2014-06-04,2,8400.00,1091900.00,130.00,129.00,130.00
2014-06-05,3,16650.00,2164600.00,132.00,130.00,130.00
2014-06-08,5,320.00,43700.00,140.00,132.00,140.00
2014-06-09,14,13490.00,1942550.00,147.00,143.00,143.00
2014-06-10,11,18090.00,2718770.00,156.00,145.00,156.00
2014-06-11,14,16500.00,2658160.00,167.00,159.00,167.00
2014-06-12,4,1810.00,297650.00,165.00,164.00,164.00
2014-06-15,6,8960.00,1448540.00,164.00,161.00,163.00
2014-06-26,6,1110.00,176850.00,160.00,157.00,160.00
2014-07-06,5,2430.00,379510.00,157.00,155.00,157.00
2014-07-08,9,4310.00,676270.00,159.00,155.00,159.00
2014-07-10,2,200.00,32850.00,165.00,162.00,165.00
2014-07-13,3,2500.00,409500.00,165.00,162.00,165.00
2014-07-14,6,1800.00,307200.00,177.00,168.00,177.00
2014-07-15,2,160.00,28330.00,178.00,175.00,178.00
2014-07-17,7,4580.00,801950.00,178.00,175.00,175.00
2014-07-20,5,6570.00,1210730.00,187.00,178.00,185.00
2014-07-21,1,510.00,95880.00,188.00,188.00,188.00
2014-07-22,2,700.00,133900.00,192.00,191.00,192.00
2014-07-23,3,2500.00,466500.00,189.00,186.00,186.00
2014-07-24,10,6000.00,1142010.00,198.00,186.00,198.00
2014-07-27,7,5710.00,1148960.00,204.00,200.00,202.00
2014-07-30,3,1580.00,331600.00,214.00,206.00,214.00
2014-07-31,5,1950.00,446700.00,234.00,218.00,234.00
2014-08-03,6,2260.00,519240.00,238.00,222.00,222.00
2014-08-04,14,10150.00,2215140.00,222.00,218.00,218.00
2014-08-06,5,3570.00,779380.00,220.00,215.00,220.00
2014-08-07,2,350.00,74400.00,216.00,212.00,212.00
2014-08-12,1,150.00,31200.00,208.00,208.00,208.00
2014-08-13,6,6150.00,1260800.00,206.00,204.00,205.00
2014-08-14,2,2460.00,519940.00,213.00,209.00,213.00
2014-08-18,3,950.00,198950.00,213.00,209.00,209.00
2014-08-19,3,2500.00,531000.00,214.00,210.00,214.00
2014-08-20,8,3680.00,797700.00,222.00,215.00,222.00
2014-08-21,3,1200.00,260100.00,218.00,215.00,218.00
2014-08-24,3,1600.00,340500.00,215.00,212.00,212.00
2014-08-27,3,200.00,41000.00,208.00,200.00,200.00
2014-09-01,8,7170.00,1390470.00,196.00,193.00,196.00
2014-09-10,1,70.00,13720.00,196.00,196.00,196.00
2014-09-14,1,50.00,9650.00,193.00,193.00,193.00
2014-09-30,1,250.00,47500.00,190.00,190.00,190.00
2014-10-09,5,1690.00,306790.00,187.00,181.00,181.00
2014-10-12,2,710.00,127590.00,180.00,179.00,179.00
2014-10-14,2,1500.00,264000.00,178.00,175.00,175.00
2014-10-16,1,300.00,51600.00,172.00,172.00,172.00
2014-11-02,4,800.00,137200.00,175.00,169.00,169.00
2014-11-03,1,1800.00,298800.00,166.00,166.00,166.00
2014-11-09,4,9500.00,1554400.00,164.00,161.00,161.00
2014-11-10,4,4200.00,675000.00,161.00,160.00,160.00
2014-11-11,2,2000.00,316000.00,158.00,158.00,158.00
2014-11-12,1,1000.00,155000.00,155.00,155.00,155.00
2014-11-16,1,1000.00,152000.00,152.00,152.00,152.00
2014-11-17,2,1050.00,154450.00,149.00,147.00,147.00
2014-12-03,2,550.00,80400.00,148.00,146.00,148.00
2014-12-14,1,200.00,30000.00,150.00,150.00,150.00
2014-12-15,2,5000.00,750000.00,150.00,150.00,150.00
2014-12-17,1,110.00,15180.00,138.00,138.00,138.00
