Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-05-18,1,1188.00,415800.00,350.00,350.00,350.00
2010-06-01,1,5000.00,1715000.00,343.00,343.00,343.00
2010-08-19,1,10160.00,3423920.00,337.00,337.00,337.00
2011-04-07,1,14850.00,3564000.00,240.00,240.00,240.00
2011-11-13,1,7128.00,1682208.00,236.00,236.00,236.00
2012-01-01,1,15976.00,2156760.00,135.00,135.00,135.00
2012-07-12,1,6969.00,1038381.00,149.00,149.00,149.00
2012-09-03,1,40000.00,5880000.00,147.00,147.00,147.00
2013-04-01,1,15876.00,2302020.00,145.00,145.00,145.00
2013-04-11,4,200.00,28000.00,143.00,137.00,137.00
2013-04-15,6,300.00,39000.00,135.00,125.00,125.00
2013-04-16,5,250.00,29750.00,123.00,115.00,115.00
2013-04-17,5,250.00,27250.00,113.00,105.00,105.00
2013-04-18,4,199450.00,19945180.00,103.00,100.00,100.00
2013-04-22,2,120000.00,12000000.00,100.00,100.00,100.00
2013-04-28,4,76550.00,7655000.00,100.00,100.00,100.00
2013-06-19,1,64152.00,6415200.00,100.00,100.00,100.00
2013-06-24,2,65000.00,6500000.00,100.00,100.00,100.00
2013-06-25,4,135014.00,13501400.00,100.00,100.00,100.00
2013-07-03,2,32532.00,3253200.00,100.00,100.00,100.00
2013-07-09,4,116948.00,11694800.00,100.00,100.00,100.00
2013-07-15,1,53030.00,5303000.00,100.00,100.00,100.00
2013-07-22,1,450.00,45000.00,100.00,100.00,100.00
2013-10-06,1,31082.00,3108200.00,100.00,100.00,100.00
2013-10-23,1,4320.00,432000.00,100.00,100.00,100.00
2014-01-05,1,11640.00,1164000.00,100.00,100.00,100.00
2014-01-14,1,11685.00,1168500.00,100.00,100.00,100.00
2014-03-09,1,1114.00,111400.00,100.00,100.00,100.00
2014-04-07,1,40000.00,4000000.00,100.00,100.00,100.00
2014-04-17,1,4591.00,459100.00,100.00,100.00,100.00
2014-09-03,1,642.00,64200.00,100.00,100.00,100.00
2014-09-04,1,40880.00,4088000.00,100.00,100.00,100.00
2014-10-19,2,74597.00,7459700.00,100.00,100.00,100.00
2015-03-18,2,28437.00,5416311.00,192.00,189.00,189.00
