Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-20,8,248.00,45089.00,184.00,180.00,180.00
2010-04-21,7,178.00,30114.00,177.00,162.00,162.00
2010-04-22,6,200.00,30661.00,159.00,150.00,150.00
2010-04-25,1,15.00,2205.00,147.00,147.00,147.00
2010-04-26,28,542.00,77375.00,145.00,141.00,141.00
2010-04-27,3,180.00,25200.00,140.00,140.00,140.00
2010-04-28,1,120.00,17040.00,142.00,142.00,142.00
2010-05-09,1,31.00,4371.00,141.00,141.00,141.00
2010-05-10,10,174.00,25406.00,148.00,143.00,148.00
2010-05-11,12,190.00,30028.00,162.00,150.00,162.00
2010-05-12,49,784.00,130752.00,171.00,165.00,171.00
2010-05-13,24,384.00,67936.00,182.00,174.00,182.00
2010-05-16,3,298.00,53660.00,182.00,179.00,182.00
2010-05-17,23,383.00,70887.00,188.00,184.00,188.00
2010-05-18,41,606.00,115554.00,197.00,185.00,197.00
2010-05-19,2,61.00,12017.00,197.00,197.00,197.00
2010-05-23,1,100.00,19400.00,194.00,194.00,194.00
2010-06-02,5,158.00,31316.00,204.00,197.00,204.00
2010-06-06,3,210.00,42064.00,204.00,200.00,204.00
2010-06-07,2,60.00,12240.00,204.00,204.00,204.00
2010-06-08,1,31.00,6200.00,200.00,200.00,200.00
2010-06-10,6,96.00,19328.00,204.00,200.00,204.00
2010-06-15,5,110.00,21888.00,200.00,195.00,195.00
2010-06-16,2,198.00,37962.00,192.00,189.00,189.00
2010-06-17,3,45.00,8385.00,187.00,186.00,187.00
2010-06-21,3,268.00,50308.00,190.00,187.00,187.00
2010-06-22,7,80.00,14765.00,187.00,184.00,184.00
2010-06-23,3,73.00,13432.00,184.00,184.00,184.00
2010-06-24,3,61.00,11134.00,184.00,181.00,184.00
2010-06-29,9,174.00,31399.00,184.00,179.00,179.00
2010-06-30,6,150.00,26758.00,180.00,177.00,180.00
2010-07-01,2,61.00,11209.00,184.00,183.00,184.00
2010-07-07,5,95.00,17607.00,187.00,185.00,185.00
2010-07-08,15,282.00,52490.00,187.00,184.00,187.00
2010-07-11,4,84.00,15708.00,187.00,187.00,187.00
2010-07-14,1,14.00,2660.00,190.00,190.00,190.00
2010-07-15,1,108.00,20196.00,187.00,187.00,187.00
2010-07-18,4,62.00,11642.00,190.00,187.00,187.00
2010-07-19,1,135.00,25650.00,190.00,190.00,190.00
2010-07-21,1,30.00,5730.00,191.00,191.00,191.00
2010-07-22,5,107.00,20391.00,191.00,190.00,190.00
2010-07-25,2,27.00,5082.00,190.00,187.00,187.00
2010-07-26,2,91.00,17290.00,190.00,190.00,190.00
2010-07-27,7,293.00,55139.00,190.00,187.00,187.00
2010-07-28,8,248.00,46478.00,190.00,186.00,190.00
2010-07-29,20,746.00,141872.00,193.00,189.00,189.00
2010-08-01,30,1497.00,291628.00,200.00,192.00,200.00
2010-08-02,45,2994.00,600481.00,208.00,200.00,208.00
2010-08-03,2,62.00,12772.00,208.00,204.00,208.00
2010-08-04,1,20.00,4080.00,204.00,204.00,204.00
2010-08-05,10,274.00,52911.00,200.00,190.00,193.00
2010-08-08,1,46.00,8740.00,190.00,190.00,190.00
2010-08-09,12,168.00,31512.00,190.00,184.00,184.00
2010-08-10,9,226.00,40913.00,184.00,179.00,179.00
2010-08-12,3,76.00,13376.00,176.00,176.00,176.00
2010-08-15,6,181.00,32038.00,178.00,176.00,178.00
2010-08-17,8,120.00,21750.00,184.00,179.00,184.00
2010-08-19,4,62.00,11192.00,181.00,180.00,180.00
2010-08-22,3,213.00,38031.00,180.00,177.00,180.00
2010-08-23,3,47.00,8364.00,180.00,177.00,177.00
2010-08-26,11,600.00,100898.00,175.00,165.00,165.00
2010-08-29,1,62.00,10416.00,168.00,168.00,168.00
2010-08-30,53,2068.00,367774.00,180.00,165.00,177.00
2010-08-31,1,320.00,57280.00,179.00,179.00,179.00
2010-09-02,4,185.00,31678.00,176.00,170.00,170.00
2010-09-06,7,124.00,21170.00,173.00,169.00,173.00
2010-09-07,2,32.00,5440.00,170.00,170.00,170.00
2010-09-08,3,48.00,8304.00,173.00,173.00,173.00
2010-09-09,15,465.00,81561.00,176.00,173.00,176.00
2010-09-13,3,35.00,6180.00,177.00,176.00,177.00
2010-09-14,2,47.00,8366.00,178.00,178.00,178.00
2010-09-15,2,62.00,11036.00,178.00,178.00,178.00
2010-09-26,2,119.00,21539.00,181.00,181.00,181.00
2010-09-27,1,16.00,2864.00,179.00,179.00,179.00
2010-09-28,5,109.00,19389.00,180.00,177.00,177.00
2010-09-29,1,100.00,17600.00,176.00,176.00,176.00
2010-09-30,1,31.00,5456.00,176.00,176.00,176.00
2010-10-03,6,171.00,30266.00,178.00,175.00,178.00
2010-10-05,2,30.00,5280.00,177.00,175.00,175.00
2010-10-06,1,31.00,5332.00,172.00,172.00,172.00
2010-10-12,3,201.00,34113.00,172.00,169.00,172.00
2010-10-13,3,182.00,30940.00,170.00,170.00,170.00
2010-10-25,1,18.00,3006.00,167.00,167.00,167.00
2010-10-31,4,120.00,20760.00,176.00,170.00,176.00
2010-11-03,4,108.00,19332.00,179.00,179.00,179.00
2010-11-04,4,120.00,20940.00,176.00,173.00,173.00
2010-11-11,2,47.00,8083.00,173.00,170.00,173.00
2010-11-15,12,924.00,162701.00,177.00,176.00,176.00
2010-11-16,14,959.00,176167.00,186.00,179.00,186.00
2010-11-18,6,96.00,18096.00,189.00,186.00,186.00
2010-11-21,3,77.00,14200.00,186.00,183.00,186.00
2010-11-22,3,78.00,14508.00,186.00,186.00,186.00
2010-11-23,2,62.00,11532.00,186.00,186.00,186.00
2010-11-29,2,26.00,4904.00,189.00,188.00,189.00
2010-11-30,2,32.00,5952.00,186.00,186.00,186.00
2010-12-02,1,15.00,2745.00,183.00,183.00,183.00
2010-12-05,2,40.00,7440.00,186.00,186.00,186.00
2010-12-13,13,360.00,64830.00,183.00,180.00,180.00
2010-12-14,7,441.00,79830.00,182.00,180.00,180.00
2010-12-15,9,280.00,51412.00,184.00,183.00,183.00
2010-12-16,5,92.00,16880.00,185.00,182.00,182.00
2010-12-19,11,219.00,39599.00,183.00,180.00,180.00
2010-12-20,17,564.00,101945.00,182.00,180.00,181.00
2010-12-22,5,183.00,33822.00,188.00,184.00,188.00
2011-01-02,2,62.00,9300.00,150.00,150.00,150.00
2011-01-16,2,32.00,4896.00,153.00,153.00,153.00
2011-01-19,1,20.00,3120.00,156.00,156.00,156.00
2011-01-23,1,15.00,2340.00,156.00,156.00,156.00
2011-02-03,5,125.00,20295.00,165.00,159.00,162.00
2011-02-08,3,45.00,7200.00,160.00,160.00,160.00
2011-02-13,2,90.00,14490.00,163.00,160.00,160.00
2011-02-15,3,48.00,7680.00,160.00,160.00,160.00
2011-02-21,4,50.00,8210.00,166.00,163.00,166.00
2011-03-01,3,200.00,33000.00,165.00,165.00,165.00
