Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
15/04/2010,1,249,61005,245,245,245
19/04/2010,3,328,77608,240,236,236
20/04/2010,5,660,154080,235,232,232
21/04/2010,10,860,191388,228,216,224
22/04/2010,12,2169,475537,225,217,221
25/04/2010,5,886,195757,222,219,219
26/04/2010,8,1283,284745,224,221,222
27/04/2010,14,2520,556346,224,220,220
28/04/2010,1,100,22400,224,224,224
29/04/2010,1,1362,302364,222,222,222
10/05/2010,11,3366,732334,223,216,220
11/05/2010,5,420,94386,235,222,235
12/05/2010,15,1745,431647,253,239,249
13/05/2010,16,3176,804123,260,250,260
16/05/2010,6,658,162240,255,241,241
17/05/2010,5,436,103332,241,233,241
18/05/2010,1,16,3856,241,241,241
19/05/2010,4,344,86772,258,245,258
20/05/2010,10,783,214179,283,263,273
23/05/2010,14,1495,412877,285,272,285
24/05/2010,8,878,254825,295,285,285
25/05/2010,20,3912,1176236,306,290,305
26/05/2010,12,1350,402629,306,290,290
30/05/2010,5,76,23269,312,295,312
31/05/2010,22,2346,723776,325,300,306
01/06/2010,22,2756,781714,300,276,296
02/06/2010,17,1883,558628,305,290,300
03/06/2010,33,4571,1390379,312,300,304
06/06/2010,26,2826,812395,304,282,291
07/06/2010,1,146,42924,294,294,294
08/06/2010,7,706,212949,304,299,303
09/06/2010,32,5379,1619367,305,299,304
10/06/2010,15,3820,1149420,304,299,300
13/06/2010,14,1744,520287,301,295,298
14/06/2010,9,1006,296017,300,290,290
15/06/2010,9,1602,467722,295,290,293
16/06/2010,7,1440,414850,292,287,287
17/06/2010,3,1504,429680,290,285,285
20/06/2010,13,923,265661,292,285,292
21/06/2010,11,11802,3385673,295,285,295
22/06/2010,14,11860,3391890,300,285,300
23/06/2010,25,18604,5425495,302,286,300
24/06/2010,13,2246,666852,303,295,303
28/06/2010,3,1924,568890,297,294,295
29/06/2010,13,3811,1092035,295,284,285
30/06/2010,20,5379,1536060,292,283,283
01/07/2010,34,6705,1956508,306,288,290
04/07/2010,16,10205,2894893,290,281,286
05/07/2010,7,836,237664,290,281,290
06/07/2010,9,2003,576258,291,286,289
07/07/2010,18,5222,1504910,290,280,285
08/07/2010,7,749,216994,290,285,290
11/07/2010,4,414,119982,293,289,289
12/07/2010,4,358,102890,294,284,294
13/07/2010,4,1257,372216,299,294,294
14/07/2010,1,94,27636,294,294,294
15/07/2010,8,1473,424057,303,285,303
18/07/2010,6,437,127179,297,287,287
19/07/2010,10,3579,1034574,292,286,286
20/07/2010,14,3344,980755,296,290,294
21/07/2010,10,1104,328824,303,294,299
22/07/2010,6,1047,307445,300,290,290
25/07/2010,9,1378,399174,295,288,289
26/07/2010,2,450,128250,285,285,285
27/07/2010,8,1687,480385,288,283,283
28/07/2010,5,458,133014,296,288,296
01/08/2010,1,100,30100,301,301,301
02/08/2010,27,6832,1991313,298,290,290
03/08/2010,9,2664,772830,295,290,290
04/08/2010,3,820,238320,292,290,292
