Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-08-22,1,5200.00,1232400.00,237.00,237.00,237.00
2010-10-12,1,60000.00,14220000.00,237.00,237.00,237.00
2010-12-28,1,30000.00,7110000.00,237.00,237.00,237.00
2013-08-12,6,120.00,21780.00,189.00,174.00,174.00
2013-08-13,2,40.00,6780.00,171.00,168.00,168.00
2013-08-15,5,100.00,15900.00,165.00,153.00,153.00
2013-08-18,3,159900.00,23985000.00,150.00,150.00,150.00
2014-08-07,4,27298.00,4176594.00,153.00,153.00,153.00
2014-10-15,1,80.00,12240.00,153.00,153.00,153.00
2015-01-06,1,10000.00,1530000.00,153.00,153.00,153.00
