Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2011-02-01,2,60.00,12900.00,217.00,213.00,213.00
2011-02-07,2,5382.00,1109154.00,209.00,205.00,205.00
2012-03-27,1,170493.00,17049300.00,100.00,100.00,100.00
2012-05-21,1,99000.00,9900000.00,100.00,100.00,100.00
2012-10-11,4,1093616.00,109361600.00,100.00,100.00,100.00
2012-11-11,6,261142.00,19420560.00,90.00,70.00,70.00
2013-01-17,3,133812.00,13113576.00,98.00,98.00,98.00
2013-02-20,2,221384.00,21353337.00,97.00,90.00,90.00
2013-03-05,2,10066.00,976402.00,97.00,97.00,97.00
2013-06-18,1,97729.00,9381984.00,96.00,96.00,96.00
2013-07-07,1,236717.00,22488115.00,95.00,95.00,95.00
2013-08-15,1,38333.00,3641635.00,95.00,95.00,95.00
2013-09-15,1,10028.00,942632.00,94.00,94.00,94.00
2013-12-09,2,32778.00,3015576.00,92.00,92.00,92.00
2014-08-31,1,65809.00,6054428.00,92.00,92.00,92.00
2014-09-28,3,37040.00,3615160.00,98.00,96.00,98.00
2014-10-13,1,3061.00,303039.00,99.00,99.00,99.00
2014-10-14,1,25341.00,2508759.00,99.00,99.00,99.00
2014-10-28,1,3061.00,306100.00,100.00,100.00,100.00
2014-11-02,1,25341.00,2584782.00,102.00,102.00,102.00
2014-11-03,1,8615.00,895960.00,104.00,104.00,104.00
