Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,13,180.00,37930.00,219.00,208.00,219.00
2010-04-19,19,600.00,123160.00,207.00,201.00,201.00
2010-04-20,27,530.00,105250.00,204.00,191.00,199.00
2010-04-21,35,1010.00,198800.00,200.00,180.00,180.00
2010-04-22,22,440.00,78550.00,180.00,176.00,180.00
2010-04-25,13,230.00,41370.00,180.00,177.00,180.00
2010-04-26,9,90.00,15790.00,177.00,174.00,174.00
2010-04-27,11,140.00,23980.00,174.00,167.00,167.00
2010-04-28,8,130.00,21600.00,168.00,165.00,168.00
2010-04-29,11,110.00,18800.00,171.00,170.00,170.00
2010-05-09,1,10.00,1730.00,173.00,173.00,173.00
2010-05-10,11,150.00,26230.00,176.00,173.00,175.00
2010-05-12,5,50.00,8750.00,175.00,175.00,175.00
2010-05-13,4,70.00,12640.00,181.00,178.00,181.00
2010-05-16,27,340.00,60960.00,183.00,174.00,174.00
2010-05-17,11,180.00,29970.00,171.00,159.00,159.00
2010-05-18,2,40.00,6360.00,159.00,159.00,159.00
2010-05-19,5,90.00,13480.00,156.00,145.00,145.00
2010-05-20,4,40.00,5600.00,143.00,137.00,137.00
2010-05-24,7,130.00,17190.00,135.00,131.00,131.00
