Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-12-10,1,10.00,1050.00,105.00,105.00,105.00
2013-12-22,2,1098.00,112545.00,103.00,102.00,102.00
2014-01-22,2,676.00,69628.00,104.00,102.00,104.00
2014-01-23,1,1098.00,116388.00,106.00,106.00,106.00
2014-01-26,1,221.00,23205.00,105.00,105.00,105.00
2014-02-11,3,2745.00,293715.00,107.00,107.00,107.00
2014-02-24,5,100.00,11300.00,117.00,109.00,117.00
2014-02-25,5,100.00,12300.00,127.00,119.00,127.00
2014-02-26,6,192.00,24888.00,133.00,129.00,133.00
2014-03-03,1,20.00,2700.00,135.00,135.00,135.00
2014-03-04,1,34.00,4658.00,137.00,137.00,137.00
2014-03-06,11,1646.00,239754.00,150.00,139.00,150.00
2014-03-09,4,630.00,94590.00,153.00,150.00,150.00
2014-03-18,8,732.00,105820.00,147.00,143.00,143.00
2014-04-06,1,81.00,11421.00,141.00,141.00,141.00
2014-04-07,1,382.00,53098.00,139.00,139.00,139.00
2014-04-09,2,449.00,61351.00,137.00,135.00,135.00
2014-04-10,2,1282.00,168310.00,133.00,131.00,131.00
2014-04-13,1,81.00,10449.00,129.00,129.00,129.00
2014-04-15,3,530.00,67634.00,129.00,127.00,129.00
2014-04-16,2,91.00,11830.00,130.00,130.00,130.00
2014-04-17,7,438.00,57006.00,132.00,128.00,130.00
2014-04-20,5,370.00,48100.00,130.00,130.00,130.00
2014-04-21,2,162.00,20898.00,130.00,128.00,130.00
2014-04-22,6,1338.00,167361.00,128.00,123.00,123.00
2014-04-23,3,243.00,29646.00,123.00,121.00,121.00
2014-04-27,9,729.00,87318.00,123.00,119.00,119.00
2014-04-28,2,630.00,74340.00,118.00,118.00,118.00
2014-04-29,4,526.00,62813.00,121.00,118.00,121.00
2014-05-04,1,199.00,24477.00,123.00,123.00,123.00
2014-05-11,1,81.00,10125.00,125.00,125.00,125.00
2014-05-13,2,375.00,48213.00,129.00,127.00,129.00
2014-05-15,1,294.00,38514.00,131.00,131.00,131.00
2014-05-19,4,324.00,43983.00,138.00,133.00,138.00
2014-05-20,8,935.00,133719.00,145.00,140.00,142.00
2014-05-21,13,3613.00,516035.00,144.00,138.00,144.00
2014-05-22,8,1569.00,229701.00,149.00,145.00,149.00
2014-05-28,1,38.00,5586.00,147.00,147.00,147.00
2014-06-04,2,626.00,93679.00,150.00,149.00,150.00
2014-06-18,7,911.00,141786.00,158.00,153.00,150.00
2014-06-19,1,338.00,54080.00,160.00,160.00,160.00
2014-07-01,2,220.00,35200.00,160.00,160.00,160.00
2014-07-02,2,412.00,64096.00,157.00,155.00,155.00
2014-07-03,1,38.00,5890.00,155.00,155.00,155.00
2014-07-07,5,320.00,51827.00,167.00,158.00,167.00
2014-07-08,5,197.00,34612.00,179.00,170.00,176.00
2014-07-13,2,520.00,92654.00,179.00,176.00,176.00
2014-07-16,1,338.00,60502.00,179.00,179.00,179.00
2014-07-17,1,81.00,14742.00,182.00,182.00,182.00
2014-07-21,1,38.00,7030.00,185.00,185.00,185.00
2014-07-23,1,10.00,1880.00,188.00,188.00,188.00
2014-08-03,2,220.00,42350.00,194.00,191.00,194.00
2014-08-05,1,38.00,7258.00,191.00,191.00,191.00
2014-08-14,2,48.00,9312.00,194.00,194.00,194.00
2014-08-18,3,258.00,48784.00,192.00,187.00,187.00
2014-08-19,1,52.00,9672.00,186.00,186.00,186.00
2014-08-21,1,60.00,11340.00,189.00,189.00,189.00
2014-08-24,1,81.00,15228.00,188.00,188.00,188.00
2014-09-04,3,510.00,93124.00,185.00,180.00,180.00
2014-09-10,1,81.00,14337.00,177.00,177.00,177.00
2014-09-16,1,20.00,3600.00,180.00,180.00,180.00
2014-09-18,1,81.00,14337.00,177.00,177.00,177.00
2014-11-20,1,18.00,2844.00,158.00,158.00,158.00
2014-12-03,1,360.00,56880.00,158.00,158.00,158.00
2014-12-04,2,148.00,23680.00,160.00,160.00,160.00
2014-12-15,1,549.00,86193.00,157.00,157.00,157.00
2014-12-16,2,736.00,114080.00,155.00,155.00,155.00
2015-03-12,3,736.00,109624.00,150.00,146.00,150.00
2015-03-15,2,368.00,57378.00,156.00,153.00,156.00
2015-03-19,1,870.00,141810.00,163.00,163.00,163.00
2015-03-23,2,1054.00,180786.00,174.00,171.00,174.00
