Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-05-16,1,40.00,9400.00,235.00,235.00,235.00
2010-06-08,1,31.00,7254.00,234.00,234.00,234.00
2010-07-13,1,100.00,23400.00,234.00,234.00,234.00
2010-07-25,1,100.00,23400.00,234.00,234.00,234.00
2010-08-05,2,800.00,187200.00,234.00,234.00,234.00
2010-08-31,1,118.00,27612.00,234.00,234.00,234.00
2010-09-23,1,61.00,14030.00,230.00,230.00,230.00
2010-09-26,3,150.00,33340.00,226.00,218.00,218.00
2010-09-27,3,113.00,23860.00,214.00,208.00,208.00
2010-09-28,2,142.00,28592.00,204.00,200.00,200.00
2010-09-29,1,200.00,39200.00,196.00,196.00,196.00
2010-09-30,2,492.00,94206.00,193.00,190.00,190.00
2010-10-03,2,94.00,17490.00,187.00,185.00,185.00
2010-10-27,1,52.00,9828.00,189.00,189.00,189.00
2010-10-31,1,53.00,10017.00,189.00,189.00,189.00
2010-11-04,2,428.00,81068.00,190.00,187.00,187.00
2010-11-21,1,14.00,2604.00,186.00,186.00,186.00
2010-11-25,1,30.00,5550.00,185.00,185.00,185.00
2010-12-01,2,513.00,93379.00,183.00,182.00,182.00
2010-12-06,1,40.00,7200.00,180.00,180.00,180.00
2010-12-20,1,100.00,17800.00,178.00,178.00,178.00
2010-12-22,5,80.00,14240.00,178.00,178.00,178.00
2010-12-23,11,822.00,144716.00,178.00,175.00,175.00
2011-01-24,1,10.00,1560.00,156.00,156.00,156.00
2011-02-01,3,51.00,7759.00,153.00,151.00,151.00
2011-03-31,3,579.00,85692.00,148.00,148.00,148.00
2011-04-06,13,884.00,130832.00,148.00,148.00,148.00
2011-05-15,2,185.00,27750.00,150.00,150.00,150.00
2011-07-04,4,130.00,19500.00,150.00,150.00,150.00
2011-08-16,7,388.00,58200.00,150.00,150.00,150.00
2011-08-30,2,258.00,37668.00,147.00,145.00,145.00
2011-09-20,2,136.00,19448.00,143.00,143.00,143.00
2011-12-26,2,140.00,19740.00,141.00,141.00,141.00
2011-12-28,2,5000.00,695000.00,139.00,139.00,139.00
2011-12-29,10,3067.00,395429.00,137.00,126.00,126.00
2012-01-31,2,388.00,47340.00,126.00,120.00,120.00
2012-02-01,1,258.00,30960.00,120.00,120.00,120.00
2012-02-02,7,742.00,86826.00,118.00,116.00,116.00
2012-02-05,1,50.00,5900.00,118.00,118.00,118.00
2012-02-08,9,12758.00,1275053.00,103.00,99.00,99.00
2012-02-09,6,1013.00,99651.00,99.00,98.00,99.00
2012-02-12,5,8081.00,806200.00,100.00,97.00,97.00
2012-02-13,4,1569.00,154007.00,99.00,98.00,99.00
2012-02-14,3,1472.00,144666.00,99.00,98.00,99.00
2012-02-15,1,1218.00,119364.00,98.00,98.00,98.00
2012-02-21,2,578.00,57322.00,100.00,99.00,100.00
2012-02-27,1,258.00,25800.00,100.00,100.00,100.00
2012-03-04,1,96.00,9696.00,101.00,101.00,101.00
2012-03-05,2,702.00,69556.00,100.00,99.00,100.00
2012-03-06,2,220.00,22000.00,100.00,100.00,100.00
2012-03-27,1,1330.00,133000.00,100.00,100.00,100.00
2012-05-24,3,30.00,3120.00,106.00,102.00,106.00
2012-05-27,1,10.00,1080.00,108.00,108.00,108.00
2012-05-29,3,260.00,28700.00,112.00,110.00,110.00
2012-05-30,1,100.00,11200.00,112.00,112.00,112.00
2012-05-31,3,87.00,9456.00,110.00,108.00,108.00
2012-06-12,2,600.00,62400.00,105.00,103.00,103.00
2012-06-19,1,10.00,1030.00,103.00,103.00,103.00
2012-06-20,1,300.00,30300.00,101.00,101.00,101.00
2012-07-24,1,20.00,2020.00,101.00,101.00,101.00
2012-08-22,1,300.00,30000.00,100.00,100.00,100.00
2012-09-02,1,300.00,30000.00,100.00,100.00,100.00
2012-09-23,2,166.00,16268.00,98.00,98.00,98.00
2013-02-14,1,10.00,900.00,90.00,90.00,90.00
2013-05-16,3,107.00,8817.00,83.00,82.00,82.00
2013-05-19,2,22.00,1836.00,84.00,83.00,84.00
2013-05-20,4,87.00,7411.00,87.00,84.00,87.00
2013-05-23,2,347.00,30236.00,88.00,87.00,87.00
2013-06-09,1,3600.00,316800.00,88.00,88.00,88.00
2013-06-10,1,3000.00,267000.00,89.00,89.00,89.00
2013-06-12,2,304.00,27519.00,91.00,90.00,91.00
2013-06-19,1,60.00,5520.00,92.00,92.00,92.00
2013-06-25,2,44.00,4092.00,93.00,93.00,93.00
2013-06-26,1,10.00,940.00,94.00,94.00,94.00
2013-07-25,1,3308.00,307644.00,93.00,93.00,93.00
2013-07-29,1,84.00,7896.00,94.00,94.00,94.00
2013-08-14,2,324.00,31084.00,96.00,95.00,96.00
2013-08-20,1,10.00,970.00,97.00,97.00,97.00
2013-08-25,1,53.00,5194.00,98.00,98.00,98.00
2013-09-02,4,262.00,26136.00,102.00,99.00,102.00
