Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2011-07-12,1,8008.00,920920.00,115.00,115.00,115.00
2012-06-05,1,5000.00,555000.00,111.00,111.00,111.00
2012-06-06,1,5000.00,545000.00,109.00,109.00,109.00
2012-06-13,2,10000.00,1090000.00,109.00,109.00,109.00
2012-06-21,1,10000.00,1090000.00,109.00,109.00,109.00
2012-06-25,2,10000.00,1080000.00,108.00,108.00,108.00
2012-06-27,2,10000.00,1070000.00,107.00,107.00,107.00
2012-07-05,5,45000.00,4590000.00,105.00,100.00,100.00
2013-01-30,1,100209.00,10020900.00,100.00,100.00,100.00
2014-01-09,1,35674.00,3638748.00,102.00,102.00,102.00
2014-06-11,1,3389.00,345678.00,102.00,102.00,102.00
