Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-10-06,1,30.00,10050.00,335.00,335.00,335.00
2010-10-07,1,10.00,3200.00,320.00,320.00,320.00
2010-10-26,3,60.00,19200.00,320.00,320.00,320.00
2010-11-10,2,20.00,6220.00,314.00,308.00,308.00
2010-11-11,3,30.00,9450.00,315.00,315.00,315.00
2010-11-14,1,10.00,3000.00,300.00,300.00,300.00
2010-11-15,1,10.00,2850.00,285.00,285.00,285.00
2010-11-18,1,10.00,2710.00,271.00,271.00,271.00
2010-11-22,1,10.00,2580.00,258.00,258.00,258.00
2010-11-23,6,60.00,15000.00,250.00,250.00,250.00
2010-11-24,1,10.00,2400.00,240.00,240.00,240.00
2010-11-30,1,10.00,2280.00,228.00,228.00,228.00
2010-12-02,2,20.00,4440.00,224.00,220.00,220.00
2010-12-09,4,40.00,8140.00,209.00,199.00,199.00
2010-12-14,5,110.00,21560.00,196.00,196.00,196.00
2010-12-22,7,70.00,12750.00,187.00,177.00,177.00
2010-12-23,215,3180.00,513120.00,172.00,160.00,162.00
2010-12-26,86,1330.00,224230.00,172.00,165.00,168.00
2010-12-27,89,1610.00,269130.00,170.00,163.00,169.00
2010-12-28,104,1710.00,296500.00,179.00,164.00,167.00
2010-12-29,66,890.00,146490.00,168.00,161.00,164.00
2011-01-02,27,320.00,52630.00,167.00,161.00,161.00
2011-01-03,11,200.00,30420.00,158.00,149.00,149.00
2011-01-04,23,290.00,43350.00,151.00,147.00,150.00
2011-01-05,13,140.00,20580.00,148.00,146.00,146.00
2011-01-06,53,740.00,108500.00,148.00,145.00,145.00
2011-01-09,42,730.00,107260.00,148.00,146.00,148.00
2011-01-10,25,390.00,59490.00,154.00,150.00,154.00
2011-01-11,13,140.00,21400.00,153.00,152.00,153.00
2011-01-12,3,60.00,9130.00,155.00,151.00,155.00
2011-01-13,10,170.00,26940.00,159.00,158.00,159.00
2011-01-16,15,150.00,23600.00,160.00,157.00,157.00
2011-01-17,11,140.00,21920.00,157.00,156.00,156.00
2011-01-18,25,690.00,109580.00,164.00,155.00,164.00
2011-01-19,12,130.00,20900.00,162.00,160.00,162.00
2011-01-20,16,350.00,61200.00,178.00,165.00,178.00
2011-01-23,17,250.00,45020.00,183.00,175.00,181.00
2011-01-24,3,50.00,9200.00,184.00,184.00,184.00
2011-02-01,19,340.00,62770.00,187.00,183.00,186.00
2011-02-02,52,720.00,139580.00,200.00,186.00,196.00
2011-02-03,25,420.00,81450.00,198.00,193.00,193.00
