Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-05-16,2,38.00,11210.00,295.00,295.00,295.00
2010-06-06,1,34.00,9860.00,290.00,290.00,290.00
2010-06-07,1,10.00,2850.00,285.00,285.00,285.00
2010-06-08,3,150.00,41250.00,280.00,270.00,270.00
2010-06-09,4,194.00,49910.00,265.00,250.00,250.00
2010-06-10,3,150.00,36350.00,245.00,241.00,241.00
2010-06-13,6,424.00,98808.00,237.00,225.00,225.00
2010-06-15,1,113.00,24973.00,221.00,221.00,221.00
2010-06-16,1,117.00,25389.00,217.00,217.00,217.00
2010-06-23,1,117.00,25389.00,217.00,217.00,217.00
2010-06-24,1,35.00,7700.00,220.00,220.00,220.00
2010-07-01,1,81.00,17496.00,216.00,216.00,216.00
2010-07-07,3,30.00,6600.00,220.00,220.00,220.00
2010-07-13,1,20.00,4480.00,224.00,224.00,224.00
2010-07-14,1,402.00,88440.00,220.00,220.00,220.00
2010-07-21,1,100.00,21600.00,216.00,216.00,216.00
2010-11-04,3,38.00,8208.00,216.00,216.00,216.00
2010-11-09,1,22.00,4840.00,220.00,220.00,220.00
2010-11-23,1,55.00,11880.00,216.00,216.00,216.00
2010-11-29,2,54.00,11448.00,212.00,212.00,212.00
2010-12-22,9,7415.00,1607600.00,224.00,216.00,220.00
2011-03-14,2,4189.00,899879.00,215.00,211.00,211.00
2011-03-30,5,945.00,198450.00,210.00,210.00,210.00
2011-04-11,1,10.00,2140.00,214.00,214.00,214.00
2011-04-21,1,20.00,4200.00,210.00,210.00,210.00
2011-05-03,2,30.00,6500.00,218.00,214.00,218.00
2011-05-12,3,62.00,13176.00,214.00,212.00,212.00
2011-05-30,9,222.00,49681.00,232.00,212.00,232.00
2011-06-01,3,80.00,19140.00,243.00,236.00,243.00
2011-06-02,2,30.00,7370.00,247.00,243.00,243.00
2011-06-06,11,453.00,111697.00,251.00,243.00,246.00
2011-07-03,1,50.00,12500.00,250.00,250.00,250.00
2011-10-02,2,20.00,4900.00,245.00,245.00,245.00
2011-10-25,1,14.00,3374.00,241.00,241.00,241.00
2011-11-08,1,35.00,8365.00,239.00,239.00,239.00
2011-11-09,1,362.00,85070.00,235.00,235.00,235.00
2011-11-23,3,30.00,6930.00,231.00,231.00,231.00
2012-01-25,2,92.00,20884.00,227.00,227.00,227.00
2012-04-18,3,255.00,56465.00,223.00,219.00,219.00
2012-11-21,6,217.00,44955.00,215.00,198.00,198.00
2013-04-08,3,61.00,11796.00,195.00,192.00,192.00
2013-11-28,1,28031.00,5213766.00,186.00,186.00,186.00
2013-12-08,1,50.00,9150.00,183.00,183.00,183.00
2014-01-26,2,489.00,87120.00,180.00,177.00,177.00
2014-01-27,1,282.00,49350.00,175.00,175.00,175.00
2014-02-11,1,45.00,7740.00,172.00,172.00,172.00
2014-02-12,2,90.00,15075.00,169.00,166.00,166.00
2014-02-13,1,113.00,18419.00,163.00,163.00,163.00
2014-02-17,2,104.00,16370.00,160.00,157.00,157.00
2014-02-24,1,327.00,50358.00,154.00,154.00,154.00
2014-03-04,2,30.00,4530.00,151.00,151.00,151.00
2014-03-09,1,117.00,17316.00,148.00,148.00,148.00
2014-03-11,2,227.00,33142.00,146.00,146.00,146.00
2014-03-13,3,119.00,17136.00,144.00,144.00,144.00
2014-03-23,5,981.00,138256.00,142.00,138.00,138.00
2014-03-24,2,323.00,43915.00,136.00,135.00,135.00
2014-03-25,7,2124.00,278416.00,133.00,128.00,128.00
2014-04-01,1,163.00,21190.00,130.00,130.00,130.00
2014-04-02,1,893.00,117876.00,132.00,132.00,132.00
2014-04-03,3,27731.00,3660492.00,132.00,132.00,132.00
2014-04-07,1,333.00,44622.00,134.00,134.00,134.00
2014-04-10,2,146.00,20128.00,138.00,136.00,138.00
2014-04-13,1,672.00,94080.00,140.00,140.00,140.00
2014-04-20,1,50.00,7100.00,142.00,142.00,142.00
2014-04-29,6,60.00,8970.00,156.00,144.00,156.00
2014-04-30,5,267.00,44055.00,171.00,159.00,171.00
2014-05-04,6,60.00,10880.00,188.00,174.00,188.00
2014-05-05,16,4031.00,829576.00,206.00,191.00,192.00
2014-05-06,25,8573.00,1707630.00,211.00,186.00,186.00
2014-05-07,1,3402.00,625968.00,184.00,184.00,184.00
2014-05-11,16,4910.00,927237.00,193.00,185.00,193.00
2014-05-12,4,450.00,91507.00,206.00,196.00,206.00
2014-05-13,7,1972.00,400054.00,209.00,198.00,198.00
