Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2012-04-02,3,282441.00,49144734.00,177.00,171.00,171.00
2013-01-13,1,100.00,41000.00,410.00,410.00,410.00
2014-09-24,393,788840.00,421311864.60,0.00,0.00,530.00
2014-09-28,171,389468.00,207089611.60,0.00,0.00,540.00
2014-09-29,6,6220.00,3537960.00,0.00,0.00,533.00
2014-12-01,2,3718.00,1528098.00,411.00,411.00,411.00
2014-12-07,1,50.00,20950.00,419.00,419.00,419.00
2014-12-10,6,1000.00,425500.00,430.00,423.00,423.00
2014-12-11,3,2200.00,957000.00,439.00,431.00,439.00
2014-12-14,3,400.00,172800.00,432.00,432.00,432.00
2014-12-17,2,300.00,133600.00,448.00,440.00,448.00
2014-12-21,1,100.00,45600.00,456.00,456.00,456.00
2014-12-22,1,200.00,93000.00,465.00,465.00,465.00
2014-12-24,5,900.00,429500.00,483.00,474.00,480.00
2014-12-28,5,800.00,385100.00,489.00,475.00,481.00
2014-12-31,2,950.00,446900.00,472.00,470.00,470.00
2015-01-04,5,2500.00,1185000.00,475.00,470.00,475.00
2015-01-06,8,2880.00,1395800.00,499.00,478.00,490.00
2015-01-07,1,800.00,384800.00,481.00,481.00,481.00
2015-01-11,7,5200.00,2445000.00,472.00,468.00,468.00
2015-01-12,3,3000.00,1382000.00,462.00,460.00,460.00
2015-01-13,3,1800.00,829800.00,466.00,460.00,460.00
2015-01-14,1,500.00,234000.00,468.00,468.00,468.00
2015-01-19,9,2700.00,1321600.00,504.00,477.00,490.00
2015-01-25,213,2024231.00,820124080.10,495.00,495.00,401.00
2015-01-26,264,1602173.00,655439737.00,0.00,0.00,405.05
2015-01-27,8,7450.00,3708400.00,505.00,481.00,504.00
2015-01-28,124,137606.00,56631342.30,505.00,500.00,406.00
2015-01-29,22,726816.00,295406395.00,507.00,498.00,405.00
2015-02-01,18,57179.00,23666379.00,517.00,505.00,505.00
2015-02-02,204,324037.00,132607498.70,510.00,500.00,402.00
2015-02-03,24,52798.00,22035692.00,515.00,505.00,505.00
2015-02-04,34,60242.00,27574892.00,510.00,495.00,411.00
2015-02-08,5,1300.00,645400.00,500.00,491.00,491.00
2015-02-09,10,4350.00,2095300.00,490.00,480.00,485.00
2015-02-10,4,1800.00,867400.00,485.00,476.00,485.00
2015-02-11,2,2000.00,975000.00,490.00,485.00,490.00
2015-02-12,1,434.00,213528.00,492.00,492.00,492.00
2015-02-15,61,79205.00,33336475.30,491.00,490.00,401.00
2015-02-16,13,4235.00,1810745.00,491.00,490.00,491.00
2015-02-18,34,32609.00,13638867.50,498.00,492.00,411.00
2015-02-22,13,16730.00,8281600.00,502.00,492.00,492.00
2015-02-23,17,6642.00,3235210.00,490.00,485.00,485.00
2015-02-24,12,765878.00,307606178.00,488.00,479.00,401.00
2015-02-25,3,1200.00,576000.00,480.00,480.00,480.00
2015-02-26,4,1700.00,815500.00,480.00,479.00,480.00
2015-03-01,3,600.00,290200.00,485.00,482.00,482.00
2015-03-02,9,6854.00,3351382.00,499.00,480.00,490.00
2015-03-03,26,25459.00,10958256.40,492.00,485.00,490.00
2015-03-04,2,894.00,440954.00,495.00,491.00,491.00
2015-03-09,15,7037.00,3488215.00,498.00,495.00,495.00
2015-03-10,2,11000.00,5395000.00,495.00,490.00,490.00
2015-03-11,1,500.00,247000.00,494.00,494.00,494.00
2015-03-12,5,8100.00,3989200.00,496.00,490.00,490.00
2015-03-15,2,500.00,244500.00,489.00,489.00,489.00
2015-03-16,4,5200.00,2536000.00,490.00,487.00,487.00
2015-03-17,7,5383.00,2634550.00,492.00,487.00,492.00
2015-03-18,7,2140.00,1050040.00,492.00,490.00,490.00
2015-03-19,10,6743.00,3307370.00,492.00,487.00,492.00
2015-03-22,8,8600.00,4222000.00,494.00,490.00,490.00
2015-03-23,16,16225.00,7957400.00,492.00,490.00,490.00
2015-03-24,18,11363.00,5574970.00,494.00,490.00,490.00
2015-03-25,17,12894.00,6317660.00,492.00,488.00,491.00
2015-03-26,28,14279.00,6345511.00,487.00,482.00,485.00
