Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2015-02-18,15,62325.00,668442.70,11.00,10.20,10.66
2015-02-22,8,34127.00,359018.25,10.55,10.45,10.55
2015-02-23,7,26500.00,281125.00,10.70,10.45,10.70
2015-02-24,4,15173.00,164198.78,10.86,10.65,10.86
2015-02-25,7,27956.00,303070.40,10.90,10.70,10.75
2015-02-26,8,23300.00,251165.00,10.80,10.70,10.80
2015-03-01,5,9000.00,96500.00,10.90,10.70,10.70
2015-03-02,9,45267.00,481263.55,10.70,10.50,10.70
2015-03-03,2,19889.00,209084.50,10.60,10.50,10.60
2015-03-04,1,1000.00,10400.00,10.40,10.40,10.40
2015-03-09,6,12000.00,127580.00,10.70,10.60,10.70
2015-03-10,1,1913.00,20086.50,10.50,10.50,10.50
2015-03-11,1,500.00,5300.00,10.60,10.60,10.60
2015-03-12,2,2450.00,25480.00,10.40,10.40,10.40
2015-03-15,2,10000.00,102100.00,10.21,10.21,10.21
2015-03-16,7,27956.00,280510.00,10.20,10.00,10.00
2015-03-18,11,47100.00,477165.00,10.17,10.00,10.17
2015-03-19,18,65600.00,665226.00,10.37,10.05,10.21
2015-03-22,8,40000.00,405150.00,10.20,10.11,10.15
2015-03-23,4,12256.00,123830.60,10.25,10.10,10.10
2015-03-24,3,12651.00,127775.10,10.10,10.10,10.10
2015-03-25,6,4000.00,40400.00,10.10,10.10,10.10
2015-03-26,5,18500.00,186850.00,10.10,10.10,10.10
