Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-08-07,1,11116.00,7781200.00,700.00,700.00,700.00
2013-11-27,1,8571.00,5879706.00,686.00,686.00,686.00
2014-01-20,1,5828.00,3922244.00,673.00,673.00,673.00
2014-03-18,1,5000.00,3365000.00,673.00,673.00,673.00
2014-07-15,1,7286.00,4998196.00,686.00,686.00,686.00
2014-07-16,2,36428.00,24989608.00,686.00,686.00,686.00
2014-07-20,1,7285.00,5092215.00,699.00,699.00,699.00
2014-08-21,3,4371.00,2941683.00,686.00,660.00,660.00
2014-08-24,3,9290.00,5848870.00,647.00,623.00,623.00
2014-08-25,3,44266.00,26379156.00,611.00,588.00,588.00
2014-11-10,2,3686.00,2126822.00,577.00,577.00,577.00
2014-11-18,1,1800.00,1038600.00,577.00,577.00,577.00
