Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-11-14,1,31500.00,19530000.00,620.00,620.00,620.00
2014-01-01,1,8580.00,5319600.00,620.00,620.00,620.00
2014-01-14,1,11500.00,6992000.00,608.00,608.00,608.00
2014-01-16,1,17160.00,10639200.00,620.00,620.00,620.00
2014-03-06,1,8580.00,5319600.00,620.00,620.00,620.00
2014-04-20,1,3500.00,2128000.00,608.00,608.00,608.00
2014-04-29,1,5000.00,3100000.00,620.00,620.00,620.00
2014-05-07,1,5000.00,3160000.00,632.00,632.00,632.00
2014-05-22,2,2200.00,1416800.00,644.00,644.00,644.00
2014-05-25,1,8580.00,5628480.00,656.00,656.00,656.00
2014-05-28,1,52000.00,33800000.00,650.00,650.00,650.00
2014-08-19,2,28759.00,18693350.00,650.00,650.00,650.00
2014-08-28,1,28759.00,18693350.00,650.00,650.00,650.00
2014-10-14,3,1500.00,1014000.00,689.00,663.00,689.00
2014-10-15,5,17317.00,12263872.00,730.00,702.00,702.00
2014-10-16,3,1500.00,1095000.00,744.00,716.00,744.00
2014-10-19,2,1000.00,765500.00,773.00,758.00,773.00
2014-10-20,3,1500.00,1205000.00,819.00,788.00,819.00
2014-10-21,2,1000.00,843000.00,851.00,835.00,851.00
2014-10-22,3,1500.00,1327500.00,902.00,868.00,902.00
2014-10-26,3,1500.00,1407000.00,956.00,920.00,956.00
2014-10-27,6,35583.00,35567500.00,1000.00,975.00,1000.00
2014-12-08,1,16247.00,16247000.00,1000.00,1000.00,1000.00
2014-12-11,1,3822.00,3822000.00,1000.00,1000.00,1000.00
2014-12-14,1,2660.00,2606800.00,980.00,980.00,980.00
2015-01-22,1,1000.00,980000.00,980.00,980.00,980.00
2015-03-10,5,5000.00,5191000.00,1078.00,999.00,1078.00
2015-03-11,7,95000.00,104450000.00,1100.00,1090.00,1100.00
