Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2014-01-05,1,1875.00,3234375.00,1725.00,1725.00,1725.00
2014-01-16,2,5000.00,8356000.00,1691.00,1658.00,1658.00
2014-03-05,3,10000.00,15870000.00,1625.00,1562.00,1562.00
2014-03-06,2,27850.00,43811700.00,1593.00,1562.00,1593.00
2014-03-11,1,5000.00,8120000.00,1624.00,1624.00,1624.00
2014-04-30,17,37775.00,59920975.00,1626.00,1564.00,1626.00
2014-06-24,2,10020.00,16292520.00,1626.00,1626.00,1626.00
2014-08-14,2,2550.00,4146300.00,1626.00,1626.00,1626.00
2014-08-18,2,13900.00,22601400.00,1626.00,1626.00,1626.00
2014-08-19,7,19380.00,32134080.00,1691.00,1626.00,1691.00
2014-09-21,1,1785.00,3034500.00,1700.00,1700.00,1700.00
2014-11-23,1,1000.00,1666000.00,1666.00,1666.00,1666.00
2014-12-28,3,36675.00,61047250.00,1670.00,1650.00,1650.00
2015-02-05,1,4340.00,7161000.00,1650.00,1650.00,1650.00
2015-03-04,1,1000.00,1683000.00,1683.00,1683.00,1683.00
2015-03-12,1,1000.00,1716000.00,1716.00,1716.00,1716.00
2015-03-19,5,7000.00,12046000.00,1750.00,1716.00,1750.00
2015-03-23,5,5350.00,9579750.00,1925.00,1785.00,1925.00
2015-03-24,5,500.00,1020600.00,2117.00,1963.00,2117.00
2015-03-25,9,5035.00,11035275.00,2328.00,2075.00,2328.00
2015-03-26,2,7500.00,17943000.00,2420.00,2374.00,2420.00
