Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-06-23,2,11780.00,1767000.00,150.00,150.00,150.00
2010-07-08,1,17375.00,2554125.00,147.00,147.00,147.00
2011-02-07,1,5000.00,680000.00,136.00,136.00,136.00
2011-06-05,1,16000.00,2176000.00,136.00,136.00,136.00
2011-10-30,1,46672.00,6300720.00,135.00,135.00,135.00
2012-08-30,1,19375.00,2615625.00,135.00,135.00,135.00
2013-10-28,1,2000.00,270000.00,135.00,135.00,135.00
2014-05-18,1,26087.00,3469571.00,133.00,133.00,133.00
2014-06-01,1,50000.00,6550000.00,131.00,131.00,131.00
2014-08-18,1,97271.00,12937043.00,133.00,133.00,133.00
2014-08-26,1,12000.00,1596000.00,133.00,133.00,133.00
