Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-07-26,1,40252.00,4870492.00,121.00,121.00,121.00
2010-07-29,1,2000.00,242000.00,121.00,121.00,121.00
2010-10-06,3,10641.00,1266279.00,119.00,119.00,119.00
2011-03-30,1,22078.00,2605204.00,118.00,118.00,118.00
2011-07-14,3,5321.00,627878.00,118.00,118.00,118.00
2012-01-11,1,1900.00,220400.00,116.00,116.00,116.00
2012-06-03,10,372098.00,14357270.00,39.00,38.00,38.50
2014-06-15,2,8000.00,984000.00,124.00,122.00,124.00
2014-10-09,1,6000.00,744000.00,124.00,124.00,124.00
2014-12-08,3,78000.00,10066000.00,130.00,126.00,130.00
2015-03-02,1,30000.00,3900000.00,130.00,130.00,130.00
