Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-29,2,70.00,6290.00,90.00,89.00,89.00
2010-05-09,1,100.00,8800.00,88.00,88.00,88.00
2010-05-12,2,60010.00,5160870.00,87.00,86.00,86.00
2010-05-13,20,920.00,74740.00,85.00,80.00,80.00
2010-05-16,10,700.00,52320.00,79.00,72.00,72.00
2010-05-17,9,300.00,19950.00,71.00,65.00,65.00
2010-05-18,6,60.00,3690.00,64.00,59.00,59.00
2010-05-19,9,820.00,45290.00,58.00,54.00,54.00
2010-05-23,3,270.00,14310.00,53.00,53.00,53.00
2010-05-24,3,100.00,5200.00,52.00,52.00,52.00
2010-05-25,2,210.00,10820.00,52.00,51.00,52.00
2010-05-26,2,130.00,6890.00,53.00,53.00,53.00
2010-05-31,3,180.00,9720.00,54.00,54.00,54.00
2010-06-02,9,330.00,18450.00,56.00,55.00,56.00
2010-06-06,7,560.00,31470.00,57.00,56.00,57.00
2010-06-13,1,60.00,3480.00,58.00,58.00,58.00
2010-06-15,2,80.00,4640.00,58.00,58.00,58.00
2010-06-16,3,80.00,4720.00,59.00,59.00,59.00
2010-06-17,5,250.00,15000.00,60.00,60.00,60.00
2010-06-20,2,160.00,9590.00,60.00,59.00,59.00
2010-06-21,2,170.00,9830.00,58.00,57.00,57.00
2010-06-22,1,270.00,15390.00,57.00,57.00,57.00
2010-06-23,13,640.00,38150.00,60.00,58.00,60.00
2010-06-24,8,240.00,14700.00,63.00,60.00,63.00
2010-06-29,2,470.00,29340.00,63.00,62.00,63.00
2010-07-01,1,10.00,620.00,62.00,62.00,62.00
2010-07-07,5,250.00,15220.00,61.00,60.00,60.00
2010-07-08,9,2430.00,139560.00,59.00,56.00,56.00
2010-07-11,2,590.00,34130.00,58.00,57.00,58.00
2010-07-12,2,540.00,31860.00,59.00,59.00,59.00
2010-07-13,2,1030.00,60770.00,59.00,59.00,59.00
2010-07-14,1,110.00,6600.00,60.00,60.00,60.00
2010-07-15,1,70.00,4200.00,60.00,60.00,60.00
2010-07-18,2,630.00,37380.00,60.00,59.00,60.00
2010-07-20,1,10.00,610.00,61.00,61.00,61.00
2010-07-21,3,360.00,21960.00,61.00,61.00,61.00
2010-07-22,12,250.00,15250.00,61.00,61.00,61.00
2010-07-25,1,420.00,25200.00,60.00,60.00,60.00
2010-07-26,1,90.00,5490.00,61.00,61.00,61.00
2010-07-27,9,1690.00,105980.00,65.00,61.00,65.00
2010-07-28,9,490.00,33670.00,71.00,66.00,71.00
2010-07-29,5,1000.00,72910.00,74.00,71.00,74.00
2010-08-01,1,30.00,2250.00,75.00,75.00,75.00
