Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,1,4180.00,1672000.00,400.00,400.00,400.00
2010-04-19,1,84.00,33432.00,398.00,398.00,398.00
2010-04-22,1,1500.00,600000.00,400.00,400.00,400.00
2010-04-25,3,1158.00,463200.00,400.00,400.00,400.00
2010-04-26,1,42.00,16464.00,392.00,392.00,392.00
2010-04-27,3,122.00,48122.00,398.00,391.00,391.00
2010-04-29,1,38.00,14896.00,392.00,392.00,392.00
2010-05-13,1,300.00,115500.00,385.00,385.00,385.00
2010-06-13,2,1108.00,411439.00,378.00,371.00,371.00
2010-06-15,8,1092.00,401968.00,375.00,364.00,375.00
2010-07-22,1,511.00,121618.00,238.00,238.00,238.00
2010-08-18,1,30.00,7260.00,242.00,242.00,242.00
2010-08-19,1,30.00,7260.00,242.00,242.00,242.00
2010-09-20,9,3090.00,711060.00,242.00,230.00,242.00
2010-10-26,1,53.00,12826.00,242.00,242.00,242.00
2011-01-03,5,263.00,51555.00,202.00,189.00,189.00
2011-02-09,2,100.00,19350.00,195.00,192.00,195.00
2011-02-10,1,50.00,9900.00,198.00,198.00,198.00
2011-04-04,1,190.00,38190.00,201.00,201.00,201.00
2011-04-19,5,63.00,13399.00,221.00,205.00,221.00
2011-04-20,2,35.00,7931.00,229.00,225.00,229.00
2011-04-21,2,70.00,15670.00,225.00,221.00,221.00
2011-05-10,2,45.00,10125.00,225.00,225.00,225.00
2011-05-15,2,60.00,13740.00,229.00,229.00,229.00
2011-05-18,1,20.00,4660.00,233.00,233.00,233.00
2011-05-19,2,20.00,4740.00,237.00,237.00,237.00
2011-05-22,5,296.00,69856.00,240.00,233.00,237.00
2011-05-23,7,173.00,40817.00,240.00,235.00,235.00
2011-05-24,1,20.00,4700.00,235.00,235.00,235.00
2011-05-25,1,10.00,2390.00,239.00,239.00,239.00
2011-05-26,4,104.00,24958.00,245.00,239.00,245.00
2011-05-30,2,41.00,10047.00,247.00,243.00,243.00
2011-05-31,5,54.00,13244.00,247.00,243.00,246.00
2011-06-01,4,51.00,12670.00,250.00,248.00,248.00
2011-06-02,4,50.00,12400.00,248.00,248.00,248.00
2011-06-06,5,64.00,15830.00,248.00,245.00,248.00
2011-06-07,1,10.00,2440.00,244.00,244.00,244.00
2011-06-08,9,144.00,34328.00,247.00,227.00,227.00
2011-06-12,4,40.00,9320.00,233.00,233.00,233.00
2011-06-14,3,30.00,7130.00,239.00,235.00,235.00
2011-06-16,11,110.00,26730.00,243.00,243.00,243.00
2011-06-20,7,70.00,17360.00,248.00,248.00,248.00
2011-06-21,2,355.00,90065.00,255.00,250.00,255.00
2011-06-23,27,357.00,88480.00,250.00,247.00,250.00
2011-06-26,4,40.00,10200.00,255.00,255.00,255.00
2011-06-29,13,130.00,32470.00,255.00,249.00,255.00
2011-06-30,5,51.00,12974.00,255.00,254.00,254.00
2011-07-03,2,20.00,4980.00,249.00,249.00,249.00
2011-07-05,6,60.00,14850.00,250.00,247.00,250.00
2011-07-07,3,34.00,8500.00,250.00,250.00,250.00
2011-07-11,2,29.00,7453.00,257.00,257.00,257.00
2011-07-12,26,260.00,66820.00,257.00,257.00,257.00
2011-07-13,15,150.00,38750.00,263.00,258.00,258.00
2011-07-14,9,90.00,23220.00,258.00,258.00,258.00
2011-07-18,2,20.00,5160.00,258.00,258.00,258.00
2011-07-19,4,220.00,55520.00,253.00,244.00,244.00
2011-07-21,1,35.00,8400.00,240.00,240.00,240.00
2011-07-31,1,10.00,2440.00,244.00,244.00,244.00
2011-08-03,6,60.00,14780.00,247.00,243.00,243.00
2011-08-07,1,10.00,2430.00,243.00,243.00,243.00
2011-08-08,4,130.00,31460.00,242.00,242.00,242.00
2011-08-10,19,400.00,96800.00,242.00,242.00,242.00
2011-09-01,2,403.00,94410.00,238.00,234.00,234.00
2011-09-18,6,60.00,13750.00,230.00,229.00,229.00
2011-09-26,2,290.00,64130.00,225.00,221.00,221.00
2011-09-29,3,30.00,6390.00,217.00,209.00,209.00
2011-10-12,1,10.00,2050.00,205.00,205.00,205.00
2011-10-13,3,47.00,9445.00,202.00,200.00,200.00
2011-10-16,7,178.00,34789.00,204.00,192.00,195.00
2011-10-18,3,40.00,7650.00,192.00,189.00,192.00
2011-10-23,1,246.00,47232.00,192.00,192.00,192.00
2011-10-25,4,70.00,12930.00,189.00,180.00,180.00
2011-11-13,5,156.00,26694.00,177.00,168.00,168.00
2011-11-21,2,20.00,3450.00,174.00,171.00,174.00
2011-11-22,4,40.00,7260.00,186.00,177.00,186.00
2011-11-23,1,10.00,1890.00,189.00,189.00,189.00
2011-11-24,2,20.00,3870.00,195.00,192.00,195.00
2011-11-27,1,10.00,1920.00,192.00,192.00,192.00
2011-11-29,4,40.00,7930.00,201.00,195.00,199.00
2011-12-04,3,44.00,8830.00,201.00,200.00,201.00
2011-12-05,1,30.00,6030.00,201.00,201.00,201.00
2011-12-06,2,20.00,4060.00,205.00,201.00,201.00
2011-12-07,1,15.00,2955.00,197.00,197.00,197.00
2011-12-11,3,5100.00,994200.00,195.00,192.00,192.00
2011-12-13,1,10.00,1950.00,195.00,195.00,195.00
2011-12-14,2,20.00,3990.00,201.00,198.00,201.00
2011-12-15,1,10.00,2050.00,205.00,205.00,205.00
2012-02-23,1,10.00,2010.00,201.00,201.00,201.00
2012-02-26,3,45.00,9225.00,205.00,205.00,205.00
2012-02-27,2,30.00,6210.00,207.00,207.00,207.00
2012-02-29,2,20.00,4180.00,209.00,209.00,209.00
2012-03-04,1,10.00,2100.00,210.00,210.00,210.00
2012-03-05,3,50.00,10500.00,210.00,210.00,210.00
2012-03-06,2,20.00,4220.00,212.00,210.00,212.00
2012-03-13,5,176.00,36718.00,212.00,204.00,212.00
2012-03-14,6,116.00,23964.00,212.00,204.00,206.00
2012-03-19,2,63.00,12673.00,202.00,201.00,201.00
2012-03-20,3,57.00,11685.00,205.00,205.00,205.00
2012-03-21,3,220.00,47220.00,215.00,209.00,215.00
2012-03-26,4,110.00,23650.00,215.00,215.00,215.00
2012-03-27,2,20.00,4390.00,220.00,219.00,220.00
2012-03-28,2,20.00,4400.00,220.00,220.00,220.00
2012-04-04,2,60.00,13260.00,221.00,221.00,221.00
2012-04-05,2,20.00,4480.00,224.00,224.00,224.00
2012-04-19,3,124.00,28408.00,230.00,228.00,230.00
2012-05-14,2,20.00,4660.00,233.00,233.00,233.00
2012-05-22,5,987.00,226023.00,229.00,229.00,229.00
2012-05-24,3,230.00,54030.00,235.00,233.00,235.00
2012-05-27,3,34.00,7990.00,235.00,235.00,235.00
2012-05-29,12,130.00,30770.00,243.00,234.00,234.00
2012-06-03,5,90.00,21060.00,234.00,234.00,234.00
2012-06-04,7,70.00,16340.00,234.00,230.00,230.00
2012-06-06,5,50.00,11500.00,230.00,230.00,230.00
2012-06-07,12,120.00,27600.00,230.00,230.00,230.00
2012-06-11,2,20.00,4480.00,226.00,222.00,222.00
2012-06-12,3,5060.00,1082880.00,218.00,214.00,214.00
2012-06-13,32,363.00,76270.00,214.00,210.00,210.00
2012-06-14,9,175.00,34861.00,210.00,195.00,195.00
