Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-26,1,20.00,6480.00,324.00,324.00,324.00
2010-05-16,22,290.00,87770.00,315.00,292.00,292.00
2010-05-17,5,50.00,13850.00,287.00,267.00,267.00
2010-05-18,23,320.00,78430.00,262.00,241.00,241.00
2010-05-19,48,690.00,150330.00,237.00,217.00,217.00
2010-05-20,148,2510.00,511280.00,213.00,196.00,205.00
2010-05-23,124,1730.00,339160.00,206.00,189.00,189.00
2010-05-24,83,1240.00,229870.00,194.00,171.00,192.00
2010-05-25,50,880.00,169120.00,204.00,188.00,204.00
2010-05-26,78,1170.00,247120.00,216.00,205.00,210.00
2010-05-30,19,190.00,40680.00,216.00,214.00,216.00
2010-05-31,31,510.00,108360.00,222.00,208.00,210.00
2010-06-01,55,710.00,141420.00,206.00,197.00,197.00
2010-06-02,66,920.00,180390.00,200.00,193.00,200.00
2010-06-03,20,280.00,55860.00,202.00,196.00,199.00
2010-06-06,73,1280.00,260410.00,210.00,199.00,208.00
2010-06-07,54,600.00,123020.00,208.00,200.00,200.00
2010-06-08,41,830.00,171560.00,216.00,200.00,213.00
2010-06-09,73,1050.00,229060.00,222.00,214.00,218.00
2010-06-10,92,1360.00,294790.00,220.00,211.00,211.00
2010-06-13,86,960.00,203380.00,214.00,208.00,212.00
2010-06-14,141,1750.00,359650.00,214.00,200.00,200.00
2010-06-15,74,1120.00,226070.00,204.00,198.00,201.00
2010-06-16,6,90.00,17700.00,198.00,195.00,195.00
2010-06-17,31,400.00,78800.00,200.00,196.00,200.00
2010-06-20,40,770.00,150050.00,197.00,190.00,197.00
2010-06-21,51,650.00,132290.00,208.00,197.00,201.00
2010-06-22,3,60.00,11760.00,197.00,195.00,195.00
2010-06-23,41,710.00,142290.00,203.00,197.00,200.00
2010-06-24,21,410.00,82190.00,201.00,200.00,200.00
2010-06-28,8,120.00,23920.00,200.00,198.00,200.00
2010-06-29,8,130.00,25920.00,201.00,198.00,201.00
2010-06-30,17,280.00,55290.00,200.00,195.00,195.00
2010-07-01,16,180.00,35860.00,201.00,198.00,200.00
2010-07-04,23,350.00,69570.00,200.00,195.00,200.00
2010-07-05,9,150.00,30160.00,204.00,200.00,200.00
2010-07-06,13,190.00,37210.00,196.00,193.00,196.00
2010-07-07,21,480.00,95620.00,200.00,198.00,200.00
2010-07-08,5,100.00,19560.00,196.00,195.00,196.00
2010-07-11,2,20.00,3980.00,199.00,199.00,199.00
2010-07-12,8,130.00,26170.00,203.00,200.00,202.00
2010-07-14,5,100.00,19800.00,198.00,198.00,198.00
2010-07-15,2,40.00,8000.00,200.00,200.00,200.00
2010-07-19,21,300.00,57200.00,196.00,185.00,185.00
2010-07-20,10,320.00,59200.00,185.00,185.00,185.00
2010-07-21,5,90.00,16620.00,188.00,182.00,185.00
2010-07-22,15,150.00,28200.00,188.00,188.00,188.00
2010-07-25,9,130.00,24440.00,188.00,188.00,188.00
2010-07-26,13,130.00,24570.00,189.00,189.00,189.00
2010-07-27,8,160.00,29810.00,188.00,180.00,180.00
2010-07-28,7,110.00,19980.00,183.00,180.00,180.00
2010-07-29,5,100.00,18000.00,180.00,180.00,180.00
2010-08-01,40,470.00,83250.00,180.00,175.00,178.00
2010-08-02,9,140.00,24410.00,175.00,174.00,174.00
2010-08-03,1,20.00,3480.00,174.00,174.00,174.00
2010-08-04,6,120.00,20640.00,173.00,170.00,173.00
2010-08-05,13,200.00,33550.00,170.00,167.00,167.00
2010-08-08,6,60.00,10080.00,168.00,168.00,168.00
2010-08-09,1,20.00,3360.00,168.00,168.00,168.00
2010-08-10,19,260.00,43960.00,171.00,168.00,170.00
2010-08-11,3,40.00,6800.00,170.00,170.00,170.00
2010-08-12,8,150.00,24420.00,167.00,161.00,162.00
2010-08-15,21,330.00,53040.00,161.00,160.00,161.00
2010-08-16,28,370.00,59530.00,164.00,160.00,160.00
2010-08-17,3,30.00,4800.00,160.00,160.00,160.00
2010-08-18,12,150.00,23820.00,160.00,157.00,160.00
2010-08-19,5,50.00,7950.00,159.00,159.00,159.00
2010-08-22,35,730.00,115280.00,160.00,153.00,153.00
2010-08-23,10,130.00,19520.00,151.00,150.00,150.00
2010-08-26,20,400.00,58830.00,150.00,145.00,147.00
2010-08-29,19,380.00,56940.00,151.00,148.00,148.00
2010-08-30,17,280.00,41470.00,149.00,148.00,148.00
2010-08-31,2,60.00,8760.00,146.00,146.00,146.00
2010-09-02,7,80.00,11340.00,144.00,140.00,140.00
2010-09-05,3,40.00,5560.00,140.00,138.00,138.00
2010-09-06,2,30.00,4140.00,138.00,138.00,138.00
2010-09-07,31,1250.00,174120.00,142.00,138.00,140.00
2010-09-08,36,670.00,95900.00,152.00,142.00,152.00
2010-09-09,34,670.00,103520.00,161.00,152.00,161.00
2010-09-12,30,840.00,138650.00,170.00,162.00,170.00
2010-09-13,9,320.00,54750.00,173.00,170.00,173.00
2010-09-14,2,20.00,3470.00,175.00,172.00,172.00
2010-09-15,8,350.00,59940.00,172.00,169.00,172.00
2010-09-16,3,120.00,20330.00,170.00,169.00,170.00
2010-09-19,9,200.00,32810.00,169.00,160.00,160.00
2010-09-20,20,400.00,64000.00,160.00,160.00,160.00
2010-09-21,19,320.00,50630.00,159.00,156.00,159.00
2010-09-23,1,20.00,3180.00,159.00,159.00,159.00
2010-09-27,1,10.00,1560.00,156.00,156.00,156.00
2010-09-28,1,20.00,3100.00,155.00,155.00,155.00
2010-09-29,11,130.00,19880.00,155.00,152.00,155.00
2010-09-30,24,270.00,41490.00,156.00,150.00,153.00
2010-10-03,3,40.00,6260.00,157.00,156.00,157.00
2010-10-05,20,360.00,55760.00,156.00,154.00,155.00
2010-10-06,12,200.00,31760.00,159.00,158.00,159.00
2010-10-07,1,30.00,4860.00,162.00,162.00,162.00
2010-10-10,1,10.00,1650.00,165.00,165.00,165.00
2010-10-11,29,490.00,82080.00,168.00,165.00,168.00
2010-10-20,4,60.00,9690.00,165.00,160.00,161.00
2010-10-21,1,20.00,3220.00,161.00,161.00,161.00
2010-10-24,4,40.00,6560.00,164.00,164.00,164.00
2010-10-25,14,190.00,30760.00,164.00,161.00,162.00
2010-10-26,3,80.00,13110.00,165.00,162.00,165.00
2010-10-27,17,280.00,47510.00,173.00,166.00,173.00
2010-10-28,26,350.00,60340.00,173.00,170.00,170.00
2010-10-31,17,230.00,38660.00,169.00,166.00,166.00
2010-11-02,17,290.00,47100.00,165.00,162.00,165.00
2010-11-03,3,70.00,11340.00,162.00,162.00,162.00
2010-11-04,4,50.00,8070.00,163.00,160.00,163.00
2010-11-09,19,350.00,57680.00,166.00,163.00,166.00
2010-11-10,11,160.00,26450.00,166.00,165.00,165.00
2010-11-11,1,20.00,3300.00,165.00,165.00,165.00
2010-11-14,14,200.00,32580.00,163.00,162.00,163.00
2010-11-16,3,60.00,9600.00,160.00,160.00,160.00
2010-11-18,10,180.00,28810.00,163.00,157.00,163.00
2010-11-21,12,180.00,28400.00,163.00,156.00,156.00
2010-11-22,17,310.00,49160.00,160.00,158.00,158.00
2010-11-23,4,80.00,12440.00,157.00,155.00,157.00
2010-11-24,42,660.00,101430.00,155.00,152.00,154.00
2010-11-25,31,600.00,91900.00,155.00,151.00,152.00
2010-11-28,30,440.00,67730.00,156.00,151.00,156.00
2010-11-29,26,490.00,75170.00,156.00,152.00,156.00
2010-11-30,2,20.00,3060.00,153.00,153.00,153.00
2010-12-01,10,210.00,32090.00,153.00,152.00,153.00
2010-12-02,9,110.00,16750.00,153.00,152.00,153.00
2010-12-05,14,380.00,57810.00,154.00,151.00,154.00
2010-12-06,5,70.00,10900.00,157.00,154.00,157.00
2010-12-08,12,180.00,27440.00,155.00,150.00,155.00
2010-12-09,1,30.00,4590.00,153.00,153.00,153.00
2010-12-12,25,300.00,45150.00,153.00,150.00,150.00
2010-12-13,1,10.00,1530.00,153.00,153.00,153.00
2010-12-14,22,240.00,36560.00,154.00,151.00,153.00
2010-12-15,3,70.00,10530.00,153.00,150.00,150.00
2010-12-16,1,20.00,2940.00,147.00,147.00,147.00
2010-12-19,12,220.00,31880.00,146.00,144.00,146.00
2010-12-20,31,500.00,73700.00,148.00,146.00,147.00
2010-12-22,46,840.00,124430.00,150.00,146.00,148.00
2010-12-23,47,620.00,92810.00,151.00,148.00,150.00
2010-12-26,8,80.00,12200.00,153.00,152.00,153.00
2010-12-27,36,540.00,83170.00,156.00,153.00,156.00
2010-12-28,30,400.00,62600.00,158.00,155.00,155.00
2010-12-29,18,210.00,31320.00,152.00,149.00,149.00
2011-01-02,11,170.00,25420.00,151.00,149.00,149.00
2011-01-03,1,20.00,2940.00,147.00,147.00,147.00
2011-01-04,5,100.00,14540.00,148.00,143.00,143.00
2011-01-05,1,20.00,2820.00,141.00,141.00,141.00
2011-01-06,3,40.00,5640.00,141.00,141.00,141.00
2011-01-09,37,530.00,73980.00,140.00,138.00,139.00
2011-01-10,5,50.00,6850.00,137.00,137.00,137.00
2011-01-11,25,370.00,50200.00,137.00,135.00,135.00
2011-01-12,10,150.00,19650.00,133.00,129.00,133.00
2011-01-13,2,40.00,5200.00,131.00,129.00,129.00
2011-01-16,12,220.00,28920.00,132.00,130.00,132.00
2011-01-17,13,190.00,25220.00,134.00,132.00,134.00
2011-01-18,3,60.00,7980.00,133.00,133.00,133.00
2011-01-19,1,20.00,2660.00,133.00,133.00,133.00
2011-01-20,7,150.00,20230.00,135.00,133.00,135.00
2011-01-23,2,40.00,5520.00,139.00,137.00,139.00
2011-01-24,4,80.00,11200.00,140.00,140.00,140.00
2011-01-31,1,30.00,4200.00,140.00,140.00,140.00
2011-02-01,3,30.00,4200.00,140.00,140.00,140.00
2011-02-02,3,60.00,8500.00,143.00,141.00,143.00
2011-02-03,14,220.00,31200.00,143.00,141.00,141.00
2011-02-06,5,80.00,11400.00,143.00,142.00,142.00
2011-02-07,10,210.00,29560.00,142.00,140.00,140.00
2011-02-08,5,110.00,15400.00,140.00,140.00,140.00
2011-02-09,2,20.00,2820.00,141.00,141.00,141.00
2011-02-10,3,50.00,7040.00,141.00,140.00,141.00
2011-02-13,7,110.00,15670.00,143.00,141.00,141.00
2011-02-14,1,30.00,4230.00,141.00,141.00,141.00
2011-02-15,1,30.00,4230.00,141.00,141.00,141.00
2011-02-16,17,200.00,28540.00,143.00,141.00,141.00
2011-02-17,5,60.00,8310.00,139.00,138.00,138.00
2011-02-20,2,30.00,4140.00,138.00,138.00,138.00
2011-02-21,4,90.00,12500.00,140.00,138.00,140.00
2011-02-22,9,160.00,22410.00,141.00,140.00,140.00
2011-02-23,37,440.00,62320.00,143.00,139.00,140.00
2011-02-24,3,60.00,8510.00,142.00,141.00,142.00
2011-02-27,5,120.00,17120.00,145.00,141.00,143.00
2011-02-28,11,130.00,18460.00,143.00,141.00,141.00
2011-03-01,22,410.00,56060.00,140.00,136.00,136.00
2011-03-03,1,20.00,2680.00,134.00,134.00,134.00
2011-03-07,38,720.00,97280.00,137.00,132.00,137.00
2011-03-09,30,560.00,79420.00,146.00,136.00,145.00
2011-03-10,74,1220.00,178590.00,149.00,145.00,146.00
2011-03-13,68,1180.00,167600.00,146.00,138.00,138.00
2011-03-14,55,650.00,89680.00,140.00,135.00,135.00
2011-03-15,61,950.00,128880.00,137.00,131.00,134.00
2011-03-16,37,870.00,114780.00,135.00,121.00,121.00
2011-03-17,84,1140.00,132730.00,122.00,111.00,116.00
