Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,60,1130.00,180560.00,163.00,157.00,160.00
2010-04-19,67,1190.00,187780.00,162.00,156.00,158.00
2010-04-20,61,1630.00,254080.00,159.00,154.00,156.00
2010-04-21,73,1140.00,171490.00,155.00,142.00,142.00
2010-04-22,140,2440.00,331270.00,144.00,128.00,132.00
2010-04-25,123,4590.00,611630.00,134.00,130.00,132.00
2010-04-26,87,3540.00,462880.00,132.00,129.00,130.00
2010-04-27,26,1380.00,180880.00,132.00,130.00,132.00
2010-04-28,28,740.00,95560.00,132.00,127.00,127.00
2010-04-29,4,130.00,16890.00,132.00,129.00,132.00
2010-05-09,53,1560.00,206230.00,134.00,128.00,131.00
2010-05-10,51,920.00,122760.00,138.00,129.00,136.00
2010-05-11,27,430.00,57760.00,136.00,133.00,136.00
2010-05-12,21,610.00,83460.00,140.00,132.00,140.00
2010-05-13,15,150.00,21300.00,142.00,142.00,142.00
2010-05-16,16,450.00,63000.00,142.00,138.00,140.00
2010-05-17,45,1350.00,192810.00,143.00,141.00,142.00
2010-05-18,8,180.00,25360.00,144.00,140.00,144.00
2010-05-19,2,60.00,8820.00,148.00,146.00,148.00
2010-05-20,15,860.00,129440.00,153.00,148.00,153.00
2010-05-23,3,120.00,18300.00,155.00,152.00,152.00
2010-05-24,18,1000.00,146060.00,149.00,145.00,149.00
2010-05-25,12,250.00,37520.00,154.00,147.00,154.00
2010-05-26,7,190.00,29940.00,163.00,156.00,163.00
2010-05-31,8,160.00,27010.00,172.00,166.00,172.00
2010-06-01,1,20.00,3380.00,169.00,169.00,169.00
2010-06-02,16,610.00,99700.00,167.00,160.00,160.00
2010-06-03,40,990.00,157400.00,161.00,157.00,160.00
2010-06-06,12,240.00,38210.00,160.00,159.00,159.00
2010-06-07,11,280.00,43780.00,160.00,154.00,154.00
2010-06-08,9,340.00,51710.00,157.00,150.00,154.00
2010-06-09,3,60.00,9180.00,153.00,153.00,153.00
2010-06-10,15,550.00,83540.00,154.00,151.00,151.00
2010-06-13,64,1600.00,245390.00,154.00,151.00,151.00
2010-06-14,21,490.00,74240.00,154.00,150.00,154.00
2010-06-15,26,780.00,116900.00,152.00,147.00,147.00
2010-06-16,4,90.00,13120.00,146.00,145.00,146.00
2010-06-17,23,740.00,103660.00,144.00,138.00,140.00
2010-06-20,4,90.00,12480.00,139.00,138.00,138.00
2010-06-21,13,570.00,78380.00,139.00,137.00,138.00
2010-06-22,5,480.00,65940.00,138.00,137.00,137.00
2010-06-23,25,340.00,48290.00,145.00,139.00,144.00
2010-06-24,15,720.00,106030.00,150.00,146.00,147.00
2010-06-28,19,590.00,87020.00,148.00,147.00,147.00
2010-06-29,19,1030.00,148190.00,146.00,143.00,146.00
2010-06-30,9,110.00,15870.00,145.00,144.00,144.00
2010-07-01,23,840.00,124460.00,150.00,146.00,148.00
2010-07-04,3,80.00,11840.00,148.00,148.00,148.00
2010-07-05,46,990.00,149630.00,155.00,146.00,155.00
2010-07-06,5,120.00,19090.00,160.00,158.00,159.00
