Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-07-29,3,5980.00,1082380.00,181.00,181.00,181.00
2010-08-02,3,63423.00,11479563.00,181.00,181.00,181.00
2010-10-27,7,4386.00,789480.00,180.00,180.00,180.00
2011-06-20,5,500.00,85500.00,177.00,165.00,165.00
2011-06-21,3,300.00,46200.00,157.00,151.00,151.00
2011-06-23,1,100.00,14800.00,148.00,148.00,148.00
2011-06-26,1,100.00,14100.00,141.00,141.00,141.00
2011-07-04,1,100.00,13900.00,139.00,139.00,139.00
2011-07-05,5,80400.00,10453600.00,137.00,130.00,130.00
2011-08-18,2,92500.00,12025000.00,130.00,130.00,130.00
2013-01-02,1,5512.00,716560.00,130.00,130.00,130.00
2013-07-23,1,18815.00,2408320.00,128.00,128.00,128.00
2013-09-25,2,50000.00,6300000.00,126.00,126.00,126.00
2015-01-25,1,500.00,62000.00,124.00,124.00,124.00
