Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-29,4,40.00,7500.00,192.00,183.00,192.00
2010-05-12,7,260.00,49600.00,205.00,189.00,205.00
2010-05-13,4,60.00,13120.00,225.00,215.00,225.00
2010-05-16,2,40.00,9440.00,239.00,235.00,239.00
2010-05-17,1,10.00,2430.00,243.00,243.00,243.00
2010-05-18,1,10.00,2460.00,246.00,246.00,246.00
2010-05-20,2,20.00,4970.00,250.00,247.00,250.00
2010-05-23,1,20.00,5080.00,254.00,254.00,254.00
2010-05-30,3,400.00,99600.00,249.00,249.00,249.00
2010-05-31,1,300.00,75000.00,250.00,250.00,250.00
2010-06-01,1,63657.00,15850593.00,249.00,249.00,249.00
2010-06-13,3,158.00,38630.00,245.00,241.00,241.00
2010-06-16,3,2270.00,537990.00,237.00,237.00,237.00
2010-07-18,1,22.00,5126.00,233.00,233.00,233.00
2010-08-29,2,321.00,72329.00,229.00,225.00,225.00
2011-01-03,2,92.00,20700.00,225.00,225.00,225.00
2011-01-04,3,536.00,116896.00,221.00,217.00,217.00
2011-01-05,3,164.00,35276.00,221.00,213.00,213.00
2011-01-06,2,30.00,6230.00,209.00,205.00,205.00
2011-03-24,2,20.00,4220.00,213.00,209.00,213.00
2011-03-28,2,20.00,4380.00,221.00,217.00,221.00
2011-04-07,1,10.00,2250.00,225.00,225.00,225.00
2011-04-28,1,10.00,2290.00,229.00,229.00,229.00
2011-05-11,4,46368.00,10767218.00,236.00,225.00,236.00
2011-05-12,2,50100.00,11423200.00,232.00,228.00,228.00
2011-05-19,2,40100.00,8822400.00,224.00,220.00,220.00
2011-10-13,2,714.00,151408.00,216.00,212.00,212.00
2012-01-26,2,78.00,16072.00,208.00,204.00,204.00
2012-09-23,3,210.00,42000.00,204.00,196.00,196.00
2013-03-19,1,116.00,22388.00,193.00,193.00,193.00
2013-07-22,2,3839.00,721457.00,190.00,187.00,187.00
2013-07-30,7,3260.00,551390.00,184.00,169.00,169.00
2013-09-17,1,38.00,6422.00,169.00,169.00,169.00
2013-09-30,2,1005.00,163845.00,166.00,163.00,163.00
2013-10-21,1,58.00,9280.00,160.00,160.00,160.00
2014-04-28,2,21.00,3264.00,157.00,154.00,154.00
2014-04-29,8,220.00,31325.00,151.00,139.00,139.00
2014-04-30,6,200.00,26732.00,137.00,127.00,127.00
2014-05-04,5,132.00,15972.00,125.00,117.00,117.00
2014-05-05,5,122.00,13506.00,115.00,107.00,107.00
2014-05-06,15,3742.00,411868.00,113.00,108.00,111.00
2014-05-07,12,2267.00,261058.00,122.00,110.00,122.00
2014-05-08,16,2241.00,289138.00,134.00,122.00,132.00
2014-05-11,14,955.00,136508.00,145.00,134.00,145.00
2014-05-12,22,2526.00,376277.00,159.00,141.00,145.00
2014-05-13,8,649.00,89757.00,143.00,135.00,135.00
2014-05-15,10,1510.00,202067.00,136.00,133.00,135.00
2014-05-18,12,2099.00,286785.00,139.00,135.00,135.00
