Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-05-19,1,65.00,12220.00,188.00,188.00,188.00
2010-06-01,1,50.00,9500.00,190.00,190.00,190.00
2010-06-24,8,450.00,79500.00,187.00,171.00,171.00
2010-06-28,6,300.00,48200.00,168.00,154.00,154.00
2010-06-29,2,100.00,15100.00,151.00,151.00,151.00
2010-06-30,1,50.00,7400.00,148.00,148.00,148.00
2010-07-01,4,400.00,58400.00,146.00,146.00,146.00
2010-07-05,1,100.00,14400.00,144.00,144.00,144.00
2010-11-21,1,50.00,7100.00,142.00,142.00,142.00
2010-12-06,6,1800.00,255600.00,142.00,142.00,142.00
2010-12-23,2,96645.00,13531278.00,142.00,140.00,140.00
2011-04-10,1,200.00,28000.00,140.00,140.00,140.00
2011-05-10,4,266.00,36708.00,138.00,138.00,138.00
2011-09-20,1,200.00,28000.00,140.00,140.00,140.00
2012-01-08,1,10.00,1380.00,138.00,138.00,138.00
2012-01-11,1,400.00,54400.00,136.00,136.00,136.00
2012-01-16,1,800.00,107200.00,134.00,134.00,134.00
2012-01-22,1,20.00,2640.00,132.00,132.00,132.00
2012-03-25,1,10.00,1180.00,118.00,118.00,118.00
2013-05-20,1,10.00,1160.00,116.00,116.00,116.00
2013-05-23,1,489.00,55746.00,114.00,114.00,114.00
2013-05-26,1,10.00,1160.00,116.00,116.00,116.00
2013-05-28,6,66.00,7222.00,114.00,105.00,105.00
2013-06-13,3,30.00,3030.00,103.00,99.00,99.00
2013-06-26,9,250.00,24050.00,98.00,92.00,92.00
2013-06-27,9,512.00,44487.00,91.00,83.00,83.00
2013-07-01,1,20.00,1640.00,82.00,82.00,82.00
2013-07-11,5,50.00,3950.00,81.00,77.00,77.00
2013-07-15,3,115.00,8740.00,76.00,76.00,76.00
2013-07-17,1,100.00,7300.00,73.00,73.00,73.00
2013-07-18,1,10.00,720.00,72.00,72.00,72.00
2013-07-21,1,20.00,1440.00,72.00,72.00,72.00
2013-07-22,2,32.00,2260.00,71.00,70.00,70.00
2013-07-25,32,108561.00,7053612.00,69.00,63.00,63.00
2013-07-28,5,274.00,17162.00,63.00,62.00,63.00
2013-08-04,1,400.00,24800.00,62.00,62.00,62.00
2013-08-05,2,520.00,31720.00,61.00,61.00,61.00
2013-08-08,1,480.00,28800.00,60.00,60.00,60.00
2013-08-12,1,120.00,7080.00,59.00,59.00,59.00
