Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-10-27,21,14607.00,1987564.00,145.00,132.00,145.00
2013-10-28,39,8780.00,1361355.00,159.00,147.00,156.00
2013-10-29,21,3789.00,570102.00,155.00,148.00,150.00
2013-10-30,5,2197.00,331045.00,151.00,150.00,151.00
2013-10-31,9,3048.00,454067.00,150.00,148.00,150.00
2013-11-06,4,1471.00,216800.00,150.00,147.00,147.00
2013-11-07,5,2103.00,309011.00,149.00,145.00,148.00
2013-11-10,16,9018.00,1415275.00,159.00,150.00,158.00
2013-11-11,13,4127.00,697029.00,173.00,161.00,173.00
2013-11-12,51,15868.00,2959866.00,190.00,175.00,190.00
2013-11-13,43,14547.00,2844145.00,201.00,188.00,200.00
2013-11-14,32,7716.00,1523432.00,200.00,193.00,195.00
2013-11-21,2,236.00,47082.00,201.00,198.00,201.00
2013-11-24,9,951.00,197220.00,216.00,205.00,216.00
2013-11-25,23,5056.00,1083440.00,220.00,212.00,219.00
2013-11-26,25,3424.00,727889.00,216.00,202.00,202.00
2013-11-27,5,617.00,128770.00,210.00,206.00,210.00
2013-11-28,9,2370.00,475395.00,206.00,199.00,202.00
2013-12-01,7,2531.00,497617.00,202.00,193.00,193.00
2013-12-02,21,3617.00,712248.00,204.00,190.00,201.00
2013-12-03,16,9854.00,2139275.00,221.00,203.00,221.00
2013-12-04,10,2226.00,529698.00,243.00,225.00,243.00
2013-12-05,30,10702.00,2776678.00,267.00,247.00,260.00
2013-12-08,22,8333.00,2088057.00,265.00,234.00,234.00
2013-12-09,27,12465.00,2836585.00,233.00,218.00,230.00
2013-12-10,8,2245.00,507862.00,230.00,223.00,223.00
2013-12-11,24,19203.00,4608266.00,245.00,223.00,245.00
2013-12-12,25,8608.00,2097795.00,250.00,241.00,242.00
2013-12-15,19,5799.00,1412483.00,255.00,240.00,255.00
2013-12-16,1,20.00,5200.00,260.00,260.00,260.00
2013-12-18,1,300.00,79500.00,265.00,265.00,265.00
2013-12-19,25,11718.00,3216891.00,285.00,270.00,285.00
2013-12-22,22,6256.00,1648040.00,280.00,257.00,261.00
2013-12-23,7,2235.00,566360.00,256.00,246.00,246.00
2013-12-24,16,3586.00,834166.00,242.00,222.00,225.00
2013-12-26,2,163.00,37727.00,233.00,229.00,233.00
2013-12-29,5,2605.00,606633.00,235.00,230.00,235.00
2013-12-31,16,4138.00,1016246.00,253.00,239.00,249.00
2014-01-01,24,5383.00,1330033.00,253.00,241.00,241.00
2014-01-02,11,1962.00,477861.00,249.00,240.00,240.00
2014-01-05,24,18981.00,4733988.00,255.00,241.00,245.00
2014-01-06,9,2585.00,684127.00,268.00,260.00,263.00
2014-01-07,11,2226.00,573691.00,260.00,254.00,259.00
2014-01-08,6,917.00,234375.00,257.00,255.00,257.00
2014-01-09,6,1706.00,433288.00,257.00,252.00,257.00
2014-01-12,4,1029.00,258683.00,257.00,247.00,247.00
2014-01-13,19,9327.00,2351127.00,256.00,246.00,255.00
2014-01-14,11,3162.00,802524.00,256.00,251.00,256.00
2014-01-16,5,2067.00,522258.00,255.00,250.00,250.00
2014-01-19,5,2764.00,703835.00,255.00,250.00,255.00
2014-01-20,14,3194.00,828549.00,265.00,255.00,265.00
2014-01-21,5,839.00,219272.00,265.00,260.00,260.00
2014-01-22,6,621.00,154117.00,255.00,246.00,246.00
2014-01-23,5,2929.00,732134.00,253.00,249.00,250.00
2014-01-26,7,3105.00,784270.00,260.00,250.00,255.00
2014-01-27,12,3384.00,838233.00,250.00,246.00,247.00
2014-01-28,21,4221.00,1065153.00,256.00,250.00,255.00
2014-01-29,7,956.00,240405.00,256.00,250.00,256.00
2014-02-02,3,306.00,77535.00,254.00,250.00,250.00
2014-02-03,15,6558.00,1621092.00,253.00,245.00,245.00
2014-02-04,5,2268.00,553346.00,248.00,243.00,248.00
2014-02-05,1,150.00,37200.00,248.00,248.00,248.00
2014-02-06,11,3447.00,860935.00,258.00,246.00,258.00
2014-02-09,31,8140.00,2150485.00,270.00,259.00,269.00
2014-02-10,12,4942.00,1334673.00,275.00,267.00,268.00
2014-02-11,14,36404.00,9835379.00,278.00,265.00,265.00
2014-02-12,10,3065.00,838714.00,275.00,270.00,273.00
2014-02-13,18,3883.00,1064626.00,275.00,270.00,275.00
2014-02-16,12,3740.00,1014504.00,280.00,266.00,270.00
2014-02-17,3,657.00,168520.00,265.00,255.00,255.00
2014-02-18,6,2262.00,583565.00,260.00,255.00,255.00
2014-02-20,1,200.00,52000.00,260.00,260.00,260.00
2014-02-23,9,4899.00,1295267.00,270.00,260.00,266.00
2014-02-24,2,388.00,104538.00,271.00,269.00,269.00
2014-02-25,5,2467.00,649764.00,267.00,260.00,266.00
2014-02-26,2,527.00,137628.00,264.00,261.00,261.00
2014-03-03,9,2600.00,669521.00,262.00,251.00,251.00
2014-03-04,4,921.00,225395.00,247.00,242.00,242.00
2014-03-05,6,660.00,162338.00,250.00,242.00,247.00
2014-03-06,7,2975.00,774147.00,266.00,250.00,266.00
2014-03-09,7,4203.00,1098986.00,265.00,260.00,262.00
2014-03-10,11,2627.00,676825.00,260.00,255.00,255.00
2014-03-11,1,27.00,6750.00,250.00,250.00,250.00
2014-03-12,7,1321.00,320874.00,250.00,240.00,240.00
2014-03-13,3,851.00,206444.00,248.00,240.00,248.00
2014-03-18,2,1223.00,293612.00,244.00,240.00,240.00
2014-03-20,1,40.00,9560.00,239.00,239.00,239.00
2014-03-23,9,3365.00,807478.00,243.00,236.00,236.00
2014-03-24,1,250.00,60000.00,240.00,240.00,240.00
2014-03-25,10,1232.00,301751.00,248.00,244.00,245.00
2014-03-26,6,2355.00,572962.00,249.00,241.00,248.00
2014-03-27,10,2615.00,640020.00,248.00,242.00,246.00
2014-03-31,4,960.00,235424.00,247.00,243.00,247.00
2014-04-01,7,621.00,152969.00,248.00,245.00,248.00
2014-04-02,3,890.00,220662.00,249.00,247.00,247.00
2014-04-03,3,1000.00,244149.00,245.00,240.00,240.00
