Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2011-04-21,1,10.00,3160.00,316.00,316.00,316.00
2011-07-07,1,40.00,12040.00,301.00,301.00,301.00
2011-07-10,2,40.00,11800.00,295.00,295.00,295.00
2011-07-11,1,40.00,11240.00,281.00,281.00,281.00
2011-07-12,2,40.00,10680.00,267.00,267.00,267.00
2011-07-14,1,40.00,10160.00,254.00,254.00,254.00
2011-08-03,20,200.00,49800.00,249.00,249.00,249.00
2011-09-29,20,200.00,47360.00,245.00,225.00,225.00
2011-10-31,18,500.00,105600.00,214.00,210.00,210.00
2011-11-06,48,960.00,201600.00,210.00,210.00,210.00
2011-11-08,15,450.00,94500.00,210.00,210.00,210.00
2011-11-10,19,510.00,103060.00,206.00,202.00,202.00
2011-11-13,59,1180.00,238360.00,202.00,202.00,202.00
2011-11-14,13,250.00,48000.00,192.00,192.00,192.00
2011-11-16,1,10.00,1830.00,183.00,183.00,183.00
2011-11-21,3,30.00,5130.00,174.00,168.00,168.00
2011-11-24,2,20.00,3270.00,165.00,162.00,162.00
2011-12-11,5,90.00,13440.00,154.00,146.00,146.00
2011-12-12,4,70.00,9840.00,144.00,138.00,138.00
2011-12-13,6,60.00,7660.00,132.00,125.00,125.00
2011-12-14,28,420.00,47765.00,119.00,112.50,113.00
2011-12-15,240,4130.00,421600.00,108.00,102.00,102.00
2011-12-18,13,460.00,43440.00,100.00,92.00,92.00
2011-12-19,87,1530.00,133190.00,91.00,83.00,83.00
2011-12-20,3,50.00,4030.00,82.00,80.00,80.00
2011-12-21,17,220.00,17760.00,81.00,80.00,80.00
2011-12-22,36,1120.00,86650.00,79.00,76.00,76.00
2011-12-26,3,110.00,8250.00,75.00,75.00,75.00
2011-12-27,48,480.00,35780.00,75.00,73.00,75.00
2011-12-28,5,210.00,15530.00,74.00,73.00,73.00
2011-12-29,65,710.00,48780.00,72.00,66.00,67.00
2012-01-01,35,540.00,33980.00,66.00,61.00,63.00
2012-01-02,130,1970.00,125850.00,64.00,62.00,64.00
2012-01-03,86,1360.00,87820.00,66.00,63.00,64.00
2012-01-04,109,1230.00,77750.00,65.00,62.00,63.00
2012-01-05,80,1080.00,69330.00,65.00,64.00,64.00
2012-01-08,67,780.00,54030.00,70.00,65.00,70.00
2012-01-09,112,1230.00,88400.00,74.00,70.00,73.00
2012-01-10,55,790.00,58620.00,75.00,73.00,74.00
2012-01-11,37,600.00,44980.00,75.00,74.00,75.00
2012-01-12,62,930.00,70940.00,77.00,75.00,76.00
2012-01-16,30,400.00,30140.00,76.00,75.00,75.00
2012-01-17,14,240.00,17920.00,76.00,74.00,75.00
2012-01-18,73,770.00,58750.00,77.00,75.00,77.00
2012-01-22,23,470.00,35380.00,77.00,75.00,75.00
2012-01-23,55,870.00,66790.00,78.00,75.00,76.00
2012-01-25,149,1830.00,142520.00,83.00,76.00,76.00
2012-01-26,73,1320.00,99440.00,77.00,72.00,73.00
2012-01-29,129,2350.00,171540.00,74.00,72.00,73.00
2012-01-31,42,930.00,65200.00,74.00,68.00,70.00
2012-02-01,110,1390.00,97980.00,73.00,70.00,72.00
2012-02-02,135,1990.00,146440.00,74.00,72.00,74.00
2012-02-05,26,300.00,22020.00,74.00,73.00,74.00
2012-02-06,1,30.00,2250.00,75.00,75.00,75.00
2012-02-07,27,810.00,61530.00,76.00,75.00,76.00
2012-02-08,23,610.00,45260.00,76.00,74.00,74.00
2012-02-09,40,510.00,37230.00,73.00,73.00,73.00
2012-02-12,8,180.00,13220.00,74.00,73.00,73.00
2012-02-13,124,1900.00,139200.00,74.00,72.00,72.00
2012-02-14,40,420.00,29620.00,72.00,69.00,71.00
2012-02-15,76,1480.00,105070.00,71.00,70.00,71.00
2012-02-16,19,310.00,22050.00,72.00,71.00,71.00
2012-02-21,86,2090.00,150370.00,73.00,70.00,71.00
2012-02-23,103,1030.00,73950.00,73.00,70.00,72.00
2012-02-26,7,80.00,5600.00,71.00,69.00,69.00
2012-02-27,36,630.00,44010.00,70.00,68.00,68.00
2012-02-29,61,1530.00,110470.00,73.00,69.00,73.00
2012-03-04,46,480.00,35590.00,75.00,74.00,74.00
2012-03-05,4,160.00,11970.00,75.00,74.00,75.00
2012-03-06,60,1330.00,95170.00,74.00,71.00,71.00
2012-03-12,34,400.00,27490.00,70.00,68.00,69.00
2012-03-13,17,390.00,27210.00,70.00,69.00,69.00
2012-03-14,45,540.00,38560.00,73.00,70.00,73.00
2012-03-19,6,160.00,11070.00,70.00,68.00,68.00
2012-03-20,24,260.00,17740.00,69.00,68.00,68.00
2012-03-25,1,10.00,690.00,69.00,69.00,69.00
2012-03-26,4,140.00,9850.00,71.00,70.00,71.00
2012-03-27,31,530.00,37660.00,72.00,69.00,69.00
2012-03-28,26,340.00,23750.00,70.00,69.00,70.00
2012-03-29,9,90.00,6330.00,71.00,70.00,70.00
2012-04-01,11,220.00,15700.00,72.00,71.00,72.00
2012-04-02,36,420.00,29230.00,73.00,69.00,69.00
2012-04-03,2,60.00,4200.00,70.00,70.00,70.00
2012-04-04,2,490.00,34300.00,70.00,70.00,70.00
2012-04-05,8,900.00,63900.00,71.00,71.00,71.00
2012-04-08,16,160.00,11360.00,71.00,71.00,71.00
2012-04-09,35,630.00,45610.00,73.00,72.00,72.00
2012-04-10,43,430.00,30960.00,72.00,72.00,72.00
2012-04-15,5,110.00,8180.00,75.00,73.00,75.00
2012-04-16,2,60.00,4560.00,76.00,76.00,76.00
2012-04-17,1,40.00,3080.00,77.00,77.00,77.00
2012-04-18,1,10.00,780.00,78.00,78.00,78.00
2012-04-22,12,150.00,11550.00,77.00,77.00,77.00
2012-04-24,2,100.00,7850.00,79.00,78.00,79.00
2012-04-25,3,70.00,5600.00,80.00,80.00,80.00
2012-04-26,6,220.00,18250.00,85.00,81.00,85.00
2012-04-29,2,80.00,6880.00,86.00,86.00,86.00
