Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-06-30,3,300.00,41400.00,138.00,138.00,138.00
2010-09-28,1,100.00,13800.00,138.00,138.00,138.00
2010-10-28,4,350.00,50200.00,146.00,140.00,146.00
2010-10-31,8,116930.00,17539400.00,150.00,148.00,150.00
2011-09-01,6,4800.00,622200.00,135.00,125.00,125.00
2011-09-04,5,3650.00,438750.00,123.00,115.00,115.00
2011-11-03,2,163180.00,18655700.00,115.00,113.00,113.00
2011-11-10,3,44720.00,4843320.00,111.00,107.00,107.00
2011-11-28,5,14500.00,1437000.00,105.00,98.00,98.00
2011-12-19,2,142480.00,13963040.00,98.00,98.00,98.00
2012-01-17,1,167000.00,16533000.00,99.00,99.00,99.00
2012-02-06,3,5000.00,500000.00,100.00,100.00,100.00
2012-02-08,2,8920.00,909840.00,102.00,102.00,102.00
2012-02-16,1,20000.00,2080000.00,104.00,104.00,104.00
2012-03-11,1,10000.00,1060000.00,106.00,106.00,106.00
2014-07-16,9,900.00,94500.00,105.00,105.00,105.00
2014-07-22,2,2000.00,210000.00,105.00,105.00,105.00
2014-08-13,1,100.00,10500.00,105.00,105.00,105.00
2014-08-24,1,100.00,10500.00,105.00,105.00,105.00
2014-09-21,2,250.00,26250.00,105.00,105.00,105.00
