Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2015-01-05,1,126262.00,12626200.00,0.00,0.00,100.00
2015-01-08,3,285854.00,40019560.00,140.00,140.00,140.00
2015-01-11,3,153819.00,16150995.00,0.00,0.00,105.00
2015-01-12,1,73958.00,10206204.00,138.00,138.00,138.00
2015-01-19,3,6000.00,800000.00,136.00,132.00,132.00
2015-01-20,3,23193.00,2873546.00,126.00,122.00,122.00
2015-01-22,3,9000.00,1022000.00,116.00,112.00,112.00
2015-01-25,3,21000.00,2209000.00,107.00,103.00,103.00
2015-01-26,2,35686.00,3577793.00,101.00,100.00,100.00
2015-01-27,4,2228456.00,222845600.00,100.00,100.00,100.00
2015-02-22,1,43790.00,5035850.00,0.00,0.00,115.00
2015-02-26,5,126774.00,13365868.00,110.00,102.00,110.00
2015-03-01,4,22036.00,2531638.00,118.00,112.00,118.00
2015-03-02,2,25000.00,3030000.00,122.00,120.00,122.00
2015-03-04,5,70386.00,9039794.00,132.00,124.00,132.00
2015-03-09,2,13000.00,1760000.00,136.00,134.00,136.00
