Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2011-08-11,1,10.00,3950.00,395.00,395.00,395.00
2011-08-15,3,30.00,11430.00,388.00,374.00,374.00
2011-08-17,3,30.00,10800.00,367.00,353.00,353.00
2011-08-18,3,30.00,10200.00,346.00,334.00,334.00
2012-01-09,2,30.00,9720.00,328.00,322.00,322.00
2012-01-23,1,10.00,3160.00,316.00,316.00,316.00
2012-01-29,1,10.00,3100.00,310.00,310.00,310.00
2012-01-31,1,10.00,3040.00,304.00,304.00,304.00
2012-02-02,5,150.00,42300.00,289.00,279.00,279.00
2012-02-05,2,60.00,16290.00,274.00,269.00,269.00
2012-02-08,2,60.00,15210.00,256.00,251.00,251.00
2012-02-09,2,50.00,12220.00,246.00,242.00,242.00
2012-02-14,3,50.00,11340.00,230.00,222.00,222.00
2012-02-16,1,10.00,2180.00,218.00,218.00,218.00
2012-03-01,2,20.00,4240.00,214.00,210.00,210.00
2012-03-11,26,760.00,156560.00,206.00,206.00,206.00
2012-03-19,22,450.00,77760.00,183.00,168.00,168.00
2012-03-29,8,180.00,28160.00,165.00,152.00,152.00
2012-04-02,15,500.00,73500.00,147.00,147.00,147.00
2012-04-03,10,330.00,48510.00,147.00,147.00,147.00
2012-04-09,2,40.00,5560.00,140.00,138.00,138.00
2012-04-11,6,80.00,10370.00,132.00,125.00,125.00
2012-04-12,4,40.00,4860.00,123.00,119.00,119.00
2012-04-15,4,50.00,5670.00,117.00,111.00,111.00
2012-04-17,2,20.00,2160.00,109.00,107.00,107.00
2012-04-18,3,50.00,5130.00,105.00,101.00,101.00
2012-04-19,24,430.00,42030.00,99.00,91.00,91.00
2012-04-22,120,4190.00,379820.00,93.00,86.00,92.00
2012-04-24,9,290.00,26990.00,95.00,92.00,95.00
2012-04-25,10,250.00,25320.00,104.00,99.00,104.00
2012-04-26,23,1380.00,141580.00,104.00,100.00,102.00
2012-04-29,15,450.00,44350.00,100.00,97.00,98.00
2012-04-30,3,100.00,9560.00,97.00,95.00,95.00
2012-05-02,13,300.00,27740.00,94.00,88.00,88.00
2012-05-03,22,470.00,42220.00,90.00,89.00,90.00
2012-05-07,11,240.00,21840.00,91.00,91.00,91.00
2012-05-08,2,100.00,9200.00,92.00,92.00,92.00
2012-05-09,47,1369.00,122861.00,91.00,88.00,90.00
2012-05-10,146,3500.00,309340.00,90.00,87.00,88.00
2012-05-13,60,1390.00,121980.00,89.00,87.00,88.00
2012-05-14,70,1510.00,127340.00,87.00,83.00,83.00
2012-05-15,8,220.00,18910.00,87.00,84.00,87.00
2012-05-16,1,20.00,1720.00,86.00,86.00,86.00
2012-05-20,78,2300.00,189560.00,85.00,80.00,81.00
2012-05-21,85,3320.00,262890.00,81.00,78.00,80.00
2012-05-22,76,3070.00,236880.00,79.00,76.00,78.00
2012-05-23,74,1780.00,136560.00,77.00,75.00,76.00
2012-05-24,49,1430.00,107780.00,78.00,75.00,78.00
2012-05-27,1,30.00,2310.00,77.00,77.00,77.00
2012-05-29,54,1440.00,107800.00,76.00,73.00,73.00
2012-05-30,135,3960.00,272570.00,71.00,67.00,71.00
2012-05-31,135,3630.00,251750.00,72.00,67.00,68.00
2012-06-03,22,740.00,52990.00,74.00,67.00,74.00
2012-06-04,60,1430.00,102240.00,75.00,69.00,70.00
2012-06-05,109,2610.00,182890.00,73.00,68.00,73.00
2012-06-06,191,4880.00,353500.00,74.00,70.00,73.00
2012-06-07,155,4950.00,364290.00,76.00,72.00,73.00
2012-06-10,111,2750.00,193960.00,73.00,67.00,71.00
2012-06-11,58,1420.00,104090.00,75.00,70.00,75.00
2012-06-12,77,2050.00,146860.00,74.00,69.00,73.00
2012-06-13,122,3150.00,229590.00,75.00,71.00,73.00
2012-06-14,76,3470.00,247130.00,73.00,70.00,71.00
2012-06-17,81,1960.00,138780.00,73.00,70.00,73.00
2012-06-18,68,1770.00,129390.00,74.00,72.00,73.00
2012-06-19,60,1280.00,93870.00,74.00,72.00,74.00
2012-06-20,44,1020.00,74720.00,74.00,72.00,74.00
2012-06-21,124,2970.00,215300.00,74.00,71.00,72.00
2012-06-25,43,1160.00,84820.00,74.00,72.00,72.00
2012-06-26,95,3470.00,256890.00,75.00,73.00,75.00
2012-06-27,39,1020.00,75540.00,75.00,73.00,74.00
2012-06-28,26,1450.00,111190.00,80.00,75.00,80.00
2012-07-01,47,1450.00,110480.00,79.00,74.00,77.00
2012-07-02,56,1930.00,144660.00,76.00,74.00,75.00
2012-07-03,35,840.00,62380.00,75.00,73.00,75.00
2012-07-04,30,640.00,47580.00,76.00,71.00,72.00
2012-07-05,106,3160.00,237320.00,76.00,75.00,75.00
2012-07-08,51,1500.00,112460.00,75.00,74.00,75.00
2012-07-09,124,2540.00,187950.00,75.00,73.00,73.00
2012-07-10,8,160.00,11820.00,74.00,73.00,74.00
2012-07-11,27,600.00,43880.00,74.00,72.00,72.00
2012-07-12,21,460.00,33180.00,73.00,71.00,73.00
2012-07-15,27,640.00,47600.00,75.00,74.00,75.00
2012-07-16,111,4320.00,323520.00,75.00,73.00,74.00
2012-07-17,91,3010.00,234540.00,81.00,74.00,80.00
2012-07-18,6,160.00,12980.00,82.00,80.00,81.00
2012-07-19,20,410.00,31790.00,80.00,77.00,77.00
2012-07-22,34,1610.00,131900.00,84.00,78.00,81.00
2012-07-23,45,2740.00,223320.00,83.00,80.00,82.00
