Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-06-01,2,20.00,7130.00,360.00,353.00,353.00
2010-06-02,3,30.00,10350.00,345.00,345.00,345.00
2010-06-07,10,100.00,31900.00,339.00,311.00,311.00
2010-06-10,5,80.00,23680.00,305.00,284.00,284.00
2010-06-20,2,20.00,5530.00,279.00,274.00,274.00
2010-06-22,109,1210.00,299470.00,269.00,247.00,247.00
2010-06-23,198,2600.00,635840.00,252.00,226.00,252.00
2010-06-24,68,1080.00,268420.00,252.00,246.00,246.00
2010-06-28,114,1470.00,379660.00,264.00,245.00,256.00
2010-06-29,54,630.00,161220.00,260.00,250.00,260.00
2010-06-30,23,250.00,62600.00,255.00,242.00,255.00
2010-07-01,26,310.00,79700.00,265.00,250.00,255.00
2010-07-04,50,1010.00,262540.00,269.00,254.00,256.00
2010-07-05,43,430.00,108920.00,260.00,251.00,253.00
2010-07-06,32,450.00,112040.00,252.00,248.00,249.00
2010-07-07,15,250.00,60670.00,245.00,237.00,240.00
2010-07-08,8,150.00,36270.00,242.00,241.00,242.00
2010-07-12,21,290.00,70360.00,243.00,242.00,242.00
2010-07-13,3,100.00,24460.00,245.00,241.00,241.00
2010-07-14,12,210.00,51370.00,247.00,240.00,247.00
2010-07-15,6,60.00,14780.00,247.00,246.00,246.00
2010-07-18,15,150.00,36240.00,242.00,240.00,240.00
2010-07-20,70,1340.00,321480.00,240.00,236.00,240.00
2010-07-22,10,100.00,23800.00,242.00,235.00,240.00
2010-07-25,5,50.00,11920.00,240.00,236.00,236.00
2010-07-26,36,360.00,85200.00,240.00,236.00,236.00
2010-07-27,8,80.00,18020.00,232.00,222.00,226.00
2010-07-28,4,40.00,9100.00,230.00,226.00,226.00
2010-07-29,12,120.00,26610.00,223.00,220.00,223.00
2010-08-01,20,210.00,46360.00,224.00,219.00,221.00
2010-08-02,3,30.00,6650.00,223.00,221.00,223.00
2010-08-03,5,70.00,15720.00,225.00,224.00,224.00
2010-08-04,19,200.00,44810.00,228.00,223.00,224.00
2010-08-05,4,60.00,13480.00,226.00,221.00,226.00
2010-08-08,2,20.00,4520.00,226.00,226.00,226.00
2010-08-09,72,720.00,165370.00,235.00,225.00,231.00
2010-08-10,14,150.00,34330.00,231.00,228.00,228.00
2010-08-11,106,1070.00,248540.00,236.00,232.00,233.00
2010-08-12,18,270.00,62480.00,234.00,230.00,230.00
2010-08-15,12,150.00,34500.00,232.00,228.00,231.00
2010-08-16,1,10.00,2350.00,235.00,235.00,235.00
2010-08-17,6,60.00,13860.00,231.00,231.00,231.00
2010-08-18,80,830.00,195240.00,240.00,235.00,240.00
2010-08-19,7,70.00,16520.00,236.00,236.00,236.00
2010-08-22,14,160.00,37840.00,240.00,236.00,236.00
2010-08-29,69,730.00,169350.00,232.00,231.00,232.00
2010-08-30,24,240.00,54350.00,228.00,224.00,227.00
2010-08-31,36,610.00,144000.00,239.00,227.00,235.00
2010-09-05,3,30.00,6850.00,231.00,227.00,227.00
2010-09-06,12,130.00,29210.00,225.00,223.00,225.00
2010-09-07,3,40.00,9000.00,225.00,225.00,225.00
2010-09-08,7,110.00,24410.00,225.00,221.00,225.00
2010-09-09,8,90.00,20460.00,228.00,226.00,226.00
2010-09-12,2,20.00,4500.00,225.00,225.00,225.00
2010-09-13,1,10.00,2250.00,225.00,225.00,225.00
