Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2015-01-08,4,64.00,198400.00,3100.00,3100.00,3100.00
2015-01-14,1,10.00,31620.00,3162.00,3162.00,3162.00
2015-01-19,3,40.00,133270.00,3381.00,3250.00,3381.00
2015-01-20,1,100.00,344800.00,3448.00,3448.00,3448.00
2015-01-27,3,30.00,108640.00,3693.00,3550.00,3693.00
2015-01-28,2,20.00,76070.00,3841.00,3766.00,3841.00
2015-01-29,5,140.00,556190.00,4225.00,3917.00,4225.00
2015-02-01,10,340.00,1568970.00,4647.00,4309.00,4647.00
2015-02-02,4,225.00,1037300.00,4692.00,4600.00,4692.00
2015-02-04,2,50.00,232300.00,4692.00,4600.00,4692.00
2015-02-05,7,346.00,1640384.00,4880.00,4705.00,4705.00
2015-02-08,2,138.00,631320.00,4640.00,4550.00,4550.00
2015-02-10,6,113.00,503967.00,4460.00,4459.00,4459.00
2015-02-11,1,10.00,43700.00,4370.00,4370.00,4370.00
2015-02-12,2,750.00,3277500.00,4370.00,4370.00,4370.00
2015-02-15,2,55.00,246210.00,4500.00,4457.00,4500.00
2015-02-16,1,38.00,170962.00,4499.00,4499.00,4499.00
2015-02-22,1,38.00,171190.00,4505.00,4505.00,4505.00
2015-02-23,3,245.00,1094875.00,4475.00,4400.00,4400.00
2015-03-01,1,25.00,107800.00,4312.00,4312.00,4312.00
2015-03-03,1,20.00,84600.00,4230.00,4230.00,4230.00
2015-03-04,3,225.00,932375.00,4155.00,4075.00,4150.00
2015-03-09,4,335.00,1433970.00,4317.00,4233.00,4300.00
2015-03-10,1,50.00,211500.00,4230.00,4230.00,4230.00
2015-03-11,1,150.00,621900.00,4146.00,4146.00,4146.00
