Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2014-07-20,5,130.00,14820.00,118.00,110.00,118.00
2014-07-21,3,78.00,9516.00,124.00,120.00,124.00
2014-07-22,9,163.00,21826.00,136.00,126.00,136.00
2014-07-23,7,281.00,40721.00,149.00,138.00,149.00
2014-07-24,1,500.00,75500.00,151.00,151.00,151.00
2014-07-27,4,68.00,10778.00,163.00,154.00,163.00
2014-07-28,2,337.00,56902.00,169.00,166.00,169.00
2014-07-30,4,98.00,17189.00,181.00,172.00,181.00
2014-07-31,5,94.00,17860.00,196.00,184.00,196.00
2014-08-03,6,1400.00,286128.00,215.00,199.00,215.00
2014-08-04,6,667.00,155084.00,235.00,219.30,235.00
2014-08-05,9,313.00,79772.00,258.00,239.00,258.00
2014-08-06,8,415.00,115685.00,283.00,263.00,283.00
2014-08-07,163,38536.00,11564128.00,311.00,280.00,305.00
2014-08-12,38,3033.00,853523.00,299.00,275.00,285.00
2014-08-13,46,5090.00,1433841.00,287.00,275.00,280.00
2014-08-14,35,10629.00,3056307.00,308.00,280.00,299.00
2014-08-18,66,3034.00,837300.00,295.00,270.00,271.00
2014-08-19,62,7055.00,1865312.00,270.00,260.00,260.00
2014-08-20,42,9328.00,2325374.00,266.00,240.00,250.00
2014-08-21,26,6897.00,1660574.00,250.00,238.00,239.00
2014-08-24,26,4141.00,980704.00,243.00,227.00,234.00
2014-08-25,29,4869.00,1067290.00,230.00,211.00,212.00
2014-08-26,63,7916.00,1726326.00,225.00,208.00,211.00
2014-08-27,70,26823.00,6090833.00,232.00,215.00,225.00
2014-08-28,49,12659.00,3001465.00,244.00,229.00,241.00
2014-08-31,39,3818.00,877036.00,240.00,223.00,230.00
2014-09-01,34,1970.00,428698.00,226.00,214.00,220.00
2014-09-03,37,1548.00,342156.00,228.00,216.00,228.00
2014-09-04,36,4640.00,1004866.00,225.00,208.00,220.00
2014-09-07,17,2173.00,456740.00,219.00,198.00,205.00
2014-09-09,30,2133.00,466821.00,225.00,209.00,222.00
2014-09-10,21,4336.00,943966.00,222.00,210.00,220.00
2014-09-11,21,3187.00,676670.00,216.00,207.00,215.00
2014-09-14,42,2371.00,501957.00,215.00,205.00,212.00
2014-09-15,38,4343.00,945618.00,233.00,212.00,213.00
2014-09-16,27,4749.00,1005318.00,217.00,206.00,213.00
2014-09-17,26,1569.00,327548.00,212.00,207.00,211.00
2014-09-18,17,1252.00,263726.00,215.00,208.00,215.00
2014-09-21,19,2346.00,480898.00,211.00,203.00,207.00
2014-09-22,47,2068.00,414314.00,205.00,194.00,199.00
2014-09-23,18,426.00,87494.00,210.00,200.00,205.00
2014-09-24,13,1420.00,284368.00,209.00,199.00,204.00
2014-09-28,26,2040.00,423118.00,217.00,204.00,217.00
2014-09-29,20,827.00,182026.00,224.00,217.00,224.00
2014-09-30,22,1139.00,256877.00,231.00,220.00,231.00
2014-10-08,5,85.00,19771.00,235.00,228.00,228.00
2014-10-09,7,1423.00,319300.00,227.00,214.00,214.00
2014-10-12,30,3181.00,668728.00,215.00,209.00,215.00
2014-10-13,26,1155.00,244651.00,213.00,206.00,206.00
2014-10-14,9,400.00,84302.00,213.00,206.00,211.00
2014-10-15,22,3089.00,658756.00,215.00,201.00,215.00
2014-10-16,7,267.00,56690.00,215.00,210.00,210.00
2014-10-19,28,1955.00,412913.00,214.00,206.00,210.00
2014-10-20,33,1242.00,259911.00,212.00,207.00,210.00
2014-10-21,24,636.00,131600.00,210.00,201.00,210.00
2014-10-22,20,1166.00,242501.00,210.00,203.00,209.00
2014-10-26,11,265.00,55846.00,212.00,210.00,211.00
2014-10-27,10,1103.00,234792.00,214.00,207.00,214.00
2014-10-28,27,1858.00,394439.00,218.00,210.00,216.00
2014-10-30,25,2168.00,458776.00,218.00,205.00,213.00
2014-11-02,22,1910.00,405687.00,217.00,209.00,213.00
2014-11-03,32,1992.00,427168.00,217.00,208.00,213.00
2014-11-04,8,661.00,140749.00,213.00,212.00,212.00
2014-11-05,12,3007.00,638639.00,215.00,211.00,214.00
2014-11-06,18,1340.00,280652.00,215.00,196.00,213.00
2014-11-09,37,5546.00,1148164.00,210.00,205.00,206.00
2014-11-10,18,3266.00,662509.00,214.00,200.00,204.00
2014-11-11,15,2082.00,424426.00,208.00,196.00,208.00
2014-11-12,23,1012.00,206429.00,210.00,201.00,204.00
2014-11-13,25,1860.00,376851.00,207.00,198.00,200.00
2014-11-16,8,648.00,128128.00,201.00,196.00,196.00
2014-11-17,12,3038.00,588240.00,199.00,190.00,193.00
2014-11-18,3,68.00,13022.00,193.00,190.00,193.00
2014-11-19,22,3002.00,580347.00,196.00,190.00,193.00
2014-11-20,10,549.00,104388.00,191.00,188.00,189.00
2014-11-23,12,1102.00,214793.00,198.00,192.00,195.00
2014-11-24,5,1809.00,354824.00,197.00,195.00,197.00
2014-11-25,18,2558.00,486136.00,195.00,187.00,189.00
2014-11-30,20,1139.00,209528.00,186.00,180.00,180.00
2014-12-01,6,680.00,119377.00,178.00,172.00,172.00
2014-12-02,3,2004.00,346731.00,176.00,170.00,176.00
2014-12-03,10,2639.00,485069.00,191.00,178.00,191.00
2014-12-04,13,1118.00,208420.00,188.00,185.00,185.00
2014-12-07,4,68.00,12393.00,183.00,182.00,182.00
2014-12-08,18,348.00,63273.00,185.00,179.00,184.00
2014-12-09,14,1641.00,291394.00,181.00,175.00,177.00
2014-12-10,2,91.00,16147.00,178.00,175.00,178.00
2014-12-11,1,110.00,19910.00,181.00,181.00,181.00
2014-12-14,4,781.00,142330.00,184.00,182.00,184.00
2014-12-15,12,921.00,170654.00,190.00,182.00,190.00
2014-12-16,5,235.00,45082.00,193.00,190.00,190.00
2014-12-17,11,2798.00,547740.00,198.00,190.00,198.00
2014-12-18,7,810.00,162302.00,201.00,197.00,201.00
2014-12-21,21,1748.00,337665.00,197.00,190.00,190.00
2014-12-22,26,1587.00,299331.00,193.00,179.00,183.00
2014-12-23,15,2010.00,367439.00,186.00,180.00,186.00
2014-12-24,15,1256.00,229614.00,184.00,180.00,184.00
2014-12-28,6,197.00,36460.00,187.00,184.00,185.00
2014-12-29,45,969.00,175988.00,188.00,173.00,185.00
2014-12-31,10,233.00,42534.00,188.00,179.00,188.00
2015-01-01,11,783.00,144783.00,185.00,183.00,185.00
2015-01-04,4,577.00,107125.00,187.00,185.00,185.00
2015-01-05,22,2503.00,468856.00,188.00,182.00,188.00
2015-01-06,8,536.00,98729.00,186.00,182.00,185.00
2015-01-07,10,610.00,114201.00,192.00,186.00,186.00
2015-01-08,20,2415.00,445780.00,189.00,183.00,185.00
2015-01-11,13,2087.00,383564.00,185.00,181.00,185.00
2015-01-12,22,1846.00,330485.00,186.00,177.00,186.00
2015-01-13,6,2159.00,406138.00,190.00,184.00,190.00
2015-01-14,13,439.00,82192.00,190.00,184.00,190.00
2015-01-18,1,356.00,66928.00,188.00,188.00,188.00
2015-01-19,6,691.00,131092.00,190.00,187.00,190.00
2015-01-20,16,1723.00,321459.00,193.00,182.00,193.00
2015-01-22,18,5717.00,1048878.00,193.00,182.00,185.00
2015-01-25,32,645.00,118295.00,187.00,180.00,187.00
2015-01-26,16,6064.00,1162852.00,196.00,190.00,192.00
2015-01-27,45,10974.00,2262623.00,211.00,195.00,209.00
2015-01-28,10,1338.00,281177.00,217.00,208.00,217.00
2015-01-29,36,1986.00,429542.00,221.00,205.00,215.00
2015-02-01,8,1340.00,280876.00,211.00,205.00,211.00
2015-02-02,21,20338.00,4110296.00,223.00,200.00,223.00
2015-02-03,38,6142.00,1352329.00,226.00,217.00,221.00
2015-02-04,30,5834.00,1291866.00,230.00,218.00,230.00
2015-02-05,51,6777.00,1522658.00,235.00,221.00,225.00
2015-02-08,3,51.00,11526.00,228.00,225.00,228.00
2015-02-09,1,17.00,3808.00,224.00,224.00,224.00
2015-02-10,81,12199.00,2758010.00,240.00,220.00,226.00
2015-02-11,28,3115.00,700451.00,228.00,222.00,226.00
2015-02-12,55,15384.00,3518034.00,236.00,222.00,229.00
2015-02-15,40,3579.00,815121.00,233.00,226.00,231.00
2015-02-16,43,10670.00,2445524.00,234.00,226.00,230.00
2015-02-18,123,14127.00,3196069.00,230.00,223.00,224.00
2015-02-23,9,5604.00,1193445.00,217.00,211.00,214.00
2015-02-24,8,518.00,112006.00,219.00,215.00,216.00
2015-02-25,11,1084.00,234988.00,225.00,213.00,225.00
2015-02-26,10,432.00,98665.00,233.00,225.00,231.00
2015-03-01,14,389.00,87765.00,230.00,224.00,228.00
2015-03-02,25,1565.00,364423.00,235.00,232.00,235.00
2015-03-03,14,1966.00,469055.00,241.00,234.00,238.00
2015-03-04,8,318.00,75592.00,240.00,236.00,240.00
2015-03-09,7,842.00,200582.00,244.00,236.00,236.00
2015-03-10,22,669.00,153998.00,246.00,222.00,246.00
2015-03-11,29,7193.00,1662000.00,242.00,225.00,235.00
2015-03-12,21,3021.00,691924.00,235.00,227.00,227.00
2015-03-15,5,334.00,75455.00,228.00,223.00,223.00
2015-03-16,15,1094.00,242566.00,227.00,218.00,218.00
2015-03-17,10,696.00,154811.00,232.00,221.00,232.00
2015-03-18,20,5051.00,1116579.00,228.00,220.00,224.00
2015-03-19,14,5963.00,1315075.00,227.00,220.00,227.00
