Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2011-11-16,1,10.00,3140.00,314.00,314.00,314.00
2011-11-20,1,50.00,15400.00,308.00,308.00,308.00
2011-11-28,1,110.00,32230.00,293.00,293.00,293.00
2011-12-01,6,180.00,50640.00,288.00,273.00,273.00
2012-01-18,2,180.00,47740.00,268.00,263.00,263.00
2012-04-01,1,170.00,43860.00,258.00,258.00,258.00
2012-04-30,4,270.00,67960.00,253.00,248.00,248.00
2012-05-07,1,20.00,4880.00,244.00,244.00,244.00
2012-05-20,22,1240.00,287680.00,232.00,232.00,232.00
2012-05-29,1,1240.00,279000.00,225.00,225.00,225.00
2012-07-10,1,50.00,10700.00,214.00,214.00,214.00
2012-07-12,1,50.00,10200.00,204.00,204.00,204.00
2012-07-16,1,70.00,14000.00,200.00,200.00,200.00
2012-07-17,3,270.00,52920.00,196.00,196.00,196.00
2012-07-26,1,20.00,3860.00,193.00,193.00,193.00
2012-08-12,5,500.00,95000.00,190.00,190.00,190.00
2012-08-19,11,1320.00,238920.00,181.00,181.00,181.00
2012-08-26,1,110.00,18920.00,172.00,172.00,172.00
2012-09-09,6,60.00,9700.00,169.00,155.00,155.00
2012-09-25,3,30.00,4480.00,152.00,147.00,147.00
2012-09-26,3,70.00,10030.00,145.00,143.00,143.00
2012-09-27,3,60.00,8340.00,141.00,137.00,137.00
2012-10-02,8,200.00,25460.00,135.00,124.00,124.00
2012-10-03,50,4850.00,544740.00,122.00,112.00,112.00
2012-10-04,46,4670.00,510650.00,113.00,106.00,111.00
2012-10-07,32,3980.00,440670.00,113.00,106.00,112.00
2012-10-08,24,2710.00,301430.00,114.00,110.00,114.00
2012-10-09,30,2770.00,309080.00,113.00,111.00,112.00
2012-10-10,5,390.00,43880.00,114.00,112.00,112.00
2012-10-11,1,50.00,5700.00,114.00,114.00,114.00
2012-10-14,2,2020.00,224420.00,113.00,111.00,111.00
2012-10-15,7,820.00,94570.00,118.00,112.00,118.00
2012-10-18,10,1090.00,130420.00,120.00,118.00,120.00
2012-10-30,6,780.00,92360.00,119.00,118.00,119.00
2012-10-31,8,760.00,91740.00,122.00,120.00,122.00
2012-11-01,6,550.00,65970.00,121.00,119.00,120.00
2012-11-04,5,660.00,79620.00,122.00,118.00,120.00
2012-11-05,10,1440.00,175860.00,124.00,122.00,124.00
2012-11-06,7,490.00,61870.00,128.00,125.00,128.00
2012-11-07,3,220.00,28280.00,129.00,128.00,128.00
2012-11-21,14,720.00,93600.00,130.00,130.00,130.00
2012-11-22,4,470.00,59760.00,128.00,126.00,126.00
2012-11-25,10,660.00,77840.00,124.00,116.00,116.00
2012-11-26,4,560.00,64980.00,118.00,116.00,116.00
2012-11-27,7,2530.00,296010.00,117.00,117.00,117.00
2012-11-28,4,520.00,61880.00,119.00,119.00,119.00
2012-11-29,5,750.00,87750.00,117.00,117.00,117.00
2012-12-03,1,80.00,9280.00,116.00,116.00,116.00
2012-12-04,6,310.00,36220.00,118.00,116.00,118.00
2012-12-05,12,730.00,85590.00,118.00,117.00,117.00
2012-12-06,7,1180.00,138920.00,119.00,117.00,118.00
2012-12-09,7,1430.00,166230.00,118.00,116.00,116.00
2012-12-10,4,200.00,23500.00,118.00,116.00,116.00
2012-12-11,4,910.00,104740.00,118.00,114.00,118.00
2012-12-12,3,150.00,17400.00,116.00,116.00,116.00
2012-12-13,4,360.00,42120.00,117.00,117.00,117.00
2012-12-17,1,60.00,7020.00,117.00,117.00,117.00
2012-12-18,5,430.00,49880.00,116.00,116.00,116.00
2012-12-19,1,50.00,5800.00,116.00,116.00,116.00
2012-12-20,2,160.00,19180.00,120.00,118.00,120.00
2012-12-24,4,200.00,24400.00,122.00,122.00,122.00
2012-12-31,8,1010.00,121700.00,121.00,120.00,120.00
2013-01-01,1,80.00,9440.00,118.00,118.00,118.00
2013-01-03,1,50.00,5900.00,118.00,118.00,118.00
2013-01-08,12,1690.00,196260.00,117.00,116.00,116.00
2013-01-10,1,50.00,5750.00,115.00,115.00,115.00
2013-01-16,3,690.00,79740.00,116.00,115.00,115.00
2013-01-20,1,320.00,36800.00,115.00,115.00,115.00
2013-01-22,12,1280.00,152120.00,125.00,117.00,125.00
2013-01-24,8,2080.00,268420.00,130.00,127.00,130.00
2013-01-27,12,3060.00,396110.00,132.00,128.00,128.00
2013-01-28,7,670.00,84400.00,127.00,125.00,125.00
2013-01-30,4,1440.00,179000.00,125.00,123.00,125.00
2013-01-31,3,620.00,78740.00,127.00,127.00,127.00
2013-02-03,5,780.00,100220.00,129.00,127.00,127.00
2013-02-04,9,1340.00,173610.00,131.00,127.00,130.00
2013-02-05,3,250.00,31850.00,128.00,127.00,127.00
