Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-05-30,13,320000.00,88000000.00,275.00,275.00,275.00
2010-05-31,7,71200.00,19580000.00,275.00,275.00,275.00
2012-04-24,2,200.00,33100.00,167.00,164.00,164.00
2012-04-26,5,500.00,77500.00,161.00,149.00,149.00
2012-04-29,7,700.00,98700.00,147.00,135.00,135.00
2012-05-02,3,300.00,39300.00,133.00,129.00,129.00
2012-05-03,3,300.00,38100.00,127.00,127.00,127.00
2012-05-07,5,632000.00,72681200.00,121.00,115.00,115.00
2012-05-09,3,300000.00,32705000.00,113.00,109.00,109.00
2012-05-10,1,153000.00,16677000.00,109.00,109.00,109.00
2012-05-24,1,65000.00,7215000.00,111.00,111.00,111.00
2012-05-31,3,50000.00,5660000.00,115.00,113.00,115.00
2012-06-06,2,3000.00,362000.00,122.00,120.00,122.00
2012-06-26,4,6000.00,758000.00,130.00,124.00,130.00
2012-06-27,3,4000.00,550000.00,140.00,136.00,140.00
2012-07-02,2,2000.00,296000.00,149.00,147.00,149.00
2013-02-20,1,62800.00,9482800.00,151.00,151.00,151.00
2013-02-25,1,200.00,31600.00,158.00,158.00,158.00
2013-09-24,2,17214.00,2719812.00,158.00,158.00,158.00
2014-06-09,1,40000.00,6440000.00,161.00,161.00,161.00
2014-06-12,1,58440.00,9584160.00,164.00,164.00,164.00
2014-06-23,1,1560.00,268320.00,172.00,172.00,172.00
