Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-19,15,420.00,75070.00,181.00,178.00,181.00
2010-04-20,2,100.00,17800.00,178.00,178.00,178.00
2010-04-21,8,290.00,51660.00,183.00,173.00,173.00
2010-04-27,5,100.00,17000.00,170.00,170.00,170.00
2010-04-28,3,140.00,23080.00,167.00,164.00,164.00
2010-04-29,1,10.00,1650.00,165.00,165.00,165.00
2010-05-09,8,220.00,35580.00,162.00,159.00,159.00
2010-05-10,8,100.00,15900.00,159.00,159.00,159.00
2010-05-16,4,50.00,8040.00,162.00,160.00,160.00
2010-05-17,5,140.00,21980.00,157.00,157.00,157.00
2010-05-18,3,50.00,7920.00,159.00,156.00,159.00
2010-05-19,3,90.00,14850.00,168.00,162.00,168.00
2010-05-26,2,50.00,8550.00,171.00,171.00,171.00
2010-05-31,1,20.00,3480.00,174.00,174.00,174.00
2010-06-02,1,10.00,1770.00,177.00,177.00,177.00
2010-06-03,6,330.00,60750.00,186.00,180.00,186.00
2010-06-06,15,390.00,73310.00,189.00,187.00,189.00
2010-06-07,2,40.00,7560.00,189.00,189.00,189.00
2010-06-09,3,90.00,17160.00,191.00,190.00,190.00
2010-06-10,1,20.00,3860.00,193.00,193.00,193.00
2010-06-13,4,50.00,9800.00,196.00,196.00,196.00
2010-06-14,7,340.00,66670.00,199.00,196.00,196.00
2010-06-15,8,270.00,54230.00,204.00,199.00,201.00
2010-06-17,3,50.00,10210.00,209.00,201.00,209.00
2010-06-20,14,310.00,64810.00,210.00,209.00,209.00
2010-06-21,7,180.00,37450.00,209.00,208.00,208.00
2010-06-23,3,60.00,12480.00,208.00,208.00,208.00
2010-06-24,5,90.00,18450.00,205.00,205.00,205.00
2010-06-28,2,20.00,4100.00,205.00,205.00,205.00
2010-06-29,4,40.00,8080.00,205.00,201.00,201.00
2010-07-15,1,40.00,8040.00,201.00,201.00,201.00
2010-07-20,9,160.00,31520.00,197.00,197.00,197.00
2010-07-21,12,250.00,48820.00,196.00,193.00,193.00
2010-07-28,3,30.00,5700.00,190.00,190.00,190.00
2010-07-29,2,40.00,7560.00,189.00,189.00,189.00
2010-08-02,22,500.00,92140.00,186.00,180.00,185.00
2010-08-03,15,180.00,32940.00,183.00,183.00,183.00
2010-08-05,18,230.00,41400.00,180.00,180.00,180.00
2010-08-08,6,200.00,35100.00,177.00,174.00,175.00
2010-08-09,4,50.00,8810.00,178.00,175.00,178.00
2010-08-10,9,320.00,56500.00,179.00,174.00,179.00
2010-08-11,2,40.00,7040.00,176.00,176.00,176.00
2010-08-12,2,50.00,8770.00,176.00,175.00,176.00
2010-08-15,1,10.00,1750.00,175.00,175.00,175.00
2010-08-16,3,110.00,18920.00,172.00,172.00,172.00
2010-08-17,15,240.00,41920.00,178.00,170.00,176.00
2010-08-18,2,40.00,7190.00,180.00,179.00,180.00
2010-08-19,13,240.00,43060.00,185.00,177.00,185.00
2010-08-22,8,330.00,62910.00,194.00,188.00,191.00
2010-08-23,46,2350.00,449690.00,194.00,188.00,190.00
2010-08-26,63,2490.00,474900.00,194.00,188.00,191.00
2010-08-29,11,220.00,42020.00,191.00,191.00,191.00
2010-09-07,4,200.00,28880.00,147.00,144.00,144.00
2010-09-08,3,30.00,4320.00,144.00,144.00,144.00
2010-09-09,1,20.00,2880.00,144.00,144.00,144.00
2010-09-12,3,40.00,5720.00,144.00,142.00,142.00
2010-09-15,1,120.00,16800.00,140.00,140.00,140.00
2010-09-19,2,20.00,2760.00,138.00,138.00,138.00
2010-09-21,1,20.00,2740.00,137.00,137.00,137.00
2010-09-23,2,160.00,21600.00,135.00,135.00,135.00
2010-09-26,1,20.00,2740.00,137.00,137.00,137.00
2010-09-27,3,80.00,11320.00,143.00,139.00,143.00
2010-09-28,9,180.00,25560.00,142.00,142.00,142.00
2010-09-29,9,130.00,18720.00,144.00,144.00,144.00
2010-09-30,9,330.00,47510.00,146.00,143.00,146.00
2010-10-03,9,180.00,26480.00,148.00,146.00,148.00
2010-10-05,30,710.00,104190.00,148.00,146.00,147.00
2010-10-06,2,250.00,36740.00,147.00,146.00,147.00
2010-10-07,2,20.00,2980.00,149.00,149.00,149.00
2010-10-10,3,30.00,4470.00,149.00,149.00,149.00
2010-10-12,2,60.00,8940.00,149.00,149.00,149.00
2010-10-20,2,190.00,27670.00,147.00,145.00,145.00
2010-10-24,5,50.00,7270.00,146.00,144.00,146.00
2010-10-27,1,10.00,1460.00,146.00,146.00,146.00
2010-10-31,22,590.00,85880.00,147.00,144.00,145.00
2010-11-02,1,100.00,14800.00,148.00,148.00,148.00
2010-11-09,1,40.00,6000.00,150.00,150.00,150.00
2010-11-10,3,40.00,6240.00,159.00,153.00,159.00
2010-11-11,4,110.00,17600.00,160.00,160.00,160.00
2010-11-14,3,60.00,9660.00,161.00,161.00,161.00
2010-11-16,2,30.00,4950.00,166.00,163.00,166.00
2010-11-18,1,30.00,4890.00,163.00,163.00,163.00
2010-11-21,3,30.00,4800.00,160.00,160.00,160.00
2010-11-22,1,20.00,3260.00,163.00,163.00,163.00
2010-11-23,6,130.00,21090.00,163.00,162.00,163.00
2010-11-24,1,10.00,1660.00,166.00,166.00,166.00
2010-11-25,2,20.00,3280.00,164.00,164.00,164.00
2010-11-28,2,20.00,3280.00,164.00,164.00,164.00
2010-11-30,2,40.00,6650.00,167.00,164.00,167.00
2010-12-05,2,150.00,24750.00,165.00,165.00,165.00
2010-12-06,1,30.00,4950.00,165.00,165.00,165.00
2010-12-07,3,30.00,4950.00,165.00,165.00,165.00
2010-12-08,4,140.00,22650.00,162.00,159.00,162.00
2010-12-12,2,50.00,8020.00,161.00,160.00,160.00
2010-12-16,1,20.00,3200.00,160.00,160.00,160.00
2010-12-28,1,20.00,3200.00,160.00,160.00,160.00
2010-12-29,4,80.00,12800.00,160.00,160.00,160.00
2011-01-02,1,20.00,3140.00,157.00,157.00,157.00
2011-01-03,6,120.00,18420.00,154.00,151.00,151.00
2011-01-04,5,290.00,43070.00,150.00,147.00,150.00
2011-01-05,10,120.00,17650.00,149.00,146.00,146.00
2011-01-09,4,40.00,5780.00,146.00,144.00,144.00
2011-01-10,9,140.00,20500.00,148.00,145.00,148.00
2011-01-12,4,50.00,7340.00,148.00,146.00,146.00
2011-01-17,1,40.00,5840.00,146.00,146.00,146.00
2011-01-19,1,30.00,4350.00,145.00,145.00,145.00
2011-01-20,1,20.00,2880.00,144.00,144.00,144.00
2011-01-24,3,70.00,10220.00,146.00,146.00,146.00
2011-02-01,3,60.00,8650.00,145.00,144.00,145.00
2011-02-02,1,20.00,2880.00,144.00,144.00,144.00
2011-02-13,1,100.00,14600.00,146.00,146.00,146.00
2011-02-14,3,40.00,5960.00,150.00,148.00,150.00
2011-02-15,5,110.00,17520.00,165.00,153.00,165.00
2011-02-16,11,300.00,50780.00,171.00,168.00,170.00
2011-02-17,4,80.00,13840.00,173.00,173.00,173.00
2011-02-23,6,140.00,23020.00,170.00,161.00,161.00
2011-02-27,4,90.00,14010.00,158.00,155.00,155.00
2011-02-28,3,160.00,24800.00,155.00,155.00,155.00
2011-03-01,4,260.00,39700.00,155.00,152.00,152.00
2011-03-14,3,80.00,11920.00,149.00,149.00,149.00
2011-03-15,3,140.00,20540.00,147.00,145.00,145.00
2011-03-16,12,420.00,60660.00,147.00,142.00,146.00
2011-03-17,8,270.00,38960.00,146.00,144.00,146.00
2011-03-20,1,20.00,2920.00,146.00,146.00,146.00
2011-03-21,1,30.00,4440.00,148.00,148.00,148.00
2011-03-27,4,90.00,12640.00,142.00,140.00,140.00
2011-03-28,4,80.00,11200.00,140.00,140.00,140.00
2011-03-29,1,20.00,2760.00,138.00,138.00,138.00
2011-04-06,1,20.00,2720.00,136.00,136.00,136.00
2011-04-07,4,40.00,5460.00,138.00,136.00,136.00
2011-04-10,4,150.00,20320.00,136.00,134.00,135.00
2011-04-11,3,210.00,27410.00,133.00,129.00,129.00
2011-04-13,9,260.00,32920.00,130.00,121.00,121.00
2011-04-20,2,40.00,4720.00,119.00,117.00,117.00
2011-04-21,2,210.00,23810.00,115.00,113.00,113.00
2011-04-25,1,30.00,3420.00,114.00,114.00,114.00
2011-04-27,7,400.00,46000.00,115.00,115.00,115.00
2011-04-28,1,20.00,2260.00,113.00,113.00,113.00
2011-05-08,1,60.00,6780.00,113.00,113.00,113.00
2011-05-09,1,240.00,27120.00,113.00,113.00,113.00
2011-05-10,5,50.00,5550.00,111.00,111.00,111.00
2011-05-16,1,10.00,1130.00,113.00,113.00,113.00
2011-05-18,1,160.00,17920.00,112.00,112.00,112.00
2011-05-19,12,120.00,13160.00,110.00,108.00,108.00
2011-05-22,8,160.00,16960.00,106.00,106.00,106.00
2011-05-23,6,160.00,17100.00,107.00,106.00,107.00
2011-05-24,10,300.00,32830.00,110.00,108.00,110.00
2011-05-25,1,40.00,4400.00,110.00,110.00,110.00
2011-05-30,5,120.00,13340.00,112.00,110.00,110.00
