Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-25,18,203300.00,23989400.00,118.00,118.00,118.00
2010-06-08,3,160750.00,18968500.00,118.00,118.00,118.00
2011-08-09,4,17400.00,2018400.00,116.00,116.00,116.00
2011-08-11,1,17000.00,1938000.00,114.00,114.00,114.00
2014-06-01,6,250000.00,15388750.00,0.00,0.00,60.30
2014-06-25,4,229670.00,12645327.50,0.00,0.00,55.00
2014-09-21,5,100000.00,10420000.00,112.00,104.00,104.00
2014-09-28,1,100000.00,7200000.00,0.00,0.00,72.00
2014-12-04,2,69100.00,4526050.00,0.00,0.00,65.50
2014-12-09,1,120250.00,7876375.00,0.00,0.00,65.50
2015-03-11,1,50000.00,5100000.00,102.00,102.00,102.00
