Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-08-15,2,25300.00,2530000.00,100.00,100.00,100.00
2013-08-19,3,12100.00,1210000.00,100.00,100.00,100.00
2013-08-25,4,14245.00,1424500.00,100.00,100.00,100.00
2013-09-08,1,1100.00,110000.00,100.00,100.00,100.00
2013-11-14,2,6600.00,660000.00,100.00,100.00,100.00
2013-12-03,3,2200.00,220000.00,100.00,100.00,100.00
2013-12-05,2,1650.00,165000.00,100.00,100.00,100.00
2013-12-10,4,4950.00,495000.00,100.00,100.00,100.00
2013-12-12,3,6050.00,605000.00,100.00,100.00,100.00
2013-12-18,6,18150.00,1815000.00,100.00,100.00,100.00
2013-12-29,2,1300.00,130000.00,100.00,100.00,100.00
2014-12-08,12,6005.00,600500.00,100.00,100.00,100.00
2014-12-11,1,948.00,94800.00,100.00,100.00,100.00
