Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2014-01-22,1,10.00,3240.00,324.00,324.00,324.00
2014-01-23,6,60.00,20660.00,356.00,330.00,356.00
2014-01-26,1,10.00,3730.00,373.00,373.00,373.00
2014-01-27,4,40.00,15620.00,401.00,380.00,401.00
2014-01-28,7,252.00,109756.00,441.00,409.00,441.00
2014-01-29,61,1380.00,666968.00,485.00,449.00,485.00
2014-02-02,826,64607.00,34314932.00,533.00,494.00,533.00
2014-02-03,1118,64378.00,33538028.00,543.00,495.00,500.00
2014-02-04,515,19086.00,9279880.00,499.00,452.00,494.00
2014-02-05,398,14465.00,7231475.00,503.00,494.00,501.00
2014-02-06,249,12863.00,6478886.00,527.00,498.00,519.00
2014-02-09,368,17399.00,8873190.00,520.00,500.00,515.00
2014-02-10,171,11836.00,6169735.00,545.00,511.00,524.00
2014-02-11,195,21014.00,10790549.00,523.00,510.00,516.00
2014-02-12,261,8511.00,4318790.00,512.00,500.00,512.00
2014-02-13,371,9708.00,4952112.00,512.00,508.00,512.00
2014-02-16,202,6069.00,3070731.00,511.00,502.00,505.00
2014-02-17,291,22549.00,11350710.00,512.00,500.00,506.00
2014-02-18,426,11226.00,5749845.00,524.00,505.00,515.00
2014-02-20,300,9012.00,4688680.00,530.00,514.00,530.00
2014-02-23,423,33835.00,18878495.00,583.00,530.00,580.00
2014-02-24,211,23880.00,14245409.00,625.00,582.00,582.00
2014-02-25,298,25759.00,14788833.00,593.00,560.00,593.00
2014-02-26,268,14762.00,8612450.00,604.00,534.00,570.00
2014-03-03,189,7794.00,4329743.00,565.00,546.00,555.00
2014-03-04,243,18136.00,9753163.00,550.00,532.00,549.00
2014-03-05,176,12657.00,7138103.00,582.00,535.00,560.00
2014-03-06,376,27561.00,15482965.00,570.00,555.00,560.00
2014-03-09,232,15006.00,8274894.00,560.00,540.00,550.00
2014-03-10,297,8932.00,4826451.00,550.00,530.00,549.00
2014-03-11,277,10786.00,5831905.00,545.00,530.00,530.00
2014-03-12,214,10038.00,5401923.00,545.00,525.00,540.00
2014-03-13,271,9115.00,4935193.00,545.00,531.00,540.00
2014-03-17,174,9794.00,5174799.00,540.00,515.00,525.00
2014-03-18,166,5212.00,2690447.00,530.00,511.00,515.00
2014-03-19,180,4212.00,2206313.00,535.00,510.00,525.00
2014-03-20,152,2766.00,1442475.00,532.00,515.00,532.00
2014-03-23,147,10299.00,5491627.00,550.00,526.00,540.00
2014-03-24,165,10249.00,5655906.00,566.00,538.00,560.00
2014-03-25,289,21974.00,12463350.00,580.00,547.00,570.00
2014-03-26,314,22124.00,12720203.00,589.00,560.00,584.00
2014-03-27,409,39017.00,23315657.00,605.00,580.00,604.00
2014-03-31,458,19441.00,12044508.00,632.00,600.00,632.00
2014-04-01,260,18629.00,12100531.00,665.00,626.00,660.00
2014-04-02,250,35568.00,24276582.00,700.00,653.00,684.00
2014-04-03,227,18448.00,12551054.00,700.00,640.00,642.00
2014-04-06,154,10967.00,6987295.00,644.00,630.00,640.00
2014-04-07,112,10843.00,6942479.00,655.00,628.00,655.00
2014-04-09,134,7401.00,4897079.00,672.00,642.00,670.00
2014-04-10,82,5842.00,3917115.00,675.00,659.00,673.00
2014-04-13,126,15886.00,10742163.00,685.00,660.00,685.00
2014-04-15,95,12285.00,8390821.00,690.00,665.00,685.00
2014-04-16,132,8958.00,6094816.00,689.00,663.00,670.00
2014-04-17,171,8003.00,5422321.00,683.00,660.00,680.00
2014-04-20,152,9516.00,6468856.00,686.00,673.00,673.00
2014-04-21,109,6649.00,4457601.00,681.00,658.00,668.00
2014-04-22,188,9748.00,6606145.00,686.00,658.00,680.00
2014-04-23,157,13283.00,9025947.00,685.00,671.00,677.00
2014-04-27,83,4486.00,3006544.00,680.00,660.00,672.00
2014-04-28,67,3711.00,2457177.00,669.00,653.00,660.00
2014-04-29,101,4659.00,3081404.00,668.00,655.00,661.00
2014-04-30,156,14040.00,8985663.00,650.00,626.00,642.00
2014-05-04,120,7737.00,4959684.00,650.00,630.00,635.00
2014-05-05,78,9585.00,6092533.00,665.00,614.00,655.00
2014-05-06,64,2437.00,1586042.00,655.00,642.00,654.00
2014-05-07,79,4894.00,3205051.00,659.00,640.00,650.00
2014-05-08,101,7781.00,5073083.00,665.00,649.00,656.00
2014-05-11,65,4525.00,2893694.00,658.00,630.00,630.00
2014-05-12,58,2471.00,1573019.00,642.00,625.00,637.00
2014-05-13,92,2726.00,1715746.00,640.00,624.00,640.00
2014-05-15,108,2409.00,1538376.00,650.00,612.00,645.00
2014-05-18,72,3155.00,2045282.00,654.00,640.00,640.00
2014-05-19,109,6262.00,4004553.00,646.00,632.00,640.00
2014-05-20,70,4845.00,3102240.00,644.00,631.00,639.00
2014-05-21,137,4606.00,2946010.00,648.00,635.00,640.00
2014-05-22,90,3716.00,2379102.00,645.00,630.00,640.00
2014-05-25,137,8110.00,5306558.00,673.00,645.00,650.00
2014-05-26,122,8712.00,5685756.00,660.00,641.00,659.00
2014-05-27,79,6168.00,4085907.00,672.00,650.00,660.00
2014-05-28,140,16331.00,10945022.00,680.00,648.00,670.00
2014-06-01,154,14235.00,9647122.00,689.00,652.00,675.00
2014-06-02,152,5875.00,4054696.00,708.00,674.00,691.00
2014-06-03,109,4027.00,2754664.00,693.00,670.00,671.00
2014-06-04,80,4150.00,2801417.00,684.00,661.00,684.00
2014-06-05,95,4755.00,3248382.00,697.00,675.00,688.00
2014-06-08,67,3198.00,2208222.00,696.00,680.00,689.00
2014-06-09,59,3578.00,2447688.00,691.00,680.00,690.00
2014-06-10,85,4805.00,3328657.00,700.00,680.00,690.00
2014-06-11,90,4942.00,3448119.00,703.00,685.00,697.00
2014-06-12,59,3155.00,2193535.00,701.00,683.00,700.00
2014-06-15,84,10976.00,7669019.00,701.00,690.00,696.00
2014-06-16,88,7744.00,5375115.00,700.00,690.00,691.00
2014-06-17,78,5555.00,3839984.00,699.00,681.00,0.00
2014-06-18,63,3965.00,2752083.00,700.00,685.00,699.00
2014-06-19,31,1423.00,979079.00,695.00,680.00,684.00
2014-06-23,24,3820.00,2585962.00,690.00,668.00,675.00
2014-06-24,61,8173.00,5558110.00,686.00,662.00,680.00
2014-06-25,66,4748.00,3219128.00,693.00,675.00,679.00
2014-06-26,32,4227.00,2901235.00,695.00,684.00,688.00
2014-06-29,24,3632.00,2509484.00,701.00,680.00,690.00
2014-06-30,80,8617.00,5979570.00,703.00,690.00,700.00
2014-07-01,73,8616.00,5993898.00,702.00,694.00,695.00
2014-07-02,118,4863.00,3372838.00,699.00,685.00,699.00
2014-07-03,178,23364.00,16863598.00,765.00,695.00,720.00
2014-07-06,156,17498.00,13336332.00,792.00,708.00,792.00
2014-07-07,117,19971.00,16429765.00,841.00,800.00,826.00
2014-07-08,79,8729.00,7401884.00,871.00,830.00,855.00
2014-07-09,36,3931.00,3296020.00,860.00,825.00,835.00
2014-07-10,43,5620.00,4658417.00,838.00,820.00,833.00
2014-07-13,57,8821.00,7320331.00,849.00,810.00,835.00
2014-07-14,27,3288.00,2706544.00,835.00,810.00,810.00
2014-07-15,54,5182.00,4100453.00,819.00,780.00,795.00
2014-07-16,73,16217.00,12933617.00,810.00,790.00,795.00
2014-07-17,44,6154.00,4971712.00,819.00,795.00,819.00
2014-07-20,47,6658.00,5496856.00,840.00,810.00,840.00
2014-07-21,51,5231.00,4347485.00,840.00,825.00,832.00
2014-07-22,63,5518.00,4490224.00,824.00,800.00,810.00
