Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,7,90.00,27150.00,313.00,288.00,288.00
2010-04-19,1,10.00,2880.00,288.00,288.00,288.00
2010-04-28,6,110.00,30000.00,283.00,260.00,260.00
2010-04-29,24,380.00,102340.00,283.00,258.00,283.00
2010-05-09,1,10.00,2880.00,288.00,288.00,288.00
2010-05-10,11,170.00,47510.00,288.00,268.00,288.00
2010-05-11,4,50.00,14750.00,298.00,293.00,298.00
2010-05-12,1,10.00,3030.00,303.00,303.00,303.00
2010-05-13,16,180.00,54900.00,315.00,303.00,315.00
2010-05-16,1,10.00,3210.00,321.00,321.00,321.00
2010-05-17,1,10.00,3270.00,327.00,327.00,327.00
2010-05-19,1,10.00,3210.00,321.00,321.00,321.00
2010-05-20,21,850.00,264810.00,321.00,309.00,321.00
2010-05-23,1,20.00,6540.00,327.00,327.00,327.00
2010-05-26,5,1720.00,564000.00,333.00,327.00,327.00
2010-06-14,1,10.00,3330.00,333.00,333.00,333.00
2010-06-28,2,20.00,6660.00,333.00,333.00,333.00
2010-07-14,6,60.00,19620.00,327.00,327.00,327.00
2010-07-25,3,200.00,62460.00,321.00,309.00,309.00
2010-07-26,6,100.00,29190.00,303.00,279.00,279.00
2010-07-27,13,300.00,77100.00,274.00,252.00,252.00
2010-07-28,6,1040.00,262080.00,252.00,252.00,252.00
2010-08-01,5,160.00,41420.00,262.00,257.00,262.00
2010-08-02,2,20.00,5390.00,272.00,267.00,272.00
2010-08-03,2,20.00,5590.00,282.00,277.00,282.00
2010-08-10,30,690.00,185780.00,277.00,267.00,267.00
2010-08-11,4,120.00,32350.00,275.00,265.00,275.00
2010-08-15,2,30.00,8350.00,280.00,275.00,275.00
2010-08-16,4,80.00,23000.00,295.00,280.00,295.00
2010-08-17,1,20.00,6000.00,300.00,300.00,300.00
2010-08-18,7,110.00,32540.00,300.00,294.00,300.00
2010-08-19,2,30.00,9240.00,312.00,306.00,312.00
2010-08-22,1,20.00,6360.00,318.00,318.00,318.00
2010-08-26,3,30.00,9450.00,315.00,315.00,315.00
2010-09-19,5,210.00,64010.00,309.00,303.00,305.00
2010-09-20,1,10.00,3110.00,311.00,311.00,311.00
2010-10-11,3,100.00,30320.00,305.00,299.00,299.00
2010-10-12,2,40.00,11660.00,294.00,289.00,289.00
2010-10-21,29,300.00,86700.00,289.00,289.00,289.00
2010-10-26,4,70.00,20480.00,299.00,284.00,299.00
2010-10-27,2,30.00,9240.00,310.00,304.00,310.00
2010-10-31,5,50.00,14960.00,304.00,298.00,298.00
2010-11-02,1,10.00,2970.00,297.00,297.00,297.00
2010-11-10,8,80.00,23360.00,292.00,292.00,292.00
2010-11-16,1,20.00,5740.00,287.00,287.00,287.00
