Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-11-24,34,1010.00,334550.00,343.00,325.00,325.00
2010-11-25,21,730.00,217190.00,319.00,293.00,293.00
2010-12-22,1,20.00,5580.00,279.00,279.00,279.00
2010-12-23,1,20.00,5480.00,274.00,274.00,274.00
2011-01-03,1,30.00,7830.00,261.00,261.00,261.00
2011-01-04,2,40.00,9920.00,248.00,248.00,248.00
2011-02-02,22,660.00,155760.00,236.00,236.00,236.00
2011-02-10,1,20.00,4500.00,225.00,225.00,225.00
2011-02-13,19,380.00,80860.00,214.00,203.00,203.00
2011-02-14,5,100.00,18740.00,193.00,183.00,183.00
2011-02-15,6,120.00,20160.00,174.00,165.00,165.00
2011-02-16,5,100.00,15200.00,157.00,149.00,149.00
2011-02-17,44,910.00,123170.00,142.00,135.00,135.00
2011-02-20,265,5830.00,740340.00,133.00,125.00,127.00
2011-02-21,79,1840.00,231940.00,129.00,124.00,128.00
2011-02-22,221,4560.00,572510.00,127.00,123.00,126.00
2011-02-23,357,7230.00,887840.00,127.00,121.00,123.00
2011-02-24,65,1520.00,192110.00,131.00,120.00,129.00
2011-02-27,6,930.00,121570.00,131.00,128.00,129.00
2011-02-28,118,2400.00,291700.00,125.00,118.00,119.00
2011-03-01,25,500.00,58840.00,118.00,116.00,118.00
2011-03-03,60,1210.00,143980.00,121.00,117.00,118.00
2011-03-07,170,3430.00,407840.00,120.00,118.00,118.00
2011-03-09,135,2690.00,313290.00,118.00,114.00,118.00
2011-03-10,191,3880.00,462200.00,121.00,116.00,120.00
2011-03-13,283,5690.00,655790.00,120.00,112.00,114.00
2011-03-14,90,1800.00,211360.00,118.00,116.00,118.00
2011-03-15,95,1980.00,233480.00,120.00,115.00,115.00
2011-03-16,64,1280.00,147320.00,118.00,112.00,112.00
2011-03-17,129,2720.00,310860.00,116.00,112.00,116.00
2011-03-20,110,2260.00,255200.00,114.00,111.00,113.00
2011-03-21,151,3060.00,342000.00,114.00,110.00,111.00
2011-03-22,51,1150.00,127130.00,112.00,110.00,110.00
2011-03-23,44,880.00,98760.00,113.00,111.00,113.00
2011-03-24,190,3800.00,429240.00,114.00,112.00,113.00
2011-03-27,59,1180.00,129780.00,111.00,109.00,110.00
2011-03-28,43,1260.00,134660.00,109.00,104.00,105.00
2011-03-29,87,2080.00,222670.00,108.00,103.00,103.00
2011-03-30,80,1600.00,171740.00,108.00,104.00,104.00
2011-03-31,73,1460.00,155940.00,108.00,105.00,108.00
2011-04-04,147,2970.00,327910.00,113.00,107.00,112.00
2011-04-05,48,960.00,106140.00,111.00,108.00,108.00
2011-04-06,52,1070.00,117540.00,111.00,108.00,109.00
2011-04-07,40,1040.00,113440.00,110.00,107.00,108.00
2011-04-10,39,780.00,82540.00,107.00,104.00,105.00
2011-04-11,95,1920.00,201610.00,106.00,104.00,105.00
2011-04-13,8,160.00,16900.00,106.00,105.00,105.00
2011-04-17,15,310.00,32110.00,105.00,102.00,102.00
2011-04-18,72,1450.00,149740.00,104.00,103.00,104.00
2011-04-19,81,1710.00,178560.00,106.00,102.00,103.00
2011-04-20,83,1660.00,172400.00,106.00,103.00,106.00
2011-04-21,36,810.00,82070.00,104.00,101.00,101.00
2011-04-25,14,330.00,32540.00,100.00,98.00,98.00
2011-04-27,56,1160.00,112960.00,99.00,97.00,97.00
2011-04-28,36,720.00,72100.00,104.00,97.00,104.00
2011-05-02,55,1130.00,118350.00,107.00,102.00,105.00
2011-05-03,49,980.00,97740.00,103.00,98.00,100.00
2011-05-04,31,620.00,62040.00,102.00,99.00,99.00
2011-05-05,15,400.00,40220.00,101.00,100.00,101.00
2011-05-08,73,1560.00,152400.00,101.00,96.00,97.00
2011-05-09,78,1650.00,166910.00,103.00,98.00,101.00
2011-05-10,11,680.00,74740.00,111.00,103.00,109.00
2011-05-11,101,2020.00,210700.00,107.00,100.00,101.00
2011-05-12,39,780.00,78120.00,103.00,99.00,103.00
2011-05-15,101,2390.00,251710.00,111.00,103.00,109.00
2011-05-16,81,2130.00,226480.00,108.00,104.00,108.00
2011-05-18,54,1780.00,196440.00,114.00,105.00,107.00
2011-05-19,88,2110.00,222990.00,108.00,102.00,103.00
2011-05-22,66,1410.00,143940.00,105.00,100.00,103.00
2011-05-23,113,2520.00,259500.00,105.00,100.00,100.00
2011-05-24,63,1600.00,163620.00,105.00,102.00,104.00
2011-05-25,75,1850.00,190520.00,104.00,100.00,102.00
2011-05-26,43,1820.00,187600.00,105.00,100.00,100.00
2011-05-30,31,620.00,62620.00,101.00,101.00,101.00
2011-05-31,52,1240.00,128280.00,106.00,100.00,106.00
2011-06-01,47,1070.00,111790.00,107.00,103.00,104.00
2011-06-02,71,1420.00,149060.00,105.00,103.00,103.00
2011-06-05,1,20.00,2020.00,101.00,101.00,101.00
2011-06-06,53,1080.00,105540.00,100.00,96.00,98.00
2011-06-07,192,4250.00,420750.00,99.00,99.00,99.00
2011-06-08,84,1720.00,169520.00,99.00,97.00,97.00
2011-06-09,141,4020.00,392500.00,99.00,96.00,99.00
2011-06-12,58,1160.00,114480.00,99.00,97.00,97.00
2011-06-13,158,3890.00,383310.00,100.00,98.00,98.00
2011-06-14,74,2170.00,214640.00,99.00,98.00,98.00
2011-06-15,14,290.00,28350.00,99.00,97.00,99.00
2011-06-16,6,130.00,12820.00,99.00,98.00,99.00
2011-06-19,2,760.00,77500.00,102.00,100.00,102.00
2011-06-20,3,60.00,6360.00,108.00,104.00,108.00
2011-06-21,7,150.00,16880.00,116.00,110.00,116.00
2011-06-26,4,100.00,11560.00,118.00,114.00,114.00
2011-06-27,27,1100.00,122780.00,112.00,104.00,104.00
2011-06-29,9,280.00,27370.00,102.00,96.00,98.00
2011-06-30,50,1500.00,148480.00,100.00,98.00,100.00
2011-07-03,63,1260.00,127220.00,102.00,100.00,101.00
2011-07-04,49,980.00,98980.00,101.00,101.00,101.00
2011-07-05,8,180.00,18120.00,102.00,100.00,102.00
2011-07-06,30,840.00,87480.00,105.00,104.00,104.00
2011-07-07,42,840.00,90640.00,108.00,106.00,108.00
2011-07-10,1,30.00,3240.00,108.00,108.00,108.00
2011-07-11,9,420.00,45320.00,108.00,106.00,108.00
2011-07-12,28,2270.00,250420.00,112.00,109.00,109.00
2011-07-13,11,230.00,26330.00,115.00,111.00,115.00
2011-07-14,21,1240.00,134000.00,113.00,107.00,107.00
2011-07-19,6,140.00,14660.00,105.00,103.00,105.00
2011-07-20,17,500.00,54660.00,111.00,107.00,111.00
2011-07-21,4,120.00,13650.00,114.00,113.00,114.00
2011-07-24,35,820.00,91050.00,114.00,110.00,110.00
2011-07-25,55,1410.00,158620.00,114.00,110.00,114.00
2011-07-26,23,540.00,60480.00,112.00,112.00,112.00
2011-07-27,19,890.00,97820.00,110.00,108.00,108.00
2011-07-28,85,1910.00,205540.00,108.00,106.00,108.00
2011-07-31,33,840.00,91180.00,110.00,107.00,110.00
2011-08-01,38,1000.00,111120.00,112.00,111.00,111.00
2011-08-02,35,860.00,95400.00,113.00,109.00,109.00
2011-08-03,105,2520.00,279340.00,111.00,107.00,107.00
2011-08-04,76,1920.00,210060.00,113.00,107.00,108.00
2011-08-07,94,3600.00,396520.00,112.00,110.00,110.00
2011-08-08,36,730.00,78620.00,110.00,105.00,105.00
2011-08-09,118,3070.00,324430.00,107.00,104.00,104.00
2011-08-10,15,300.00,31760.00,106.00,105.00,106.00
